player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Sergiy Bozhko,19,Left Winger,Zorya-Mals,0.0,in,Summer,1992,1992/1993
Timur Bogatyrev,27,Right Winger,Unknown,0.0,in,Winter,1992,1992/1993
Evgeniy Titov,28,Right Winger,Gekris Nv.,0.0,in,Winter,1992,1992/1993
Andrey Pocheptsov,24,Right-Back,Dinamo SPb,0.0,in,Winter,1992,1992/1993
Aleksandr Fedorov,26,Left-Back,D. Vologda,0.0,in,Winter,1992,1992/1993
Vyacheslav Nedorostkov,24,Right Midfield,Temp Shepetivka,0.0,out,Winter,1992,1992/1993
Vladimir Makeev,29,midfield,Baltika,0.0,out,Winter,1992,1992/1993
Artashes Kalaydzhan,21,attack,Torpedo Sochi,0.0,in,Summer,1993,1993/1994
Stanislav Bondarev,25,Right Winger,Beitar Tel Aviv,0.0,out,Summer,1993,1993/1994
Evgeniy Titov,30,Right Winger,Ilves,0.0,out,Summer,1993,1993/1994
Gocha Gogrichiani,28,Centre-Forward,Omonia Nikosia,0.0,out,Summer,1993,1993/1994
Vladimir Lushin,30,defence,Unknown,0.0,out,Summer,1993,1993/1994
Aleksandr Fedorov,28,Left-Back,Perlis FA,0.0,out,Summer,1993,1993/1994
Artashes Kalaydzhan,21,attack,Unknown,0.0,out,Summer,1993,1993/1994
Sergiy Bozhko,21,Left Winger,Ilves,0.0,out,Summer,1993,1993/1994
Evgeni Kryukov,30,Goalkeeper,Rostselmash,0.0,in,Winter,1993,1993/1994
Andrey Novgorodov,24,Centre-Back,Торпедо-Лужники,0.0,in,Winter,1993,1993/1994
Stanislav Bondarev,25,Right Winger,Beitar Tel Aviv,0.0,in,Winter,1993,1993/1994
Vyacheslav Protsenko,18,Central Midfield,Unknown,0.0,in,Winter,1993,1993/1994
Evgeni Knyazhev,25,midfield,Chernomorets N.,0.0,in,Winter,1993,1993/1994
Igor Makarov,32,defence,Пресня,0.0,in,Winter,1993,1993/1994
Assaf Al-Khalifa,26,Centre-Forward,Unknown,0.0,in,Winter,1993,1993/1994
Aleksandr Ignatjev,21,Right Midfield,Dinamo SPb,0.0,in,Winter,1993,1993/1994
Zurab Mindadze,21,Right-Back,Tskhumi Sokhumi,0.0,in,Winter,1993,1993/1994
Murat Zekokh,24,midfield,Druzhba Maikop,0.0,in,Winter,1993,1993/1994
Vladimir Filimonov,28,Centre-Forward,Zvezda Perm,0.0,in,Winter,1993,1993/1994
Sergey Ledovskikh,35,midfield,Sabah,0.0,out,Winter,1993,1993/1994
Roman Khagba,29,attack,Melaka,0.0,out,Winter,1993,1993/1994
Sergiy Yakovenko,19,Right Midfield,K. Belorechensk,0.0,in,Summer,1994,1994/1995
Sergey Ledovskikh,36,midfield,Sabah,0.0,in,Summer,1994,1994/1995
Sergiy Bozhko,21,Left Winger,Ilves,0.0,in,Summer,1994,1994/1995
Sergiy Yakovenko,19,Right Midfield,Arsenal Tula,0.0,out,Summer,1994,1994/1995
Evgeni Zhirov,25,Right Midfield,Unknown,0.0,out,Summer,1994,1994/1995
Zurab Mindadze,22,Right-Back,K. Belorechensk,0.0,out,Summer,1994,1994/1995
Erik Ashurbekov,20,midfield,Metalist,0.0,in,Winter,1994,1994/1995
Kanatbek Musataev,24,Centre-Back,Ordabasy,0.0,in,Winter,1994,1994/1995
Ruslan Suanov,19,Second Striker,Spartak V-kavkaz,0.0,in,Winter,1994,1994/1995
Stanislav Dubrovin,20,Centre-Forward,D. Vologda,0.0,in,Winter,1994,1994/1995
Artur Kuznetsov,22,Left Midfield,Lokomotiv NN,0.0,in,Winter,1994,1994/1995
Said Tarba,26,Centre-Back,Ritsa Gudauta,0.0,in,Winter,1994,1994/1995
Evgeni Burdinskiy,22,midfield,Zarya L-K.,0.0,in,Winter,1994,1994/1995
Yuriy Kuzmenko,16,midfield,Unknown,0.0,in,Winter,1994,1994/1995
Igor Usminskiy,17,Goalkeeper,Zhem. Sochi U19,0.0,in,Winter,1994,1994/1995
Sergiy Bozhko,21,Left Winger,Lokomotiv NN,0.0,out,Winter,1994,1994/1995
Andrey Pocheptsov,26,Right-Back,Smena-Saturn,0.0,out,Winter,1994,1994/1995
Assaf Al-Khalifa,27,Centre-Forward,Unknown,0.0,out,Winter,1994,1994/1995
Sergey Chekmezov,29,Goalkeeper,KS Samara,0.0,out,Winter,1994,1994/1995
Sergey Ledovskikh,36,midfield,Perlis FA,0.0,out,Winter,1994,1994/1995
Artur Kuznetsov,21,Left Midfield,Lokomotiv NN,0.0,out,Winter,1994,1994/1995
Tigran Petrosyants,21,Centre-Forward,CSKA Moscow,0.0,in,Summer,1995,1995/1996
Sergey Ledovskikh,37,midfield,Perlis FA,0.0,in,Summer,1995,1995/1996
Evgeni Knyazhev,27,midfield,Din-Gaz Tyumen,0.0,out,Summer,1995,1995/1996
Kanatbek Musataev,25,Centre-Back,Ordabasy,0.0,out,Summer,1995,1995/1996
Murad Magomedov,21,Centre-Back,M. Petah Tikva,0.0,out,Summer,1995,1995/1996
Stanislav Dubrovin,20,Centre-Forward,Volgar-Gazprom,0.0,out,Summer,1995,1995/1996
Evgeni Burdinskiy,23,midfield,Din-Gaz Tyumen,0.0,out,Summer,1995,1995/1996
Igor Gorelov,26,Centre-Back,Din-Gaz Tyumen,0.0,in,Winter,1995,1995/1996
Zurab Ionanidze,24,Right Winger,FC Samtredia,0.0,in,Winter,1995,1995/1996
Volodymyr Lobas,25,midfield,CSKA-Borysfen,0.0,in,Winter,1995,1995/1996
Aleksandr Gorshkov,25,Defensive Midfield,Chornomorets,0.0,in,Winter,1995,1995/1996
Davit Janashia,23,attack,FC Samtredia,0.0,in,Winter,1995,1995/1996
Andrey Chuprina,19,defence,Unknown,0.0,in,Winter,1995,1995/1996
Oleg Sanko,25,Attacking Midfield,Taganrog,0.0,in,Winter,1995,1995/1996
Kazimir Gudiev,23,Goalkeeper,I. Vladikavkaz,0.0,in,Winter,1995,1995/1996
German Kutarba,17,Defensive Midfield,Gagra II,0.0,in,Winter,1995,1995/1996
Sergiy Shubin,28,attack,FK Chortkiv,0.0,in,Winter,1995,1995/1996
Erik Ashurbekov,21,midfield,Mashuk-KMV,0.0,out,Winter,1995,1995/1996
Murat Zekokh,26,midfield,Gazovik-Gazprom,0.0,out,Winter,1995,1995/1996
Andrey Murygin,32,Right Midfield,D. Vologda,0.0,out,Winter,1995,1995/1996
Andrey Chekunov,29,defence,Zhemchuzhina II,0.0,out,Winter,1995,1995/1996
Vladimir Filimonov,30,Centre-Forward,Gazovik-Gazprom,0.0,out,Winter,1995,1995/1996
Sergey Ledovskikh,37,midfield,Retired,0.0,out,Winter,1995,1995/1996
Andriy Vasylytchuk,31,Centre-Back,Karpaty,0.0,in,Summer,1996,1996/1997
Gocha Gogrichiani,31,Centre-Forward,Evagoras Pafos,0.0,in,Summer,1996,1996/1997
Gleb Panferov,26,Right Midfield,Торпедо-Лужники,0.0,in,Summer,1996,1996/1997
Aleksandr Eshchenko,26,Left-Back,SK Volyn-1,0.0,in,Summer,1996,1996/1997
Giorgi Gogiashvili,25,midfield,FC Samtredia,0.0,in,Summer,1996,1996/1997
Said Tarba,27,Centre-Back,SKA Rostov,0.0,out,Summer,1996,1996/1997
Ruslan Suanov,21,Second Striker,Энергия Камышин,0.0,out,Summer,1996,1996/1997
Volodymyr Lobas,26,midfield,Энергия Камышин,0.0,out,Summer,1996,1996/1997
Nazim Suleymanov,31,Centre-Forward,Spartak V-kavkaz,0.0,in,Winter,1996,1996/1997
Yuriy Mokrytskyi,26,Centre-Back,Karpaty,0.0,in,Winter,1996,1996/1997
Maksim Shvetsov,23,Central Midfield,SKA Khabarovsk,0.0,in,Winter,1996,1996/1997
Gennadi Tumilovich,25,Goalkeeper,Zarya L-K.,0.0,in,Winter,1996,1996/1997
Ruslan Suanov,21,Second Striker,Энергия Камышин,0.0,in,Winter,1996,1996/1997
Manuk Kakosyan,22,Left Winger,Zhemchuzhina II,0.0,in,Winter,1996,1996/1997
Denis Tarba,16,Centre-Back,Zhem. Sochi U19,0.0,in,Winter,1996,1996/1997
Ivan Levenets,16,Goalkeeper,Zhem. Sochi U19,0.0,in,Winter,1996,1996/1997
Vyacheslav Protsenko,21,Central Midfield,E. Chaikovskiy,0.0,out,Winter,1996,1996/1997
Andriy Vasylytchuk,31,Centre-Back,Энергия Камышин,0.0,out,Winter,1996,1996/1997
Zurab Ionanidze,25,Right Winger,Lokomotiv NN,0.0,out,Winter,1996,1996/1997
Yuriy Kuzmenko,18,midfield,Kuban Krasnodar,0.0,out,Winter,1996,1996/1997
Oleg Akulov,23,attack,Kuban Krasnodar,0.0,out,Winter,1996,1996/1997
Davit Janashia,24,attack,Chernomorets N.,0.0,out,Winter,1996,1996/1997
Andrey Chuprina,20,defence,Volgar-Gazprom,0.0,out,Winter,1996,1996/1997
Aleksandr Eshchenko,26,Left-Back,Элиста,0.0,out,Winter,1996,1996/1997
Igor Makarov,35,defence,Avtomobilist N.,0.0,out,Winter,1996,1996/1997
Gleb Panferov,26,Right Midfield,Torpedo-ZiL,0.0,out,Winter,1996,1996/1997
