player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Vasyl Storchak,27,Centre-Forward,Metalurg Z.,0.0,in,Summer,1992,1992/1993
Eduard Demin,18,Centre-Back,Presnya,0.0,in,Summer,1992,1992/1993
Sergey Mamchur,20,Centre-Back,Dnipro,0.0,in,Summer,1992,1992/1993
Yuriy Gavrilov,39,Attacking Midfield,Presnya,0.0,out,Summer,1992,1992/1993
Sergey Kuznetsov,32,Centre-Back,Zenit S-Pb,0.0,in,Winter,1992,1992/1993
Sergey Zorya,20,Left Midfield,Торпедо-Лужники,0.0,in,Winter,1992,1992/1993
Ansar Ayupov,20,Central Midfield,Karelia,0.0,in,Winter,1992,1992/1993
Andrey Kovalenko,20,Goalkeeper,Volgar,0.0,in,Winter,1992,1992/1993
Sergey Medvedev,19,Centre-Back,Karelia,0.0,in,Winter,1992,1992/1993
Oleg Volotjok,25,midfield,Dynamo Kyiv,0.0,in,Winter,1992,1992/1993
Konstantin Kamnev,20,Right Midfield,Terek Grozny,0.0,in,Winter,1992,1992/1993
Maksim Putilin,25,Centre-Back,Torpedo Vlad.,0.0,in,Winter,1992,1992/1993
Sergey Nikitin,29,Left-Back,Shinnik,0.0,in,Winter,1992,1992/1993
Vitali Safronov,19,Attacking Midfield,Presnya,0.0,in,Winter,1992,1992/1993
Gennadi Strikalov,23,Goalkeeper,Asmaral Kislovod,0.0,in,Winter,1992,1992/1993
Aleksandr Tochilin,18,Right-Back,Presnya,0.0,in,Winter,1992,1992/1993
Sergey Grishin,19,Right Midfield,Torpedo II,0.0,in,Winter,1992,1992/1993
Sergey Semak,16,Central Midfield,Karelia-Discov.,0.0,in,Winter,1992,1992/1993
Gleb Panferov,22,Right Midfield,Karelia,0.0,in,Winter,1992,1992/1993
Pavel Radishevskiy,18,Goalkeeper,SKA Khabarovsk,0.0,out,Winter,1992,1992/1993
Andrey Novgorodov,23,Centre-Back,Торпедо-Лужники,0.0,out,Winter,1992,1992/1993
Kirill Rybakov,23,Centre-Forward,Dinamo Moscow,0.0,out,Winter,1992,1992/1993
Igor Aslanyan,25,midfield,Торпедо-Лужники,0.0,out,Winter,1992,1992/1993
Igor Makarov,31,defence,Unknown,0.0,out,Winter,1992,1992/1993
Vladislav Khakhalev,26,attack,Wydad AC,0.0,out,Winter,1992,1992/1993
Algimantas Briaunys,28,Goalkeeper,Karpaty 3,0.0,out,Winter,1992,1992/1993
Sergey Mamchur,20,Centre-Back,CSKA Moscow,0.0,out,Winter,1992,1992/1993
Vladimir Fomichev,32,defence,Retired,0.0,out,Winter,1992,1992/1993
