player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Sergey Zorya,19,Left Midfield,Zenit S-Pb,0.0,in,Summer,1992,1992/1993
Aleksandr Sudarikov,22,midfield,Din-Gaz Tyumen,0.0,in,Summer,1992,1992/1993
Aleksey Arefjev,21,midfield,A. Krira Chakra,0.0,in,Summer,1992,1992/1993
Dmitri Chugunov,24,Right-Back,FC Sepsi-78,0.0,out,Summer,1992,1992/1993
Sergey Agashkov,29,Central Midfield,Beitar Tel Aviv,0.0,out,Summer,1992,1992/1993
Andrey Kalaychev,28,Centre-Back,VfB Mödling,0.0,out,Summer,1992,1992/1993
Mikhail Solovjev,23,Centre-Back,Ilhwa Chunma FC,0.0,out,Summer,1992,1992/1993
Vladimir Grechnev,27,Attacking Midfield,B. Jerusalem,0.0,out,Summer,1992,1992/1993
Dmitri Ivanov,21,Centre-Forward,KS Samara,0.0,out,Summer,1992,1992/1993
Aleksandr Kuzmichev,21,Attacking Midfield,Feirense,0.0,in,Winter,1992,1992/1993
Andrey Novgorodov,23,Centre-Back,Пресня,0.0,in,Winter,1992,1992/1993
Dmitri Prokopenko,20,Centre-Forward,TRASKO Moskau,0.0,in,Winter,1992,1992/1993
Mikhail Smirnov,25,Defensive Midfield,Zawisza,0.0,in,Winter,1992,1992/1993
Vardan Khachatryan,24,Centre-Back,Ararat Yerevan,0.0,in,Winter,1992,1992/1993
Mikhail Solovjev,24,Centre-Back,Ilhwa Chunma FC,0.0,in,Winter,1992,1992/1993
Igor Aslanyan,25,midfield,Пресня,0.0,in,Winter,1992,1992/1993
Aleksandr Tarasov,19,Right-Back,FShM Moskau,0.0,in,Winter,1992,1992/1993
Oleg Kornaukhov,17,Left-Back,Torpedo II,0.0,in,Winter,1992,1992/1993
Sergey Zorya,20,Left Midfield,Пресня,0.0,out,Winter,1992,1992/1993
Mikhail Smirnov,25,Defensive Midfield,Dinamo Minsk,0.0,out,Winter,1992,1992/1993
Gennadi Grishin,28,Central Midfield,VfB Leipzig,0.0,out,Winter,1992,1992/1993
Yuri Tishkov,21,Centre-Forward,Dinamo Moscow,0.0,out,Winter,1992,1992/1993
Andrey Martynov,27,Centre-Back,Kopetdag,0.0,out,Winter,1992,1992/1993
Oleksandr Sevidov,23,Right Winger,Zorya-Mals,0.0,in,Summer,1993,1993/1994
Andrey Kalaychev,29,Centre-Back,VfB Mödling,0.0,in,Summer,1993,1993/1994
Gennadi Grishin,28,Central Midfield,VfB Leipzig,0.0,in,Summer,1993,1993/1994
Sergiy Skachenko,20,Centre-Forward,Temp Shepetivka,0.0,out,Summer,1993,1993/1994
Aleksandr Podshivalov,29,Goalkeeper,Hapoel Haifa,0.0,out,Summer,1993,1993/1994
Vardan Khachatryan,24,Centre-Back,Metalurg Z.,0.0,out,Summer,1993,1993/1994
Aleksandr Tarasov,21,Right-Back,Unknown,0.0,out,Summer,1993,1993/1994
Sergey Timofeev,23,midfield,FC Augsburg,0.0,in,Winter,1993,1993/1994
Maksim Putilin,26,Centre-Back,Пресня,0.0,in,Winter,1993,1993/1994
Andrey Satsunkevich,27,Goalkeeper,Dinamo Minsk,0.0,in,Winter,1993,1993/1994
Mikhail Murashov,20,Centre-Back,Torpedo II,0.0,in,Winter,1993,1993/1994
Vladimir Pchelnikov,23,Goalkeeper,Torpedo II,0.0,in,Winter,1993,1993/1994
Dmitri Kuznetsov,21,Defensive Midfield,Torpedo-D Mosc.,0.0,in,Winter,1993,1993/1994
Aleksandr Tarasov,21,Right-Back,Unknown,0.0,in,Winter,1993,1993/1994
Oleksandr Sevidov,24,Right Winger,Metalurg Z.,0.0,out,Winter,1993,1993/1994
Andrey Novgorodov,24,Centre-Back,Zhemchuzhina,0.0,out,Winter,1993,1993/1994
Igor Chugaynov,23,Centre-Back,Loko Moscow,0.0,out,Winter,1993,1993/1994
