player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Julen Guerrero,18,Attacking Midfield,Bilbao Athletic,0.0,in,Summer,1992,1992/1993
Jon Ander Lambea,18,Defensive Midfield,Bilbao Athletic,0.0,in,Summer,1992,1992/1993
Juanjo Valencia,20,Goalkeeper,Bilbao Athletic,0.0,in,Summer,1992,1992/1993
Carlos García,21,Defensive Midfield,Bilbao Athletic,0.0,in,Summer,1992,1992/1993
Patxi Salinas,28,Centre-Back,Celta de Vigo,0.0,out,Summer,1992,1992/1993
Patxi Iru,29,Goalkeeper,CA Osasuna,0.0,out,Summer,1992,1992/1993
Luis Fernando Fernández,27,midfield,Real Burgos CF,0.0,out,Summer,1992,1992/1993
Ismael Urtubi,31,Left Midfield,Unknown,0.0,out,Summer,1992,1992/1993
Andoni Ayarza,27,defence,Rayo Vallecano,0.0,out,Winter,1992,1992/1993
Iñigo Larrainzar,22,Right-Back,CA Osasuna,1200000.0,in,Summer,1993,1993/1994
Aitor Karanka,19,Centre-Back,Bilbao Athletic,0.0,in,Summer,1993,1993/1994
Jorge Aizkorreta,19,Goalkeeper,CD Basconia,0.0,in,Summer,1993,1993/1994
José Manuel Galdames,22,Centre-Back,Bilbao Athletic,0.0,in,Summer,1993,1993/1994
Rafael Alkorta,24,Centre-Back,Real Madrid,2300000.0,out,Summer,1993,1993/1994
Vicente Uriz,22,Defensive Midfield,Levante,0.0,out,Summer,1993,1993/1994
David Billabona,23,Central Midfield,Racing,0.0,out,Summer,1993,1993/1994
Luis de la Fuente,32,Left-Back,Alavés,0.0,out,Summer,1993,1993/1994
Javi Luke,25,midfield,CA Osasuna,0.0,out,Summer,1993,1993/1994
Patxi Rípodas,32,Central Midfield,Retired,0.0,out,Summer,1993,1993/1994
Josema,24,Right-Back,UD Salamanca,0.0,out,Winter,1993,1993/1994
Jon Andoni Goikoetxea,28,Right Midfield,Barcelona,4200000.0,in,Summer,1994,1994/1995
Bittor Alkiza,23,Left Midfield,Real Sociedad,1300000.0,in,Summer,1994,1994/1995
Felipe Guréndez,18,Right-Back,Bilbao Athletic,0.0,in,Summer,1994,1994/1995
Gontzal Suances,21,attack,Bilbao Athletic,0.0,in,Summer,1994,1994/1995
Oskar Vales,19,Right-Back,Bilbao Athletic,0.0,in,Summer,1994,1994/1995
Javi Luke,26,midfield,CA Osasuna,0.0,in,Summer,1994,1994/1995
Xabier Eskurza,24,Central Midfield,Barcelona,4000000.0,out,Summer,1994,1994/1995
Jon Uribarrena,25,attack,Celta de Vigo,180000.0,out,Summer,1994,1994/1995
Asier García,27,defence,CA Osasuna,0.0,out,Summer,1994,1994/1995
José Manuel Galdames,23,Centre-Back,SD Compostela,0.0,out,Summer,1994,1994/1995
Carlos García,23,Defensive Midfield,CA Osasuna,0.0,out,Summer,1994,1994/1995
Joseba Etxeberria,17,Right Winger,Real Sociedad,3000000.0,in,Summer,1995,1995/1996
Txutxi,22,Centre-Back,Bilbao Athletic,0.0,in,Summer,1995,1995/1996
Bolo,21,Centre-Forward,Bilbao Athletic,0.0,in,Summer,1995,1995/1996
José Manuel Galdames,24,Centre-Back,SD Compostela,0.0,in,Summer,1995,1995/1996
Carlos García,24,Defensive Midfield,CA Osasuna,0.0,in,Summer,1995,1995/1996
Kike Burgos,24,Goalkeeper,RCD Mallorca,0.0,out,Summer,1995,1995/1996
Gontzal Suances,22,attack,Racing,0.0,out,Summer,1995,1995/1996
Javi Luke,27,midfield,Almería CF,0.0,out,Summer,1995,1995/1996
Ismael Urzaiz,24,Centre-Forward,Espanyol,2550000.0,in,Summer,1996,1996/1997
Bixente Lizarazu,26,Left-Back,G. Bordeaux,1860000.0,in,Summer,1996,1996/1997
José Mari,25,Attacking Midfield,Real Betis,1500000.0,in,Summer,1996,1996/1997
Imanol Etxeberria,23,Goalkeeper,Bilbao Athletic,0.0,in,Summer,1996,1996/1997
