player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Luis García,23,attack,UNAM Pumas,720000.0,in,Summer,1992,1992/1993
Tilico,27,attack,São Paulo,0.0,in,Summer,1992,1992/1993
Antonio Acosta,21,midfield,Atl. Madrid B,0.0,in,Summer,1992,1992/1993
Manolo Alfaro,21,Centre-Forward,Atl. Madrid B,0.0,in,Summer,1992,1992/1993
Pizo Gómez,28,midfield,Espanyol,0.0,in,Summer,1992,1992/1993
Tilico,27,attack,Atl. Marbella,0.0,out,Summer,1992,1992/1993
Sebastián Losada,24,attack,Sevilla FC,0.0,out,Summer,1992,1992/1993
Pizo Gómez,28,midfield,Rayo Vallecano,0.0,out,Summer,1992,1992/1993
Vladan Lukic,22,Centre-Forward,Red Star,0.0,in,Winter,1992,1992/1993
José Luis Villarreal,26,Defensive Midfield,Boca Juniors,0.0,in,Winter,1992,1992/1993
Fernando Moner,25,Left-Back,AS Flügels,0.0,out,Winter,1992,1992/1993
José Luis Caminero,25,Central Midfield,Real Valladolid,2400000.0,in,Summer,1993,1993/1994
Roman Kosecki,27,Centre-Forward,CA Osasuna,1800000.0,in,Summer,1993,1993/1994
Moacir,23,Defensive Midfield,Corinthians,1200000.0,in,Summer,1993,1993/1994
Kiko Narváez,21,Centre-Forward,Cádiz CF,1200000.0,in,Summer,1993,1993/1994
Mami Quevedo,24,Central Midfield,Cádiz CF,900000.0,in,Summer,1993,1993/1994
Serge-Alain Maguy,22,midfield,Africa Sports,600000.0,in,Summer,1993,1993/1994
Pirri Mori,22,Attacking Midfield,Real Oviedo,0.0,in,Summer,1993,1993/1994
Pizo Gómez,29,midfield,Rayo Vallecano,0.0,in,Summer,1993,1993/1994
Tilico,28,attack,Atl. Marbella,0.0,in,Summer,1993,1993/1994
Paulo Futre,27,Left Winger,Benfica,1000000.0,out,Summer,1993,1993/1994
Juan Carlos Aguilera,24,Right-Back,CD Tenerife,750000.0,out,Summer,1993,1993/1994
Gabi Moya,27,midfield,Sevilla FC,420000.0,out,Summer,1993,1993/1994
Bernd Schuster,33,Attacking Midfield,Bay. Leverkusen,0.0,out,Summer,1993,1993/1994
Manolo Alfaro,22,Centre-Forward,Real Valladolid,0.0,out,Summer,1993,1993/1994
José Luis Villarreal,27,Defensive Midfield,River Plate,0.0,out,Summer,1993,1993/1994
Vladan Lukic,23,Centre-Forward,Vojvodina,0.0,out,Summer,1993,1993/1994
Antonio Orejuela,32,midfield,Rayo Vallecano,0.0,out,Summer,1993,1993/1994
Alfredo Santaelena,25,midfield,Dep. La Coruña,0.0,out,Summer,1993,1993/1994
Ángel Mejías,34,Goalkeeper,Talavera CF,0.0,out,Summer,1993,1993/1994
Antonio Acosta,21,midfield,Cádiz CF,0.0,out,Summer,1993,1993/1994
Donato,30,Defensive Midfield,Dep. La Coruña,0.0,out,Summer,1993,1993/1994
Patxi Ferreira,26,Centre-Back,Sevilla FC,0.0,out,Summer,1993,1993/1994
José Soler,26,midfield,Badajoz,0.0,in,Winter,1993,1993/1994
Tilico,28,attack,Fluminense,0.0,out,Winter,1993,1993/1994
Moacir,23,Defensive Midfield,Corinthians,0.0,out,Winter,1993,1993/1994
Diego Simeone,24,Central Midfield,Sevilla FC,2700000.0,in,Summer,1994,1994/1995
Adolfo Valencia,26,Centre-Forward,Bayern Munich,2250000.0,in,Summer,1994,1994/1995
Delfí Geli,25,Right-Back,Albacete,1200000.0,in,Summer,1994,1994/1995
Santi Denia,20,Centre-Back,Albacete,0.0,in,Summer,1994,1994/1995
Iván Rocha,25,Left-Back,Real Valladolid,0.0,in,Summer,1994,1994/1995
Igor Dobrovolski,26,Attacking Midfield,Dinamo Moscow,0.0,in,Summer,1994,1994/1995
Juan Carlos,21,attack,Atl. Madrid B,0.0,in,Summer,1994,1994/1995
Patxi Ferreira,27,Centre-Back,Sevilla FC,0.0,in,Summer,1994,1994/1995
Moacir,24,Defensive Midfield,Corinthians,0.0,in,Summer,1994,1994/1995
Moacir,24,Defensive Midfield,Sevilla FC,800000.0,out,Summer,1994,1994/1995
Juanito,29,Centre-Back,Sevilla FC,600000.0,out,Summer,1994,1994/1995
Pedro,26,Left-Back,Sevilla FC,400000.0,out,Summer,1994,1994/1995
Pizo Gómez,30,midfield,CA Osasuna,0.0,out,Summer,1994,1994/1995
Juan Sabas,27,Centre-Forward,Real Betis,0.0,out,Summer,1994,1994/1995
Juanma Alamillos,21,defence,CD Toledo,0.0,out,Summer,1994,1994/1995
Mami Quevedo,25,Central Midfield,Real Valladolid,0.0,out,Summer,1994,1994/1995
Luis García,25,attack,Real Sociedad,0.0,out,Summer,1994,1994/1995
Juan Carlos,21,attack,Atl. Marbella,0.0,out,Summer,1994,1994/1995
Manuel Ruano,20,Right Midfield,Atl. Madrid B,0.0,in,Winter,1994,1994/1995
Serge-Alain Maguy,24,midfield,ASEC Mimosas,0.0,out,Winter,1994,1994/1995
Miguel Ángel Benítez,24,Centre-Forward,CP Mérida,0.0,out,Winter,1994,1994/1995
José Soler,27,midfield,CA Osasuna,0.0,out,Winter,1994,1994/1995
Roberto Fresnedoso,22,Central Midfield,Espanyol,1800000.0,in,Summer,1995,1995/1996
Leo Biagini,18,Centre-Forward,Newell's,1200000.0,in,Summer,1995,1995/1996
Milinko Pantic,28,Attacking Midfield,Panionios,500000.0,in,Summer,1995,1995/1996
Fernando Correa,21,Centre-Forward,River Plate,120000.0,in,Summer,1995,1995/1996
Lyuboslav Penev,28,Centre-Forward,Valencia,0.0,in,Summer,1995,1995/1996
José Francisco Molina,24,Goalkeeper,Albacete,0.0,in,Summer,1995,1995/1996
Miguel Ángel Benítez,25,Centre-Forward,CP Mérida,0.0,in,Summer,1995,1995/1996
Iván Rocha,27,Left-Back,Real Valladolid,0.0,in,Summer,1995,1995/1996
José Soler,27,midfield,CA Osasuna,0.0,in,Summer,1995,1995/1996
Juan Carlos,22,attack,Atl. Marbella,0.0,in,Summer,1995,1995/1996
Miguel Ángel Benítez,25,Centre-Forward,Espanyol,1050000.0,out,Summer,1995,1995/1996
Abel Resino,35,Goalkeeper,Rayo Vallecano,0.0,out,Summer,1995,1995/1996
Manolo,30,Centre-Forward,CP Mérida,0.0,out,Summer,1995,1995/1996
Adolfo Valencia,27,Centre-Forward,Indep. Santa Fe,0.0,out,Summer,1995,1995/1996
Manuel Ruano,20,Right Midfield,Rayo Vallecano,0.0,out,Summer,1995,1995/1996
Patxi Ferreira,28,Centre-Back,Valencia,0.0,out,Summer,1995,1995/1996
Roman Kosecki,29,Centre-Forward,FC Nantes,0.0,out,Summer,1995,1995/1996
Diego,26,Goalkeeper,Real Valladolid,0.0,out,Summer,1995,1995/1996
José Soler,27,midfield,Atl. Marbella,0.0,out,Summer,1995,1995/1996
Igor Dobrovolski,27,Attacking Midfield,Without Club,0.0,out,Summer,1995,1995/1996
Quinton Fortune,18,Central Midfield,RCD Mallorca,0.0,in,Winter,1995,1995/1996
Dani,23,Right-Back,RCD Mallorca,0.0,in,Winter,1995,1995/1996
José Soler,28,midfield,Atl. Marbella,0.0,in,Winter,1995,1995/1996
Iván Rocha,26,Left-Back,Real Valladolid,0.0,out,Winter,1995,1995/1996
Juan Esnáider,23,Centre-Forward,Real Madrid,2400000.0,in,Summer,1996,1996/1997
Juan Carlos Aguilera,27,Right-Back,CD Tenerife,1680000.0,in,Summer,1996,1996/1997
Radek Bejbl,23,Defensive Midfield,Slavia Prague,900000.0,in,Summer,1996,1996/1997
Daniel Prodan,24,Centre-Back,Steaua Bucharest,350000.0,in,Summer,1996,1996/1997
Santiago Ezquerro,19,Centre-Forward,CA Osasuna,180000.0,in,Summer,1996,1996/1997
Pablo Alfaro,27,Centre-Back,Racing,0.0,in,Summer,1996,1996/1997
Djordje Tomic,23,Central Midfield,Guingamp,0.0,in,Summer,1996,1996/1997
Veljko Paunovic,18,Centre-Forward,Atl. Marbella,0.0,in,Summer,1996,1996/1997
Yordi,21,Centre-Forward,Sevilla FC,0.0,in,Summer,1996,1996/1997
Diego Simeone,26,Central Midfield,Inter,6000000.0,out,Summer,1996,1996/1997
Lyuboslav Penev,29,Centre-Forward,SD Compostela,1800000.0,out,Summer,1996,1996/1997
Dani,23,Right-Back,CD Tenerife,600000.0,out,Summer,1996,1996/1997
Fernando Correa,22,Centre-Forward,Racing,0.0,out,Summer,1996,1996/1997
José Soler,28,midfield,CF Extremadura,0.0,out,Summer,1996,1996/1997
Tomás Reñones,35,Right-Back,Atl. Marbella,0.0,out,Summer,1996,1996/1997
Pirri Mori,25,Attacking Midfield,SD Compostela,0.0,out,Summer,1996,1996/1997
Iván Rocha,27,Left-Back,CD Logroñés,0.0,out,Winter,1996,1996/1997
Christian Vieri,23,Centre-Forward,Juventus,17560000.0,in,Summer,1997,1997/1998
Rade Bogdanovic,27,Centre-Forward,JEF Utd Ichihara,17400000.0,in,Summer,1997,1997/1998
Juninho Paulista,24,Attacking Midfield,Middlesbrough,13800000.0,in,Summer,1997,1997/1998
Jordi Lardín,24,Left Winger,Espanyol,9020000.0,in,Summer,1997,1997/1998
Andrei Frascarelli,24,Centre-Back,Atlético-PR,3000000.0,in,Summer,1997,1997/1998
José Mari,18,Centre-Forward,Sevilla B,900000.0,in,Summer,1997,1997/1998
Paulo Futre,31,Left Winger,West Ham,0.0,in,Summer,1997,1997/1998
Ramón González,22,Centre-Back,Real Valladolid,0.0,in,Summer,1997,1997/1998
Iván Rocha,29,Left-Back,RCD Mallorca,0.0,in,Summer,1997,1997/1998
Yordi,22,Centre-Forward,Real Zaragoza,3600000.0,out,Summer,1997,1997/1998
Roberto Solozábal,27,Centre-Back,Real Betis,2400000.0,out,Summer,1997,1997/1998
Leo Biagini,20,Centre-Forward,CP Mérida,210000.0,out,Summer,1997,1997/1998
Juan Esnáider,24,Centre-Forward,Espanyol,0.0,out,Summer,1997,1997/1998
Juan Carlos,24,attack,Real Valladolid,0.0,out,Summer,1997,1997/1998
Avi Nimni,25,Attacking Midfield,M. Tel Aviv,3500000.0,in,Winter,1997,1997/1998
Rade Bogdanovic,27,Centre-Forward,NAC Breda,0.0,out,Winter,1997,1997/1998
Santiago Ezquerro,21,Centre-Forward,RCD Mallorca,0.0,out,Winter,1997,1997/1998
Roberto Fresnedoso,24,Central Midfield,Espanyol,0.0,out,Winter,1997,1997/1998
Juan Carlos Valerón,23,Attacking Midfield,RCD Mallorca,9000000.0,in,Summer,1998,1998/1999
Michele Serena,28,Left-Back,Fiorentina,6000000.0,in,Summer,1998,1998/1999
José Chamot,29,Centre-Back,Lazio,6000000.0,in,Summer,1998,1998/1999
Vladimir Jugovic,28,Left Midfield,Lazio,5000000.0,in,Summer,1998,1998/1999
Stefano Torrisi,27,Centre-Back,Bologna,4800000.0,in,Summer,1998,1998/1999
Zoran Njegus,25,Right-Back,Red Star,3800000.0,in,Summer,1998,1998/1999
Óscar Mena,27,Right Midfield,RCD Mallorca,3000000.0,in,Summer,1998,1998/1999
José Luque,20,Left Midfield,Badajoz,0.0,in,Summer,1998,1998/1999
Gaspar Gálvez,18,Centre-Back,Atl. Madrid B,0.0,in,Summer,1998,1998/1999
Roberto Fresnedoso,25,Central Midfield,Espanyol,0.0,in,Summer,1998,1998/1999
Fernando Correa,24,Centre-Forward,Racing,0.0,in,Summer,1998,1998/1999
Santiago Ezquerro,21,Centre-Forward,RCD Mallorca,0.0,in,Summer,1998,1998/1999
Leo Biagini,21,Centre-Forward,CP Mérida,0.0,in,Summer,1998,1998/1999
Rade Bogdanovic,28,Centre-Forward,NAC Breda,0.0,in,Summer,1998,1998/1999
Christian Vieri,25,Centre-Forward,Lazio,28410000.0,out,Summer,1998,1998/1999
Santiago Ezquerro,21,Centre-Forward,Athletic,6000000.0,out,Summer,1998,1998/1999
Rade Bogdanovic,28,Centre-Forward,Werder Bremen,1350000.0,out,Summer,1998,1998/1999
Daniel Prodan,26,Centre-Back,Rangers,600000.0,out,Summer,1998,1998/1999
Paulo Futre,32,Left Winger,Yokohama Flüg.,0.0,out,Summer,1998,1998/1999
Avi Nimni,26,Attacking Midfield,M. Tel Aviv,0.0,out,Summer,1998,1998/1999
Leo Biagini,21,Centre-Forward,RCD Mallorca,0.0,out,Summer,1998,1998/1999
Djordje Tomic,25,Central Midfield,Partizan,0.0,out,Summer,1998,1998/1999
Juan Vizcaíno,31,Defensive Midfield,Real Valladolid,0.0,out,Summer,1998,1998/1999
Milinko Pantic,31,Attacking Midfield,AC Le Havre,0.0,out,Summer,1998,1998/1999
Andrei Frascarelli,25,Centre-Back,Real Betis,0.0,out,Summer,1998,1998/1999
Pablo Alfaro,29,Centre-Back,CP Mérida,0.0,out,Summer,1998,1998/1999
José Luis Caminero,30,Central Midfield,Real Valladolid,0.0,out,Summer,1998,1998/1999
Iván Rocha,29,Left-Back,Alavés,0.0,out,Summer,1998,1998/1999
Veljko Paunovic,20,Centre-Forward,RCD Mallorca,0.0,out,Summer,1998,1998/1999
Ivo Rodríguez,20,midfield,RCD Mallorca,0.0,out,Summer,1998,1998/1999
Giorgio Venturin,30,Central Midfield,Lazio,3600000.0,in,Winter,1998,1998/1999
Santiago Solari,22,Left Midfield,River Plate,0.0,in,Winter,1998,1998/1999
Juan González,26,Centre-Forward,Real Oviedo,0.0,in,Winter,1998,1998/1999
Rubén Baraja,23,Central Midfield,Atl. Madrid B,0.0,in,Winter,1998,1998/1999
José Luque,21,Left Midfield,Albacete,0.0,out,Winter,1998,1998/1999
Jimmy Floyd Hasselbaink,27,Centre-Forward,Leeds,16700000.0,in,Summer,1999,1999/2000
Joan Capdevila,21,Left-Back,Espanyol,4800000.0,in,Summer,1999,1999/2000
Celso Ayala,28,Centre-Back,Real Betis,3000000.0,in,Summer,1999,1999/2000
Hugo Leal,19,Central Midfield,Benfica,0.0,in,Summer,1999,1999/2000
Cristian Díaz,23,Centre-Back,Málaga CF,0.0,in,Summer,1999,1999/2000
Toni Jiménez,28,Goalkeeper,Espanyol,0.0,in,Summer,1999,1999/2000
Leonel Pilipauskas,24,Centre-Back,Bella Vista,0.0,in,Summer,1999,1999/2000
Carlos Gamarra,28,Centre-Back,Corinthians,0.0,in,Summer,1999,1999/2000
Veljko Paunovic,21,Centre-Forward,RCD Mallorca,0.0,in,Summer,1999,1999/2000
Ivo Rodríguez,21,midfield,RCD Mallorca,0.0,in,Summer,1999,1999/2000
José Luque,21,Left Midfield,Albacete,0.0,in,Summer,1999,1999/2000
Rubén Baraja,23,Central Midfield,Valencia,10800000.0,out,Summer,1999,1999/2000
Michele Serena,29,Left-Back,Inter,7500000.0,out,Summer,1999,1999/2000
Vladimir Jugovic,29,Left Midfield,Inter,2000000.0,out,Summer,1999,1999/2000
Ramón González,24,Centre-Back,UD Las Palmas,1750000.0,out,Summer,1999,1999/2000
Delfí Geli,30,Right-Back,Albacete,0.0,out,Summer,1999,1999/2000
Stefano Torrisi,28,Centre-Back,AC Parma,0.0,out,Summer,1999,1999/2000
Juninho Paulista,26,Attacking Midfield,Middlesbrough,0.0,out,Summer,1999,1999/2000
Pedro Jaro,36,Goalkeeper,Retired,0.0,out,Summer,1999,1999/2000
Juan González,27,Centre-Forward,Real Oviedo,0.0,out,Summer,1999,1999/2000
José Mari,21,Centre-Forward,Milan,19000000.0,out,Winter,1999,1999/2000
José Chamot,30,Centre-Back,Milan,3000000.0,out,Winter,1999,1999/2000
Quinton Fortune,22,Central Midfield,Man Utd,2250000.0,out,Winter,1999,1999/2000
Javi Moreno,27,Centre-Forward,Milan,13000000.0,in,Summer,2002,2002/2003
Émerson,30,Defensive Midfield,Dep. La Coruña,6500000.0,in,Summer,2002,2002/2003
Jovan Stankovic,30,Left Midfield,Marseille,4800000.0,in,Summer,2002,2002/2003
Cosmin Contra,26,Right-Back,Milan,3000000.0,in,Summer,2002,2002/2003
Javier Pinola,19,Centre-Back,Chacarita Jrs.,800000.0,in,Summer,2002,2002/2003
Fabricio Coloccini,20,Centre-Back,Milan,100000.0,in,Summer,2002,2002/2003
Sergi Barjuan,30,Left-Back,Barcelona,0.0,in,Summer,2002,2002/2003
José Mari,23,Centre-Forward,Milan,0.0,in,Summer,2002,2002/2003
Luis García,24,Right Winger,Barcelona,0.0,in,Summer,2002,2002/2003
Esteban,27,Goalkeeper,Real Oviedo,0.0,in,Summer,2002,2002/2003
Demetrio Albertini,30,Defensive Midfield,Milan,0.0,in,Summer,2002,2002/2003
Juanma Barrero,22,Goalkeeper,Atlco. Aviación,0.0,in,Summer,2002,2002/2003
Zoran Njegus,29,Right-Back,Sevilla FC,0.0,in,Summer,2002,2002/2003
Catalin Munteanu,23,Attacking Midfield,Espanyol,0.0,in,Summer,2002,2002/2003
Jordi Lardín,29,Left Winger,Xerez CD,0.0,in,Summer,2002,2002/2003
Juninho Paulista,29,Attacking Midfield,Flamengo,0.0,in,Summer,2002,2002/2003
Carlos Llorens,33,Left-Back,Alavés,0.0,in,Summer,2002,2002/2003
Veljko Paunovic,24,Centre-Forward,RCD Mallorca,0.0,in,Summer,2002,2002/2003
Juninho Paulista,29,Attacking Midfield,Middlesbrough,6900000.0,out,Summer,2002,2002/2003
Zoran Njegus,29,Right-Back,Sevilla FC,1200000.0,out,Summer,2002,2002/2003
Antonio López,20,Left-Back,CA Osasuna,0.0,out,Summer,2002,2002/2003
Javi Guerrero,25,Centre-Forward,Racing,0.0,out,Summer,2002,2002/2003
José Luque,24,Left Midfield,Espanyol,0.0,out,Summer,2002,2002/2003
Catalin Munteanu,23,Attacking Midfield,Albacete,0.0,out,Summer,2002,2002/2003
Toni Jiménez,31,Goalkeeper,Elche CF,0.0,out,Summer,2002,2002/2003
Jesús Muñoz,26,Central Midfield,Dep. La Coruña,0.0,out,Summer,2002,2002/2003
Iván Amaya,23,Centre-Back,Espanyol,0.0,out,Summer,2002,2002/2003
Juan Carlos,29,attack,Getafe,0.0,out,Summer,2002,2002/2003
Sergio Sánchez,25,Goalkeeper,Espanyol,0.0,out,Summer,2002,2002/2003
Veljko Paunovic,24,Centre-Forward,CD Tenerife,0.0,out,Summer,2002,2002/2003
Gonzalo Colsa,23,Defensive Midfield,Real Valladolid,0.0,out,Summer,2002,2002/2003
Roberto Fresnedoso,29,Central Midfield,UD Salamanca,0.0,out,Summer,2002,2002/2003
Juan Gómez,31,defence,Retired,0.0,out,Summer,2002,2002/2003
Jordi Lardín,29,Left Winger,Career break,0.0,out,Summer,2002,2002/2003
Diego Alonso,27,Centre-Forward,Valencia,0.0,out,Summer,2002,2002/2003
Rodrigo Fabri,26,Attacking Midfield,Real Madrid,3000000.0,in,Winter,2002,2002/2003
