player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Roman Kosecki,26,Centre-Forward,Galatasaray,800000.0,in,Summer,1992,1992/1993
Patxi Iru,29,Goalkeeper,Athletic,0.0,in,Summer,1992,1992/1993
Javi Sánchez Jara,22,Right-Back,Barcelona,0.0,in,Summer,1992,1992/1993
Jesús Unanua,23,Goalkeeper,Albacete,0.0,out,Summer,1992,1992/1993
Miguel Sola,34,Attacking Midfield,Retired,0.0,out,Summer,1992,1992/1993
Fermín de Luis,28,defence,Retired,0.0,out,Summer,1992,1992/1993
Thomas Christiansen,20,Centre-Forward,Barcelona B,0.0,in,Summer,1993,1993/1994
Ramón de Quintana,21,Centre-Back,UE Figueres,0.0,in,Summer,1993,1993/1994
Jesús Unanua,24,Goalkeeper,Albacete,0.0,in,Summer,1993,1993/1994
Ryszard Staniek,22,Attacking Midfield,Górnik Zabrze,0.0,in,Summer,1993,1993/1994
Javi Luke,25,midfield,Athletic,0.0,in,Summer,1993,1993/1994
Javier López Vallejo,17,Goalkeeper,CA Osasuna Prom,0.0,in,Summer,1993,1993/1994
Santiago Castillejo,21,attack,CA Osasuna Prom,0.0,in,Summer,1993,1993/1994
José Manuel Yanguas,21,Right-Back,CA Osasuna Prom,0.0,in,Summer,1993,1993/1994
Roman Kosecki,27,Centre-Forward,Atlético Madrid,1800000.0,out,Summer,1993,1993/1994
Iñigo Larrainzar,22,Right-Back,Athletic,1200000.0,out,Summer,1993,1993/1994
Goran Stevanovic,26,midfield,Farense,0.0,out,Summer,1993,1993/1994
Deyan Angelov,28,midfield,Levski Sofia,0.0,out,Summer,1993,1993/1994
Cholo,31,Centre-Forward,Real Burgos CF,0.0,out,Summer,1993,1993/1994
Alberto Aguilà,22,attack,UE Lleida,0.0,out,Summer,1993,1993/1994
Patxi Iru,30,Goalkeeper,Elche CF,0.0,out,Summer,1993,1993/1994
Leonel Gancedo,29,Left Midfield,River Plate,1700000.0,in,Summer,2000,2000/2001
Leandro Sena,23,Central Midfield,CP Mérida,0.0,in,Summer,2000,2000/2001
Risto Vidakovic,31,Centre-Back,Real Betis,0.0,in,Summer,2000,2000/2001
Moha,22,Attacking Midfield,Barcelona B,0.0,in,Summer,2000,2000/2001
Nuno Espírito Santo,26,Goalkeeper,Dep. La Coruña,0.0,in,Summer,2000,2000/2001
Ángel Lekunberri,30,midfield,SD Compostela,0.0,in,Summer,2000,2000/2001
Óscar Ollés,24,Centre-Forward,Cartagonova,0.0,in,Summer,2000,2000/2001
Aitor Ocio,23,Centre-Back,Albacete,0.0,in,Summer,2000,2000/2001
Mariano Armentano,25,Centre-Forward,Elche CF,0.0,in,Summer,2000,2000/2001
