player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Gabriel Pires,22,Central Midfield,Juventus,2500000.0,in,Summer,2016,2016/2017
Mamadou Koné,24,Centre-Forward,Racing,1200000.0,in,Summer,2016,2016/2017
Diego Rico,23,Left-Back,Real Zaragoza,1000000.0,in,Summer,2016,2016/2017
Luciano,23,Centre-Forward,Corinthians,400000.0,in,Summer,2016,2016/2017
Unai Bustinza,24,Centre-Back,Athletic,0.0,in,Summer,2016,2016/2017
Miguel Ángel Guerrero,25,Centre-Forward,Sporting Gijón,0.0,in,Summer,2016,2016/2017
Carl Medjani,31,Defensive Midfield,Levante,0.0,in,Summer,2016,2016/2017
Adrián Marín,19,Left-Back,Villarreal,0.0,in,Summer,2016,2016/2017
Alberto Brignoli,24,Goalkeeper,Juventus,0.0,in,Summer,2016,2016/2017
Rober Ibáñez,23,Right Winger,Valencia,0.0,in,Summer,2016,2016/2017
Darwin Machís,23,Left Winger,Granada CF,0.0,in,Summer,2016,2016/2017
Rubén Pérez,27,Defensive Midfield,Granada CF,0.0,in,Summer,2016,2016/2017
Unai López,20,Central Midfield,Athletic,0.0,in,Summer,2016,2016/2017
Toni Arranz,22,Central Midfield,R. Majadahonda,0.0,in,Summer,2016,2016/2017
Rubén Peña,24,Right-Back,SD Eibar,200000.0,out,Summer,2016,2016/2017
Paco Candela,23,Central Midfield,CF Fuenlabrada,0.0,out,Summer,2016,2016/2017
Toni Arranz,22,Central Midfield,UD Sanse,0.0,out,Summer,2016,2016/2017
Alain Eizmendi,26,Right Winger,Real Unión,0.0,out,Summer,2016,2016/2017
Luis Ruiz,24,Left-Back,Cádiz CF,0.0,out,Summer,2016,2016/2017
Queco Piña,36,Goalkeeper,SD Huesca,0.0,out,Summer,2016,2016/2017
Unai Albizua,27,Centre-Back,UCAM Murcia,0.0,out,Summer,2016,2016/2017
Jorge Miramón,27,Right-Back,Reus Deportiu,0.0,out,Summer,2016,2016/2017
César Soriano,33,Left-Back,SD Huesca,0.0,out,Summer,2016,2016/2017
Borja Lázaro,28,Centre-Forward,SD Huesca,0.0,out,Summer,2016,2016/2017
Asdrúbal Padrón,25,Centre-Forward,UD Las Palmas,0.0,out,Summer,2016,2016/2017
Guillermo Fernández,23,Centre-Forward,Athletic,0.0,out,Summer,2016,2016/2017
Gabriel Pires,22,Central Midfield,Juventus,0.0,out,Summer,2016,2016/2017
Unai Bustinza,24,Centre-Back,Athletic,0.0,out,Summer,2016,2016/2017
Iñigo Ruiz de Galarreta,22,Central Midfield,Athletic,0.0,out,Summer,2016,2016/2017
Erik Morán,25,Defensive Midfield,Real Zaragoza,200000.0,in,Winter,2016,2016/2017
Nereo Champagne,31,Goalkeeper,Olimpo,150000.0,in,Winter,2016,2016/2017
Nabil El Zhar,30,Right Winger,UD Las Palmas,0.0,in,Winter,2016,2016/2017
Iago Herrerín,28,Goalkeeper,Athletic,0.0,in,Winter,2016,2016/2017
Dimitrios Siovas,28,Centre-Back,Olympiacos,0.0,in,Winter,2016,2016/2017
Samu García,26,Right Winger,Rubin Kazan,0.0,in,Winter,2016,2016/2017
Tito,31,Right-Back,Granada CF,0.0,in,Winter,2016,2016/2017
Alberto Bueno,28,Second Striker,FC Porto,0.0,in,Winter,2016,2016/2017
Lluis Sastre,30,Central Midfield,SD Huesca,0.0,out,Winter,2016,2016/2017
Carl Medjani,31,Defensive Midfield,Trabzonspor,0.0,out,Winter,2016,2016/2017
Toni Dovale,26,Right Winger,Rayo Vallecano,0.0,out,Winter,2016,2016/2017
Alberto Brignoli,25,Goalkeeper,Juventus,0.0,out,Winter,2016,2016/2017
Dimitrios Siovas,28,Centre-Back,Olympiacos,3000000.0,in,Summer,2017,2017/2018
Ezequiel Muñoz,26,Centre-Back,Genoa,2500000.0,in,Summer,2017,2017/2018
Tito,31,Right-Back,Granada CF,600000.0,in,Summer,2017,2017/2018
Luciano,24,Centre-Forward,Corinthians,450000.0,in,Summer,2017,2017/2018
Gerard Gumbau,22,Defensive Midfield,Barcelona B,0.0,in,Summer,2017,2017/2018
Waly Diouf,20,Centre-Back,AJ Auxerre B,0.0,in,Summer,2017,2017/2018
Javi Eraso,27,Attacking Midfield,Athletic,0.0,in,Summer,2017,2017/2018
Iván Cuéllar,33,Goalkeeper,Sporting Gijón,0.0,in,Summer,2017,2017/2018
Raúl Carnero,28,Left-Back,Alavés,0.0,in,Summer,2017,2017/2018
Mauro dos Santos,28,Centre-Back,SD Eibar,0.0,in,Summer,2017,2017/2018
Owusu,20,Centre-Forward,SC Accra,0.0,in,Summer,2017,2017/2018
Nordin Amrabat,30,Right Winger,Watford,0.0,in,Summer,2017,2017/2018
José Naranjo,23,Left Winger,KRC Genk,0.0,in,Summer,2017,2017/2018
Josua Mejías,20,Centre-Back,Carabobo FC,0.0,in,Summer,2017,2017/2018
Joseba Zaldua,25,Right-Back,Real Sociedad,0.0,in,Summer,2017,2017/2018
Darko Brasanac,25,Central Midfield,Real Betis,0.0,in,Summer,2017,2017/2018
Nereo Champagne,32,Goalkeeper,Olimpo,0.0,in,Summer,2017,2017/2018
Claudio Beauvue,29,Centre-Forward,Celta de Vigo,0.0,in,Summer,2017,2017/2018
David Timor,27,Defensive Midfield,Girona,0.0,out,Summer,2017,2017/2018
Alberto Martín,28,Central Midfield,Granada CF,0.0,out,Summer,2017,2017/2018
Víctor Díaz,29,Right-Back,Granada CF,0.0,out,Summer,2017,2017/2018
Josua Mejías,20,Centre-Back,FC Cartagena,0.0,out,Summer,2017,2017/2018
Owusu,20,Centre-Forward,Real Oviedo,0.0,out,Summer,2017,2017/2018
Luciano,24,Centre-Forward,Panathinaikos,0.0,out,Summer,2017,2017/2018
Adrián Marín,20,Left-Back,Villarreal,0.0,out,Summer,2017,2017/2018
Yahia Al-Shehri,28,Right Winger,Al-Nassr FC,0.0,out,Summer,2017,2017/2018
Unai López,21,Central Midfield,Athletic,0.0,out,Summer,2017,2017/2018
Darwin Machís,24,Left Winger,Granada CF,0.0,out,Summer,2017,2017/2018
Luciano,24,Centre-Forward,Corinthians,0.0,out,Summer,2017,2017/2018
Rober Ibáñez,24,Right Winger,Valencia,0.0,out,Summer,2017,2017/2018
Iago Herrerín,29,Goalkeeper,Athletic,0.0,out,Summer,2017,2017/2018
Pablo Insua,23,Centre-Back,Dep. La Coruña,0.0,out,Summer,2017,2017/2018
Dimitrios Siovas,28,Centre-Back,Olympiacos,0.0,out,Summer,2017,2017/2018
Nereo Champagne,32,Goalkeeper,Olimpo,0.0,out,Summer,2017,2017/2018
Samu García,26,Right Winger,Rubin Kazan,0.0,out,Summer,2017,2017/2018
Tito,31,Right-Back,Granada CF,0.0,out,Summer,2017,2017/2018
Alberto Bueno,29,Second Striker,FC Porto,0.0,out,Summer,2017,2017/2018
Yahia Al-Shehri,27,Right Winger,Al-Nassr FC,0.0,in,Winter,2017,2017/2018
Owusu,20,Centre-Forward,Real Oviedo,0.0,in,Winter,2017,2017/2018
Erik Morán,26,Defensive Midfield,AEK Athens,130000.0,out,Winter,2017,2017/2018
Waly Diouf,20,Centre-Back,Palanga,0.0,out,Winter,2017,2017/2018
Owusu,20,Centre-Forward,FC Cartagena,0.0,out,Winter,2017,2017/2018
Mamadou Koné,26,Centre-Forward,KAS Eupen,0.0,out,Winter,2017,2017/2018
Youssef En-Nesyri,21,Centre-Forward,Málaga CF,6000000.0,in,Summer,2018,2018/2019
José Manuel Arnáiz,23,Left Winger,Barcelona B,5000000.0,in,Summer,2018,2018/2019
Recio,27,Central Midfield,Málaga CF,1500000.0,in,Summer,2018,2018/2019
Diego Rolán,25,Centre-Forward,Dep. La Coruña,1000000.0,in,Summer,2018,2018/2019
Kenneth Omeruo,24,Centre-Back,Chelsea,800000.0,in,Summer,2018,2018/2019
Óscar Rodríguez,20,Attacking Midfield,Real Madrid,600000.0,in,Summer,2018,2018/2019
Josua Mejías,20,Centre-Back,Carabobo FC,450000.0,in,Summer,2018,2018/2019
Jonathan Silva,24,Left-Back,Sporting CP,400000.0,in,Summer,2018,2018/2019
Facundo García,18,Central Midfield,Olimpo,350000.0,in,Summer,2018,2018/2019
Juanfran Moreno,29,Right-Back,Dep. La Coruña,300000.0,in,Summer,2018,2018/2019
Rubén Pérez,29,Defensive Midfield,Granada CF,0.0,in,Summer,2018,2018/2019
Fede Vico,24,Attacking Midfield,CD Lugo,0.0,in,Summer,2018,2018/2019
Dani Ojeda,23,Left Winger,Lorca FC,0.0,in,Summer,2018,2018/2019
Rodri Tarín,21,Centre-Back,Barcelona B,0.0,in,Summer,2018,2018/2019
Michael Santos,25,Centre-Forward,Málaga CF,0.0,in,Summer,2018,2018/2019
Andriy Lunin,19,Goalkeeper,Real Madrid,0.0,in,Summer,2018,2018/2019
Sabin Merino,26,Centre-Forward,Athletic,0.0,in,Summer,2018,2018/2019
Allan Nyom,30,Right-Back,West Brom,0.0,in,Summer,2018,2018/2019
Guido Carrillo,27,Centre-Forward,Southampton,0.0,in,Summer,2018,2018/2019
Mikel Vesga,25,Defensive Midfield,Athletic,0.0,in,Summer,2018,2018/2019
William de Camargo,19,Right Winger,CD Leganés B,0.0,in,Summer,2018,2018/2019
Luciano,25,Centre-Forward,Panathinaikos,0.0,in,Summer,2018,2018/2019
Josua Mejías,20,Centre-Back,FC Cartagena,0.0,in,Summer,2018,2018/2019
Owusu,21,Centre-Forward,FC Cartagena,0.0,in,Summer,2018,2018/2019
Mamadou Koné,26,Centre-Forward,KAS Eupen,0.0,in,Summer,2018,2018/2019
Diego Rico,25,Left-Back,Bournemouth,15000000.0,out,Summer,2018,2018/2019
Gabriel Pires,24,Central Midfield,Benfica,9600000.0,out,Summer,2018,2018/2019
Tito,33,Right-Back,Rayo Vallecano,0.0,out,Summer,2018,2018/2019
Miguel Ángel Guerrero,27,Centre-Forward,Olympiacos,0.0,out,Summer,2018,2018/2019
Martín Mantovani,33,Centre-Back,UD Las Palmas,0.0,out,Summer,2018,2018/2019
Facundo García,18,Central Midfield,AEK Larnaca,0.0,out,Summer,2018,2018/2019
Josua Mejías,20,Centre-Back,Gimnàstic,0.0,out,Summer,2018,2018/2019
William de Camargo,19,Right Winger,Karpaty,0.0,out,Summer,2018,2018/2019
Mamadou Koné,26,Centre-Forward,Málaga CF,0.0,out,Summer,2018,2018/2019
Fede Vico,24,Attacking Midfield,Granada CF,0.0,out,Summer,2018,2018/2019
Luciano,25,Centre-Forward,Fluminense,0.0,out,Summer,2018,2018/2019
Owusu,21,Centre-Forward,Salamanca CF,0.0,out,Summer,2018,2018/2019
Omar Ramos,30,Attacking Midfield,Without Club,0.0,out,Summer,2018,2018/2019
Rubén Pérez,29,Defensive Midfield,Granada CF,0.0,out,Summer,2018,2018/2019
Joseba Zaldua,26,Right-Back,Real Sociedad,0.0,out,Summer,2018,2018/2019
Nereo Champagne,33,Goalkeeper,Olimpo,0.0,out,Summer,2018,2018/2019
Claudio Beauvue,30,Centre-Forward,Celta de Vigo,0.0,out,Summer,2018,2018/2019
Darko Brasanac,26,Central Midfield,Real Betis,0.0,out,Summer,2018,2018/2019
José Naranjo,23,Left Winger,KRC Genk,0.0,out,Summer,2018,2018/2019
Nordin Amrabat,31,Right Winger,Watford,0.0,out,Summer,2018,2018/2019
Josua Mejías,20,Centre-Back,Carabobo FC,0.0,out,Summer,2018,2018/2019
Vasyl Kravets,21,Left-Back,CD Lugo,2500000.0,in,Winter,2018,2018/2019
Andrés Prieto,25,Goalkeeper,Málaga CF,0.0,in,Winter,2018,2018/2019
