player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Oleg Salenko,22,Centre-Forward,Dynamo Kyiv,0.0,in,Summer,1992,1992/1993
Marcelo Vega,20,Attacking Midfield,Union Española,0.0,in,Summer,1992,1992/1993
Amarildo,27,attack,Famalicão,0.0,in,Summer,1992,1992/1993
Francisco Antón,24,Left-Back,UD Salamanca,0.0,in,Summer,1992,1992/1993
Enrique Romero,21,Left-Back,Logroñés B,0.0,in,Summer,1992,1992/1993
Jesús Dulce,21,Right-Back,Logroñés B,0.0,in,Summer,1992,1992/1993
Toni Polster,28,Centre-Forward,Rayo Vallecano,1200000.0,out,Summer,1992,1992/1993
Juan José Elgezabal,28,Central Midfield,Espanyol,0.0,out,Summer,1992,1992/1993
José María López,26,Left-Back,CP Mérida,0.0,out,Summer,1992,1992/1993
Rubén da Silva,24,Centre-Forward,River Plate,0.0,out,Summer,1992,1992/1993
Salva,31,Centre-Back,Retired,0.0,out,Summer,1992,1992/1993
Víctor Torres Mestre,22,Left-Back,Real Madrid B,0.0,in,Winter,1992,1992/1993
Dejan Markovic,20,Right Midfield,Castelldefels,0.0,in,Summer,1993,1993/1994
Juan Carlos Mandiá,26,Centre-Back,Celta de Vigo,0.0,in,Summer,1993,1993/1994
Paco Fernández,25,Central Midfield,Real Oviedo,0.0,in,Summer,1993,1993/1994
Juan José Vallina,22,midfield,Real Burgos CF,0.0,in,Summer,1993,1993/1994
Quique Setién,34,Central Midfield,Racing,0.0,out,Summer,1993,1993/1994
Marcelo Vega,21,Attacking Midfield,Colo Colo,0.0,out,Summer,1993,1993/1994
Víctor Torres Mestre,22,Left-Back,Espanyol,0.0,out,Summer,1993,1993/1994
Amarildo,28,attack,Famalicão,0.0,out,Summer,1993,1993/1994
Cleber,23,Centre-Back,Palmeiras,0.0,out,Summer,1993,1993/1994
Nelson Gutiérrez,31,Centre-Back,Peñarol,0.0,out,Summer,1993,1993/1994
Jesús García-Pitarch,29,attack,CP Mérida,0.0,out,Summer,1993,1993/1994
Grzegorz Lewandowski,24,Defensive Midfield,Wisla Kraków,0.0,in,Winter,1993,1993/1994
José Ignacio,20,Defensive Midfield,Logroñés B,0.0,in,Winter,1993,1993/1994
Javi Navarro,20,Centre-Back,Valencia,0.0,in,Summer,1994,1994/1995
Atila Kasaš,25,attack,Becej,0.0,in,Summer,1994,1994/1995
Arturo,25,defence,Sporting Gijón,0.0,in,Summer,1994,1994/1995
Felipe Herrero,24,Centre-Back,Córdoba CF,0.0,in,Summer,1994,1994/1995
Nebojsa Gudelj,25,Left-Back,Partizan,0.0,in,Summer,1994,1994/1995
Víctor Segura,21,Centre-Back,Palamós CF,0.0,in,Summer,1994,1994/1995
José Manuel Ochotorena,33,Goalkeeper,CD Tenerife,0.0,in,Summer,1994,1994/1995
Antonio Acosta,22,midfield,UE Lleida,0.0,in,Summer,1994,1994/1995
Alejandro Revuelta,22,Goalkeeper,Logroñés B,0.0,in,Summer,1994,1994/1995
Óscar Herreros,23,Right-Back,Logroñés B,0.0,in,Summer,1994,1994/1995
José Jubera,19,Centre-Back,Logroñés B,0.0,in,Summer,1994,1994/1995
Roberto Matute,21,Centre-Forward,Logroñés B,0.0,in,Summer,1994,1994/1995
Oleg Salenko,24,Centre-Forward,Valencia,2069999.9999999998,out,Summer,1994,1994/1995
Enrique Romero,23,Left-Back,Valencia,0.0,out,Summer,1994,1994/1995
Julen Lopetegui,27,Goalkeeper,Barcelona,0.0,out,Summer,1994,1994/1995
Antonio Poyatos,28,midfield,Valencia,0.0,out,Summer,1994,1994/1995
David Linde,25,Left Winger,Sevilla FC,0.0,out,Summer,1994,1994/1995
Nacho Martín,31,Centre-Back,Elche CF,0.0,out,Summer,1994,1994/1995
Paco Fernández,26,Central Midfield,Badajoz,0.0,out,Summer,1994,1994/1995
Ricardo Moreno,28,defence,Alavés,0.0,out,Summer,1994,1994/1995
Grzegorz Lewandowski,24,Defensive Midfield,Legia Warszawa,0.0,out,Summer,1994,1994/1995
Rubén Ruiz,25,Goalkeeper,Monterrey,0.0,in,Winter,1994,1994/1995
Javier Delgado,22,midfield,Barcelona B,0.0,in,Winter,1994,1994/1995
Rubén Sosa,30,Centre-Forward,Bor. Dortmund,0.0,in,Summer,1996,1996/1997
Ivan Adzic,23,Right Midfield,CD Toledo,0.0,in,Summer,1996,1996/1997
Marcelo Tejera,22,Central Midfield,Defensor,0.0,in,Summer,1996,1996/1997
José Luis Morales,22,attack,RCD Mallorca,0.0,in,Summer,1996,1996/1997
Voro,32,Centre-Back,Dep. La Coruña,0.0,in,Summer,1996,1996/1997
Jochen Kientz,23,Centre-Back,RCD Mallorca,0.0,in,Summer,1996,1996/1997
Andoni Cedrún,36,Goalkeeper,Real Zaragoza,0.0,in,Summer,1996,1996/1997
Sotero López,23,Left-Back,Albacete,0.0,in,Summer,1996,1996/1997
Danilo Baltierra,27,midfield,Peñarol,0.0,in,Summer,1996,1996/1997
