player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Damián Manusovich,26,Left-Back,San Lorenzo,0.0,in,Summer,1999,1999/2000
Alberto Belsué,31,Right-Back,Alavés,0.0,in,Summer,1999,1999/2000
Txomin Nagore,24,Central Midfield,Athletic,0.0,in,Summer,1999,1999/2000
Fabrice Moreau,31,midfield,Talavera CF,0.0,in,Summer,1999,1999/2000
Alberto Rivera,21,Central Midfield,Real Madrid,0.0,in,Summer,1999,1999/2000
Rubén Navarro,20,Centre-Forward,Valencia,0.0,in,Summer,1999,1999/2000
Diego Jaume,25,Centre-Back,Bella Vista,0.0,in,Summer,1999,1999/2000
Iván Rocha,30,Left-Back,Alavés,0.0,in,Summer,1999,1999/2000
Gabriel Popescu,25,Attacking Midfield,Valencia,0.0,in,Summer,1999,1999/2000
Pacheta,31,midfield,Espanyol,0.0,in,Summer,1999,1999/2000
Perico Ojeda,26,Centre-Forward,Racing Club,0.0,in,Summer,1999,1999/2000
Juan Muñiz,30,Centre-Back,Rayo Vallecano,0.0,in,Summer,1999,1999/2000
Jorge Delgado,23,Centre-Forward,Nacional,0.0,in,Summer,1999,1999/2000
Jorge Pérez,23,Central Midfield,Athletic,0.0,in,Summer,1999,1999/2000
Álvaro Núñez,26,Goalkeeper,Rentistas,0.0,in,Summer,1999,1999/2000
Pepín,23,Centre-Forward,Badajoz,0.0,out,Summer,1999,1999/2000
Álex Díez,24,Right-Back,Badajoz,0.0,out,Summer,1999,1999/2000
Iñigo Uribarri,26,Left-Back,SD Eibar,0.0,out,Summer,1999,1999/2000
Óscar Herreros,28,Right-Back,Atlético Ceuta,0.0,out,Summer,1999,1999/2000
Alfonso Cortijo,32,defence,Cádiz CF,0.0,out,Summer,1999,1999/2000
Julián Palacios,28,Left-Back,CP Mérida,0.0,out,Summer,1999,1999/2000
Javi Suárez,23,Centre-Back,CD Binéfar,0.0,out,Summer,1999,1999/2000
Iñaki Eraña,34,midfield,Retired,0.0,out,Summer,1999,1999/2000
Quique Medina,24,Centre-Back,Villarreal,0.0,out,Summer,1999,1999/2000
Moisés,21,defence,CD Tenerife,0.0,out,Summer,1999,1999/2000
Javi Moreno,24,Centre-Forward,Alavés,0.0,out,Summer,1999,1999/2000
Tito Blanco,28,midfield,Albacete,0.0,in,Winter,1999,1999/2000
Constantin Barbu,28,Attacking Midfield,Rapid Bucharest,0.0,in,Winter,1999,1999/2000
Raúl Muñoz,24,Left-Back,Colo Colo,0.0,in,Winter,1999,1999/2000
Jandro,20,Attacking Midfield,Valencia B,0.0,in,Winter,1999,1999/2000
José Luis Diezma,31,Goalkeeper,Recr. Huelva,0.0,out,Winter,1999,1999/2000
Gabriel Popescu,26,Attacking Midfield,FC Dinamo,0.0,out,Winter,1999,1999/2000
José Luis Morales,26,attack,UD Salamanca,0.0,out,Winter,1999,1999/2000
Ángel Luis,26,Centre-Forward,CA Osasuna,0.0,out,Winter,1999,1999/2000
Laurentiu Rosu,24,Left Winger,Steaua Bucharest,1290000.0,in,Summer,2000,2000/2001
Curro Montoya,23,Defensive Midfield,Valencia B,0.0,in,Summer,2000,2000/2001
Iñaki Cenzano,25,attack,Talavera CF,0.0,in,Summer,2000,2000/2001
José Antonio Culebras,21,Centre-Back,CD Toledo,0.0,in,Summer,2000,2000/2001
Iñaki Cenzano,25,attack,Talavera CF,0.0,in,Summer,2000,2000/2001
Dani Mayo,27,Centre-Back,Alzira,0.0,in,Summer,2000,2000/2001
Gustavo,24,defence,Atlético Madrid,0.0,in,Summer,2000,2000/2001
Miguel Ángel Soria,26,Centre-Back,Valencia,0.0,in,Summer,2000,2000/2001
Rafael Clavero,23,Left-Back,Real Madrid B,0.0,in,Summer,2000,2000/2001
Iñaki Hurtado,28,midfield,CD Logroñés,0.0,in,Summer,2000,2000/2001
Claudio Marini,28,Defensive Midfield,CA Colon,0.0,in,Summer,2000,2000/2001
Iván Pérez,24,Centre-Forward,Dep. La Coruña,0.0,in,Summer,2000,2000/2001
Manel Menéndez,29,Right-Back,Dep. La Coruña,0.0,in,Summer,2000,2000/2001
David Pirri,26,Left Midfield,Dep. La Coruña,0.0,in,Summer,2000,2000/2001
Damián Manusovich,27,Left-Back,Elche CF,0.0,out,Summer,2000,2000/2001
Alberto Belsué,32,Right-Back,Iraklis,0.0,out,Summer,2000,2000/2001
Fabrice Moreau,32,midfield,Airdrie,0.0,out,Summer,2000,2000/2001
Javier Castaño,27,Central Midfield,Real Betis,0.0,out,Summer,2000,2000/2001
Eleder Acedo,31,Left-Back,SD Eibar,0.0,out,Summer,2000,2000/2001
Roberto Urroz,25,Goalkeeper,Calahorra,0.0,out,Summer,2000,2000/2001
Iván Rocha,31,Left-Back,Elche CF,0.0,out,Summer,2000,2000/2001
Raúl Muñoz,25,Left-Back,Colo Colo,0.0,out,Summer,2000,2000/2001
Jorge Delgado,24,Centre-Forward,Nacional,0.0,out,Summer,2000,2000/2001
Jorge Pérez,24,Central Midfield,CF Extremadura,0.0,out,Summer,2000,2000/2001
Jandro,21,Attacking Midfield,Valencia B,0.0,out,Summer,2000,2000/2001
Alberto Rivera,22,Central Midfield,Real Madrid,0.0,out,Summer,2000,2000/2001
Iván Casquero,21,midfield,SD Eibar,0.0,in,Winter,2000,2000/2001
Mikel Antía,27,Centre-Back,Real Sociedad,0.0,in,Winter,2000,2000/2001
José Manuel,27,Right Midfield,Dep. La Coruña,0.0,in,Winter,2000,2000/2001
Constantin Barbu,29,Attacking Midfield,Rapid Bucharest,0.0,out,Winter,2000,2000/2001
Dani Mayo,28,Centre-Back,Cartagonova,0.0,out,Winter,2000,2000/2001
Iñaki Cenzano,26,attack,CD Toledo,0.0,out,Winter,2000,2000/2001
Iñaki Cenzano,26,attack,CD Toledo,0.0,out,Winter,2000,2000/2001
Tito Blanco,29,midfield,Real Jaén CF,0.0,out,Winter,2000,2000/2001
Aldo Osorio,30,Centre-Forward,Lecce,500000.0,in,Summer,2004,2004/2005
Miguel Ángel López,26,Centre-Forward,Sporting Gijón,0.0,in,Summer,2004,2004/2005
Konstantinos Kiassos,28,Central Midfield,Iraklis,0.0,in,Summer,2004,2004/2005
Juanlu,24,Left Midfield,Hércules CF,0.0,in,Summer,2004,2004/2005
Stéphane Pignol,27,Right-Back,UD Almería,0.0,in,Summer,2004,2004/2005
Juan Ochoa,25,Centre-Back,Alavés,0.0,in,Summer,2004,2004/2005
Juanma Barrero,24,Goalkeeper,Atlético Madrid,0.0,in,Summer,2004,2004/2005
César Palacios,29,Central Midfield,CA Osasuna,0.0,in,Summer,2004,2004/2005
Chun-soo Lee,22,Second Striker,Real Sociedad,0.0,in,Summer,2004,2004/2005
Ramón Ros,23,Defensive Midfield,Barcelona B,0.0,in,Summer,2004,2004/2005
Toché,21,Centre-Forward,Atlético Madrid,0.0,in,Summer,2004,2004/2005
Juanpa,25,Right-Back,UD Salamanca,0.0,in,Summer,2004,2004/2005
Pablo Sanz,30,Defensive Midfield,Rayo Vallecano,0.0,in,Summer,2004,2004/2005
Julio Pineda,31,Centre-Forward,Xerez CD,0.0,in,Summer,2004,2004/2005
Luis Tevenet,30,Centre-Forward,Algeciras CF,0.0,in,Summer,2004,2004/2005
Patricio Graff,28,Left-Back,Rayo Vallecano,0.0,in,Summer,2004,2004/2005
Francisco Tarantino,20,Centre-Back,Bilbao Athletic,0.0,in,Summer,2004,2004/2005
Rafa Jordá,20,Centre-Forward,CD Numancia B,0.0,in,Summer,2004,2004/2005
Luis García,25,Goalkeeper,Real Zaragoza,450000.0,out,Summer,2004,2004/2005
Pulido Senderos,28,Central Midfield,Real Murcia,180000.0,out,Summer,2004,2004/2005
Laurentiu Rosu,28,Left Winger,Recr. Huelva,0.0,out,Summer,2004,2004/2005
Nelson San Martín,24,Central Midfield,San Felipe,0.0,out,Summer,2004,2004/2005
José Antonio Culebras,25,Centre-Back,Levante,0.0,out,Summer,2004,2004/2005
