player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Chemo del Solar,24,Central Midfield,U. Católica,1100000.0,in,Summer,1992,1992/1993
José Manuel Ochotorena,31,Goalkeeper,Valencia,0.0,in,Summer,1992,1992/1993
César Gómez,24,Centre-Back,Real Valladolid,0.0,in,Summer,1992,1992/1993
Alexis Trujillo,26,Central Midfield,UD Las Palmas,0.0,in,Summer,1992,1992/1993
Ezequiel Castillo,25,Central Midfield,Espanyol,0.0,in,Summer,1992,1992/1993
Quique Estebaranz,26,Centre-Forward,Barcelona,0.0,out,Summer,1992,1992/1993
Francis,29,defence,Atl. Marbella,0.0,out,Summer,1992,1992/1993
Isidro García,25,defence,Mensajero,0.0,out,Summer,1992,1992/1993
Luis Delgado,26,midfield,RCD Mallorca,0.0,out,Summer,1992,1992/1993
Salvador Revert,30,defence,Retired,0.0,out,Summer,1992,1992/1993
Diego Latorre,23,Second Striker,Fiorentina,1000000.0,in,Winter,1992,1992/1993
Nacho Conte,24,midfield,Sevilla FC,900000.0,in,Summer,1993,1993/1994
Juan Carlos Aguilera,24,Right-Back,Atlético Madrid,750000.0,in,Summer,1993,1993/1994
Antonio Pinilla,22,Left Winger,Barcelona,0.0,in,Summer,1993,1993/1994
Percy Olivares,25,Left-Back,Sport. Cristal,0.0,in,Summer,1993,1993/1994
Juan Antonio Pizzi,25,Centre-Forward,Valencia,600000.0,out,Summer,1993,1993/1994
Rafa Berges,22,Left-Back,Celta de Vigo,270000.0,out,Summer,1993,1993/1994
Toño Torrecilla,29,Right-Back,Racing,0.0,out,Summer,1993,1993/1994
Alexis Trujillo,27,Central Midfield,Real Betis,0.0,out,Summer,1993,1993/1994
Manolo Hierro,31,Centre-Back,Retired,0.0,out,Summer,1993,1993/1994
Juanele,23,Second Striker,Sporting Gijón,1650000.0,in,Summer,1994,1994/1995
Marcelo Ojeda,25,Goalkeeper,Lanús,540000.0,in,Summer,1994,1994/1995
Ángel Vivar Dorado,20,Attacking Midfield,CD Leganés,120000.0,in,Summer,1994,1994/1995
José María Buljubasich,23,Goalkeeper,Rosario Central,0.0,in,Summer,1994,1994/1995
Víctor Fernández,20,Centre-Forward,Real Madrid B,0.0,in,Summer,1994,1994/1995
Luis Miguel Ramis,23,Centre-Back,Real Madrid,0.0,in,Summer,1994,1994/1995
Juan Antonio Pizzi,26,Centre-Forward,Valencia,0.0,in,Summer,1994,1994/1995
Fernando Redondo,25,Defensive Midfield,Real Madrid,3500000.0,out,Summer,1994,1994/1995
Pier,22,Centre-Forward,Sporting Gijón,1200000.0,out,Summer,1994,1994/1995
Óscar Dertycia,29,Centre-Forward,Albacete,0.0,out,Summer,1994,1994/1995
Manolo,33,Goalkeeper,UD Las Palmas,0.0,out,Summer,1994,1994/1995
Percy Olivares,26,Left-Back,Rosario Central,0.0,out,Summer,1994,1994/1995
José Manuel Ochotorena,33,Goalkeeper,CD Logroñés,0.0,out,Summer,1994,1994/1995
Agustín,34,Goalkeeper,Retired,0.0,out,Summer,1994,1994/1995
Slavisa Jokanovic,26,Defensive Midfield,Real Oviedo,3000000.0,in,Summer,1995,1995/1996
Pavel Hapal,25,Attacking Midfield,Bay. Leverkusen,1800000.0,in,Summer,1995,1995/1996
Alexis,21,Left-Back,UD Las Palmas,0.0,in,Summer,1995,1995/1996
Francisco Rojas,20,Left-Back,Colo Colo,0.0,in,Summer,1995,1995/1996
Toni Robaina,20,Left Winger,UD Las Palmas,0.0,in,Summer,1995,1995/1996
Chemo del Solar,27,Central Midfield,UD Salamanca,720000.0,out,Summer,1995,1995/1996
Paqui,24,Left-Back,Real Zaragoza,300000.0,out,Summer,1995,1995/1996
Ezequiel Castillo,28,Central Midfield,Rayo Vallecano,0.0,out,Summer,1995,1995/1996
Toño,32,defence,Granada CF,0.0,out,Summer,1995,1995/1996
Francisco Rojas,21,Left-Back,Colo Colo,0.0,out,Winter,1995,1995/1996
Diego Latorre,26,Second Striker,UD Salamanca,0.0,out,Winter,1995,1995/1996
Víctor Fernández,21,Centre-Forward,CD Toledo,0.0,out,Winter,1995,1995/1996
Meho Kodro,29,Centre-Forward,Barcelona,3000000.0,in,Summer,1996,1996/1997
Aurelio Vidmar,29,Centre-Forward,FC Sion,1200000.0,in,Summer,1996,1996/1997
Dani,23,Right-Back,Atlético Madrid,600000.0,in,Summer,1996,1996/1997
Oliver Neuville,23,Centre-Forward,Servette FC,0.0,in,Summer,1996,1996/1997
Sergio Ballesteros,20,Centre-Back,Levante,0.0,in,Summer,1996,1996/1997
Bengt Andersson,29,Goalkeeper,Örgryte,0.0,in,Summer,1996,1996/1997
Pablo Paz,23,Centre-Back,Banfield,0.0,in,Summer,1996,1996/1997
Domingo Hernández,23,Goalkeeper,CD Tenerife B,0.0,in,Summer,1996,1996/1997
Víctor Fernández,22,Centre-Forward,CD Toledo,0.0,in,Summer,1996,1996/1997
Juan Carlos Aguilera,27,Right-Back,Atlético Madrid,1680000.0,out,Summer,1996,1996/1997
Víctor Fernández,22,Centre-Forward,Real Valladolid,750000.0,out,Summer,1996,1996/1997
Juan Antonio Pizzi,28,Centre-Forward,Barcelona,0.0,out,Summer,1996,1996/1997
Marino,21,Goalkeeper,UD Lanzarote,0.0,out,Summer,1996,1996/1997
José María Buljubasich,25,Goalkeeper,UE Lleida,0.0,out,Summer,1996,1996/1997
Toni,28,defence,UD Las Palmas,0.0,out,Summer,1996,1996/1997
Luis Miguel Ramis,25,Centre-Back,Real Madrid,0.0,out,Summer,1996,1996/1997
Sizwe Motaung,26,Right-Back,FC St. Gallen,0.0,in,Winter,1996,1996/1997
Domingos Paciência,28,Centre-Forward,FC Porto,7500000.0,in,Summer,1997,1997/1998
Roy Makaay,22,Centre-Forward,Vitesse,6000000.0,in,Summer,1997,1997/1998
Ferdi Vierklau,24,Right-Back,Vitesse,6000000.0,in,Summer,1997,1997/1998
Samuel Slovak,21,Attacking Midfield,Slo. Bratislava,500000.0,in,Summer,1997,1997/1998
André Luiz,22,Attacking Midfield,Corinthians,0.0,in,Summer,1997,1997/1998
Juan Carlos Unzué,30,Goalkeeper,Sevilla FC,0.0,in,Summer,1997,1997/1998
Moisés,19,defence,Tenerife U19,0.0,in,Summer,1997,1997/1998
César Gómez,29,Centre-Back,AS Roma,3500000.0,out,Summer,1997,1997/1998
Oliver Neuville,24,Centre-Forward,Hansa Rostock,1800000.0,out,Summer,1997,1997/1998
Sizwe Motaung,27,Right-Back,Kaizer Chiefs,0.0,out,Summer,1997,1997/1998
Nacho Conte,28,midfield,Racing,0.0,out,Summer,1997,1997/1998
Domingo Hernández,24,Goalkeeper,Pájara Playas,0.0,out,Summer,1997,1997/1998
Álvaro Benito,21,Left Midfield,Real Madrid,0.0,in,Winter,1997,1997/1998
Émerson,26,Defensive Midfield,Middlesbrough,6400000.0,in,Summer,1998,1998/1999
Carlos Navarro Montoya,32,Goalkeeper,CP Mérida,0.0,in,Summer,1998,1998/1999
Federico Basavilbaso,24,midfield,San Lorenzo,0.0,in,Summer,1998,1998/1999
Pier,26,Centre-Forward,Real Zaragoza,0.0,in,Summer,1998,1998/1999
Marcelino Díaz,24,Centre-Forward,UD Las Palmas,0.0,in,Summer,1998,1998/1999
Aridani Arbelo,18,Left-Back,Tenerife U19,0.0,in,Summer,1998,1998/1999
Jonay Abreu,19,Right-Back,CD Tenerife B,0.0,in,Summer,1998,1998/1999
Bengt Andersson,31,Goalkeeper,IFK Göteborg,0.0,out,Summer,1998,1998/1999
Aurelio Vidmar,31,Centre-Forward,Sanf. Hiroshima,0.0,out,Summer,1998,1998/1999
Ángel Vivar Dorado,24,Attacking Midfield,Racing,0.0,out,Summer,1998,1998/1999
Álvaro Benito,21,Left Midfield,Real Madrid,0.0,out,Summer,1998,1998/1999
Federico Lussenhoff,25,Centre-Back,San Lorenzo,4500000.0,in,Winter,1998,1998/1999
Leandro Machado,22,Centre-Forward,Sporting CP,2000000.0,in,Winter,1998,1998/1999
Mista,20,Centre-Forward,Real Madrid B,24000.0,in,Winter,1998,1998/1999
Javi López,25,Left-Back,Dep. La Coruña,0.0,in,Winter,1998,1998/1999
Ferdi Vierklau,25,Right-Back,Ajax,3000000.0,out,Winter,1998,1998/1999
Marcelino Díaz,25,Centre-Forward,CA Osasuna,0.0,out,Winter,1998,1998/1999
Pavel Hapal,29,Attacking Midfield,Sigma Olomouc,0.0,out,Winter,1998,1998/1999
André Luiz,24,Attacking Midfield,Cruzeiro,0.0,out,Winter,1998,1998/1999
Toni Robaina,24,Left Winger,UD Las Palmas,0.0,out,Winter,1998,1998/1999
Moisés,20,defence,CD Numancia,0.0,out,Winter,1998,1998/1999
Bruno Marioni,26,Left Winger,Villarreal,4200000.0,in,Summer,2001,2001/2002
Iván Ania,23,Left Midfield,Real Oviedo,2400000.0,in,Summer,2001,2001/2002
David Bermudo,22,Centre-Back,Barcelona B,0.0,in,Summer,2001,2001/2002
Xisco Muñoz,20,Second Striker,Valencia B,0.0,in,Summer,2001,2001/2002
Rubén Estévez,22,midfield,SD Compostela,0.0,in,Summer,2001,2001/2002
Bino,28,Defensive Midfield,Sporting CP,0.0,in,Summer,2001,2001/2002
Jaime,28,Defensive Midfield,Dep. La Coruña,0.0,in,Summer,2001,2001/2002
Manel Menéndez,30,Right-Back,Dep. La Coruña,0.0,in,Summer,2001,2001/2002
Javi Venta,25,Right-Back,CD Onda,0.0,in,Summer,2001,2001/2002
Esteban Fuertes,28,Centre-Forward,Lens,0.0,in,Summer,2001,2001/2002
Vitolo,17,Central Midfield,CD Tenerife B,0.0,in,Summer,2001,2001/2002
Pablo Paz,28,Centre-Back,Everton,0.0,in,Summer,2001,2001/2002
Jordi Ocaña,22,midfield,Racing Ferrol,0.0,in,Summer,2001,2001/2002
Toni Robaina,26,Left Winger,Uni. Las Palmas,0.0,in,Summer,2001,2001/2002
Marcelo Ojeda,32,Goalkeeper,Argentinos Jrs.,0.0,out,Summer,2001,2001/2002
Mista,22,Centre-Forward,Valencia,0.0,out,Summer,2001,2001/2002
Gerardo Torrado,22,Defensive Midfield,Poli Ejido,0.0,out,Summer,2001,2001/2002
Igor Simutenkov,29,Centre-Forward,Wizards,0.0,out,Summer,2001,2001/2002
Juan Jesús,24,Right Midfield,Poli Ejido,0.0,out,Summer,2001,2001/2002
Ibrahim,28,Goalkeeper,Aurrera,0.0,out,Summer,2001,2001/2002
Toni Robaina,26,Left Winger,Atlético Ceuta,0.0,out,Summer,2001,2001/2002
Fran Caínzos,28,Left-Back,UD Salamanca,0.0,out,Summer,2001,2001/2002
Germán García,24,defence,Aurrera,0.0,out,Summer,2001,2001/2002
Álex Castro,26,Central Midfield,CD Numancia,0.0,out,Summer,2001,2001/2002
Carlos Navarro Montoya,35,Goalkeeper,D. Concepción,0.0,out,Summer,2001,2001/2002
André Luiz,26,Attacking Midfield,Marseille,0.0,out,Summer,2001,2001/2002
Barata,29,Centre-Forward,SC Braga,0.0,out,Summer,2001,2001/2002
Jorge Bartual,29,Goalkeeper,Retired,0.0,out,Summer,2001,2001/2002
Luis García,23,Right Winger,Barcelona,0.0,out,Summer,2001,2001/2002
Curro Torres,24,Right-Back,Valencia,0.0,out,Summer,2001,2001/2002
Bruno Marioni,25,Left Winger,Villarreal,0.0,out,Summer,2001,2001/2002
Javier Muñoz Mustafá,21,Centre-Back,Rosario Central,0.0,in,Winter,2001,2001/2002
Pier,30,Centre-Forward,CF Extremadura,0.0,out,Winter,2001,2001/2002
Ezequiel Luna,22,Centre-Back,Tiro Federal,300000.0,in,Summer,2009,2009/2010
Dinei,25,Centre-Forward,Atlético-PR,300000.0,in,Summer,2009,2009/2010
Carlos Bellvís,24,Left-Back,Valencia B,0.0,in,Summer,2009,2009/2010
Aitor Núñez,21,Right-Back,Atl. Madrid B,0.0,in,Summer,2009,2009/2010
Román Martínez,26,Central Midfield,Espanyol,0.0,in,Summer,2009,2009/2010
