player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Santiago Cañizares,22,Goalkeeper,Real Madrid,343000.0,in,Summer,1992,1992/1993
Ismael Urzaiz,20,Centre-Forward,Real Madrid,0.0,in,Summer,1992,1992/1993
Patxi Salinas,28,Centre-Back,Athletic,0.0,in,Summer,1992,1992/1993
Vicente Engonga,26,Central Midfield,Real Valladolid,0.0,in,Summer,1992,1992/1993
Milos Bursac,27,Centre-Forward,Olympique Lyon,0.0,in,Summer,1992,1992/1993
Alejo Indias,25,Centre-Back,UE Figueres,0.0,in,Summer,1992,1992/1993
Milorad Ratkovic,27,Left Midfield,Red Star,0.0,in,Summer,1992,1992/1993
Tito Vilanova,23,midfield,UE Figueres,0.0,in,Summer,1992,1992/1993
Paco Ferrando,29,midfield,Levante,0.0,out,Summer,1992,1992/1993
Nacho,25,Left-Back,SD Compostela,0.0,out,Summer,1992,1992/1993
Fabiano Soares,26,midfield,SD Compostela,0.0,out,Summer,1992,1992/1993
Roberto Olaizola,31,defence,SD Beasain,0.0,out,Summer,1992,1992/1993
Luis Miguel Damián,26,midfield,Real Valladolid,0.0,out,Summer,1992,1992/1993
Luisinho,28,Central Midfield,Vasco da Gama,2400000.0,in,Summer,1993,1993/1994
Rafa Berges,22,Left-Back,CD Tenerife,270000.0,in,Summer,1993,1993/1994
Sebastián Losada,25,attack,Sevilla FC,0.0,in,Summer,1993,1993/1994
Joseba Aguirre,29,midfield,Real Burgos CF,0.0,in,Summer,1993,1993/1994
Francisco Oliete,22,Left-Back,Albacete,0.0,in,Summer,1993,1993/1994
Stjepan Andrijasevic,26,Right Midfield,Hajduk Split,0.0,in,Summer,1993,1993/1994
Carlos Pérez,21,Attacking Midfield,Celta Turista,0.0,in,Summer,1993,1993/1994
Goran Juric,30,Sweeper,NK Zagreb,0.0,out,Summer,1993,1993/1994
Milos Bursac,28,Centre-Forward,Royal Antwerp,0.0,out,Summer,1993,1993/1994
Juan Carlos Mandiá,26,Centre-Back,CD Logroñés,0.0,out,Summer,1993,1993/1994
José Mosquera,26,midfield,CP Mérida,0.0,out,Summer,1993,1993/1994
Emilio López,27,Goalkeeper,UE Figueres,0.0,out,Summer,1993,1993/1994
Javier Maté,35,Goalkeeper,Retired,0.0,out,Summer,1993,1993/1994
