player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Igor Stimac,24,Centre-Back,Hajduk Split,0.0,in,Summer,1992,1992/1993
Quino,21,attack,CD Málaga,0.0,in,Summer,1992,1992/1993
Feliciano Casanova,26,defence,R. B. Linense,0.0,in,Summer,1992,1992/1993
Francisco Javier Aragón,23,attack,Elche CF,0.0,in,Summer,1992,1992/1993
José Ramón Bermell,30,Goalkeeper,Real Zaragoza,0.0,out,Summer,1992,1992/1993
József Szendrei,38,Goalkeeper,Retired,0.0,out,Summer,1992,1992/1993
Indio Vázquez,27,midfield,Retired,0.0,out,Summer,1992,1992/1993
Tilico,27,attack,São Paulo,0.0,out,Summer,1992,1992/1993
Francisco Javier Aragón,23,attack,Granada CF,0.0,out,Winter,1992,1992/1993
Alejandro Limia,29,Goalkeeper,Arsenal Sarandí,500000.0,in,Summer,2005,2005/2006
Alexander Medina,27,Centre-Forward,Nacional,500000.0,in,Summer,2005,2005/2006
Fabián Estoyanoff,22,Right Midfield,Valencia,300000.0,in,Summer,2005,2005/2006
Mário Silva,28,Left-Back,FC Porto,0.0,in,Summer,2005,2005/2006
Marc Bertrán,23,Right-Back,Espanyol,0.0,in,Summer,2005,2005/2006
Eduardo Berizzo,35,Centre-Back,Celta de Vigo,0.0,in,Summer,2005,2005/2006
Iván Ania,27,Left Midfield,Gimnàstic,0.0,in,Summer,2005,2005/2006
Fernando Morán,29,Right Midfield,Racing,0.0,in,Summer,2005,2005/2006
Benjamín,29,Left Midfield,Real Betis,0.0,in,Summer,2005,2005/2006
Cherno Samba,21,Centre-Forward,Málaga B,0.0,in,Summer,2005,2005/2006
Manuel de Gomar,20,Second Striker,Rayo Vallecano,0.0,out,Summer,2005,2005/2006
Fredi,31,Left Midfield,CD Castellón,0.0,out,Summer,2005,2005/2006
Jesús Velázquez,26,Right-Back,Lorca Deportiva,0.0,out,Summer,2005,2005/2006
Alberto Merino,30,Centre-Back,FC Cartagena,0.0,out,Summer,2005,2005/2006
Cherno Samba,20,Centre-Forward,Málaga B,0.0,out,Summer,2005,2005/2006
Dani Navarrete,28,Right Winger,Hércules CF,0.0,out,Summer,2005,2005/2006
Lucas Lobos,24,Second Striker,Gimnasia,1600000.0,in,Winter,2005,2005/2006
Luciano Vella,24,Right-Back,Newell's,400000.0,in,Winter,2005,2005/2006
Álvaro Giménez,29,Centre-Forward,Birmingham,2700000.0,in,Summer,2020,2020/2021
Choco Lozano,27,Centre-Forward,Girona,2500000.0,in,Summer,2020,2020/2021
Iván Alejo,25,Right Winger,Getafe,2000000.0,in,Summer,2020,2020/2021
Jorge Pombo,26,Attacking Midfield,Real Zaragoza,1200000.0,in,Summer,2020,2020/2021
Filip Malbasic,27,Right Winger,CD Tenerife,1000000.0,in,Summer,2020,2020/2021
Jeremías Ledesma,27,Goalkeeper,Rosario Central,500000.0,in,Summer,2020,2020/2021
Jairo Izquierdo,26,Left-Back,Girona,200000.0,in,Summer,2020,2020/2021
Dani Sotres,27,Goalkeeper,Salamanca CF,0.0,in,Summer,2020,2020/2021
Jens Jönsson,27,Central Midfield,Konyaspor,0.0,in,Summer,2020,2020/2021
Nano Mesa,25,Centre-Forward,SD Eibar,0.0,in,Summer,2020,2020/2021
David Mayoral,23,Right Winger,UCAM Murcia,0.0,in,Summer,2020,2020/2021
Álvaro Negredo,34,Centre-Forward,Al-Nasr,0.0,in,Summer,2020,2020/2021
Gaspar Panadero,22,Left Winger,Al-Wahda FC,0.0,in,Summer,2020,2020/2021
Pedro Alcalá,31,Centre-Back,Girona,0.0,in,Summer,2020,2020/2021
Bobby Adekanye,21,Right Winger,Lazio,0.0,in,Summer,2020,2020/2021
Sergio González,23,Centre-Back,Cádiz CF B,0.0,in,Summer,2020,2020/2021
José Matos,25,Left-Back,Twente FC,0.0,in,Summer,2020,2020/2021
David Carmona,23,Right-Back,Racing,0.0,in,Summer,2020,2020/2021
Dani Romera,24,Centre-Forward,Alcorcón,0.0,in,Summer,2020,2020/2021
Djordje Jovanovic,21,Centre-Forward,FC Cartagena,0.0,in,Summer,2020,2020/2021
