player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Iñigo López,32,Centre-Back,PAOK Salonika,250000.0,in,Summer,2014,2014/2015
Patrick Ekeng,24,Central Midfield,Lausanne-Sport,0.0,in,Summer,2014,2014/2015
José Carlos,26,Attacking Midfield,Rayo Vallecano,0.0,in,Summer,2014,2014/2015
Aritz López Garai,33,Central Midfield,Sporting Gijón,0.0,in,Summer,2014,2014/2015
Deivid,25,Centre-Back,UD Las Palmas,0.0,in,Summer,2014,2014/2015
Mike Havenaar,27,Centre-Forward,Vitesse,0.0,in,Summer,2014,2014/2015
Fede Vico,20,Attacking Midfield,RSC Anderlecht,0.0,in,Summer,2014,2014/2015
Nabil Ghilas,24,Centre-Forward,FC Porto,0.0,in,Summer,2014,2014/2015
José Crespo,27,Centre-Back,Bologna,0.0,in,Summer,2014,2014/2015
Borja García,23,Attacking Midfield,RM Castilla,0.0,in,Summer,2014,2014/2015
Aleksandar Pantic,22,Centre-Back,Villarreal,0.0,in,Summer,2014,2014/2015
Fausto Rossi,23,Defensive Midfield,Juventus,0.0,in,Summer,2014,2014/2015
Fede Cartabia,21,Right Winger,Valencia,0.0,in,Summer,2014,2014/2015
Fidel,24,Left Winger,Elche CF,0.0,in,Summer,2014,2014/2015
Ryder Matos,21,Second Striker,Fiorentina,0.0,in,Summer,2014,2014/2015
Joselu,23,Right-Back,Real Jaén CF,0.0,in,Summer,2014,2014/2015
Jaime Astrain,26,Centre-Back,FC Cartagena,0.0,in,Summer,2014,2014/2015
Raúl Bravo,33,Centre-Back,PAE Veria,0.0,out,Summer,2014,2014/2015
Nwankwo Obiora,23,Defensive Midfield,Coimbra,0.0,out,Summer,2014,2014/2015
Jaime Astrain,26,Centre-Back,Real Jaén CF,0.0,out,Summer,2014,2014/2015
Pedro Sánchez,27,Right Winger,Real Zaragoza,0.0,out,Summer,2014,2014/2015
Samu de los Reyes,22,Left-Back,CD Lugo,0.0,out,Summer,2014,2014/2015
Arturo Rodríguez,25,Centre-Forward,Alcorcón,0.0,out,Summer,2014,2014/2015
Fran Cruz,23,Centre-Back,Alcorcón,0.0,out,Summer,2014,2014/2015
Bernardo Cruz,20,Centre-Back,Racing,0.0,out,Summer,2014,2014/2015
Miguel Ángel Nieto,28,Left Winger,Without Club,0.0,out,Summer,2014,2014/2015
Joselu,24,Right-Back,Without Club,0.0,out,Summer,2014,2014/2015
Juanlu,34,Left Midfield,Retired,0.0,out,Summer,2014,2014/2015
Aritz López Garai,33,Central Midfield,Sporting Gijón,0.0,out,Summer,2014,2014/2015
Ulises Dávila,23,Attacking Midfield,Chelsea,0.0,out,Summer,2014,2014/2015
Pelayo,23,Central Midfield,Elche CF,0.0,out,Summer,2014,2014/2015
Rene Krhin,24,Defensive Midfield,Inter,500000.0,in,Winter,2014,2014/2015
Edimar,28,Left-Back,Chievo Verona,0.0,in,Winter,2014,2014/2015
Bebé,24,Left Winger,Benfica,0.0,in,Winter,2014,2014/2015
Héldon,26,Left Winger,Sporting CP,0.0,in,Winter,2014,2014/2015
Bruno Zuculini,21,Defensive Midfield,Man City,0.0,in,Winter,2014,2014/2015
Florin Andone,21,Centre-Forward,Córdoba CF B,0.0,in,Winter,2014,2014/2015
Samu de los Reyes,22,Left-Back,CD Lugo,0.0,in,Winter,2014,2014/2015
Arturo Rodríguez,25,Centre-Forward,Alcorcón,0.0,in,Winter,2014,2014/2015
Aritz López Garai,34,Central Midfield,Rapid Bucharest,0.0,out,Winter,2014,2014/2015
Mike Havenaar,27,Centre-Forward,HJK Helsinki,0.0,out,Winter,2014,2014/2015
Samu de los Reyes,22,Left-Back,Llagostera,0.0,out,Winter,2014,2014/2015
Arturo Rodríguez,25,Centre-Forward,Llagostera,0.0,out,Winter,2014,2014/2015
Xisco,28,Centre-Forward,RCD Mallorca,0.0,out,Winter,2014,2014/2015
Carlos Caballero,30,Central Midfield,PAE Veria,0.0,out,Winter,2014,2014/2015
José Carlos,27,Attacking Midfield,Without Club,0.0,out,Winter,2014,2014/2015
Ryder Matos,21,Second Striker,Fiorentina,0.0,out,Winter,2014,2014/2015
