player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Magno,24,Attacking Midfield,FC Groningen,950000.0,in,Summer,1998,1998/1999
Alberto Belsué,30,Right-Back,Real Zaragoza,0.0,in,Summer,1998,1998/1999
Gerard López,19,Central Midfield,Valencia,0.0,in,Summer,1998,1998/1999
Santi Revilla,26,Attacking Midfield,Moralo CP,0.0,in,Summer,1998,1998/1999
Iván Rocha,29,Left-Back,Atlético Madrid,0.0,in,Summer,1998,1998/1999
Ismael López,20,Left Midfield,Barcelona B,0.0,in,Summer,1998,1998/1999
Josete,28,defence,Real Betis,0.0,in,Summer,1998,1998/1999
Jon Solaun,23,Central Midfield,CD Logroñés,0.0,in,Summer,1998,1998/1999
Raúl Gañán,23,Right-Back,Barakaldo CF,0.0,in,Summer,1998,1998/1999
Kike Burgos,27,Goalkeeper,RCD Mallorca,0.0,in,Summer,1998,1998/1999
Manuel Canabal,23,Centre-Forward,Real Madrid,0.0,in,Summer,1998,1998/1999
Àngel Morales,22,Defensive Midfield,Espanyol,0.0,in,Summer,1998,1998/1999
Sergio Gámiz,20,Centre-Back,Aurrera,0.0,in,Summer,1998,1998/1999
Ino,23,midfield,Levante,0.0,in,Summer,1998,1998/1999
Óscar Téllez,23,Centre-Back,Valencia,2100000.0,out,Summer,1998,1998/1999
José Ramón Dacosta,24,Left-Back,Hércules CF,0.0,out,Summer,1998,1998/1999
Ángel Luis,24,Centre-Forward,CD Numancia,0.0,out,Summer,1998,1998/1999
Francisco Leal,33,Goalkeeper,Sevilla FC,0.0,out,Summer,1998,1998/1999
Álex Díez,23,Right-Back,CD Numancia,0.0,out,Summer,1998,1998/1999
Ino,23,midfield,CD Logroñés,0.0,out,Summer,1998,1998/1999
Pedro Riesco,28,attack,CD Ourense,0.0,out,Summer,1998,1998/1999
Pedro Alberto Cano,29,Centre-Back,CD Toledo,0.0,out,Summer,1998,1998/1999
Manuel Serrano,25,Centre-Forward,Espanyol,0.0,out,Summer,1998,1998/1999
Alex Diaz,23,defence,CD Numancia,0.0,out,Summer,1998,1998/1999
Armando Ribeiro,27,Goalkeeper,Barakaldo CF,0.0,out,Summer,1998,1998/1999
Lluís Codina,25,Attacking Midfield,CD Leganés,0.0,out,Summer,1998,1998/1999
Javi Moreno,23,Centre-Forward,CD Numancia,0.0,out,Summer,1998,1998/1999
Raúl Tamudo,20,Centre-Forward,Espanyol,0.0,out,Summer,1998,1998/1999
Nicola Berti,31,Central Midfield,Spurs,200000.0,in,Winter,1998,1998/1999
Pablo Sánchez,26,Attacking Midfield,Feyenoord,0.0,in,Winter,1998,1998/1999
Jon Solaun,24,Central Midfield,Badajoz,0.0,out,Winter,1998,1998/1999
Ismael López,20,Left Midfield,CD Logroñés,0.0,out,Winter,1998,1998/1999
Santi Revilla,26,Attacking Midfield,Badajoz,0.0,out,Winter,1998,1998/1999
Raúl Gañán,24,Right-Back,Badajoz,0.0,out,Winter,1998,1998/1999
Àngel Morales,23,Defensive Midfield,Espanyol,0.0,out,Winter,1998,1998/1999
Cosmin Contra,23,Right-Back,FC Dinamo,1800000.0,in,Summer,1999,1999/2000
Jurica Vucko,22,Centre-Forward,Hajduk Split,250000.0,in,Summer,1999,1999/2000
Óscar Téllez,24,Centre-Back,Valencia,0.0,in,Summer,1999,1999/2000
Dan Eggen,29,Centre-Back,Celta de Vigo,0.0,in,Summer,1999,1999/2000
Víctor Torres Mestre,28,Left-Back,G. Bordeaux,0.0,in,Summer,1999,1999/2000
Martín Herrera,28,Goalkeeper,Ferro,0.0,in,Summer,1999,1999/2000
Meho Kodro,32,Centre-Forward,CD Tenerife,0.0,in,Summer,1999,1999/2000
Martín Astudillo,21,Central Midfield,Gimnasia (J),0.0,in,Summer,1999,1999/2000
Àngel Morales,23,Defensive Midfield,Espanyol,0.0,in,Summer,1999,1999/2000
Nan Ribera,24,midfield,Espanyol,0.0,in,Summer,1999,1999/2000
Javi Moreno,24,Centre-Forward,CD Numancia,0.0,in,Summer,1999,1999/2000
Raúl Gañán,24,Right-Back,Badajoz,0.0,in,Summer,1999,1999/2000
Sívori,22,Centre-Forward,Athletic,2100000.0,out,Summer,1999,1999/2000
Alfonso Vera,25,midfield,CA Osasuna,240000.0,out,Summer,1999,1999/2000
Alberto Belsué,31,Right-Back,CD Numancia,0.0,out,Summer,1999,1999/2000
Iñaki Berruet,26,Centre-Back,Villarreal,0.0,out,Summer,1999,1999/2000
Tito,29,Goalkeeper,CD Leganés,0.0,out,Summer,1999,1999/2000
Iván Rocha,30,Left-Back,CD Numancia,0.0,out,Summer,1999,1999/2000
Alberto Albistegui,34,Centre-Back,Retired,0.0,out,Summer,1999,1999/2000
Manuel Canabal,24,Centre-Forward,Real Madrid,0.0,out,Summer,1999,1999/2000
Pablo Sánchez,26,Attacking Midfield,Feyenoord,0.0,out,Summer,1999,1999/2000
Gerard López,20,Central Midfield,Valencia,0.0,out,Summer,1999,1999/2000
Nicola Berti,32,Central Midfield,Northern Spirit,0.0,out,Winter,1999,1999/2000
Jordi Cruyff,26,Attacking Midfield,Man Utd,0.0,in,Summer,2000,2000/2001
Rubén Vega,22,Centre-Forward,Real Sociedad B,0.0,in,Summer,2000,2000/2001
Vlatko Djolonga,23,Left-Back,Hrv Dragovoljac,0.0,in,Summer,2000,2000/2001
Iván Alonso,21,Centre-Forward,River Plate,0.0,in,Summer,2000,2000/2001
Delfí Geli,31,Right-Back,Albacete,0.0,in,Summer,2000,2000/2001
Mario Rosas,20,Attacking Midfield,Barcelona B,0.0,in,Summer,2000,2000/2001
Ivan Tomic,24,Defensive Midfield,AS Roma,0.0,in,Summer,2000,2000/2001
Meho Kodro,33,Centre-Forward,M. Tel Aviv,0.0,out,Summer,2000,2000/2001
Víctor Torres Mestre,29,Left-Back,Real Betis,0.0,out,Summer,2000,2000/2001
Julio Salinas,38,Centre-Forward,Retired,0.0,out,Summer,2000,2000/2001
Àngel Morales,24,Defensive Midfield,Espanyol,0.0,out,Summer,2000,2000/2001
Nan Ribera,25,midfield,Espanyol,0.0,out,Summer,2000,2000/2001
Pablo Brandán,17,Central Midfield,Huracán,0.0,in,Winter,2000,2000/2001
Josete,30,defence,UE Lleida,0.0,out,Winter,2000,2000/2001
Fabricio Coloccini,19,Centre-Back,Milan,750000.0,in,Summer,2001,2001/2002
Bogdan Mara,23,Attacking Midfield,Arges Dacia Pit.,0.0,in,Summer,2001,2001/2002
Rubén Navarro,22,Centre-Forward,CD Numancia,0.0,in,Summer,2001,2001/2002
Jesús Ángel Turiel,27,Defensive Midfield,Real Valladolid,0.0,in,Summer,2001,2001/2002
Sergio de la Cruz,23,midfield,Badajoz,0.0,in,Summer,2001,2001/2002
Richard Witschge,31,Central Midfield,Ajax,0.0,in,Summer,2001,2001/2002
