player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Carlos Sánchez,27,Defensive Midfield,Rangers Talca,1580000.0,in,Summer,2013,2013/2014
David Lombán,26,Centre-Back,Barcelona B,50000.0,in,Summer,2013,2013/2014
Cristian Sapunaru,29,Centre-Back,Real Zaragoza,0.0,in,Summer,2013,2013/2014
Toño,33,Goalkeeper,Granada CF,0.0,in,Summer,2013,2013/2014
Domingo Cisma,31,Left-Back,Atlético Madrid,0.0,in,Summer,2013,2013/2014
Richmond Boakye,20,Centre-Forward,Juventus,0.0,in,Summer,2013,2013/2014
Alberto Botía,24,Centre-Back,Sevilla FC,0.0,in,Summer,2013,2013/2014
Rubén Pérez,24,Defensive Midfield,Atlético Madrid,0.0,in,Summer,2013,2013/2014
Carles Gil,20,Attacking Midfield,Valencia B,0.0,in,Summer,2013,2013/2014
Manu del Moral,29,Centre-Forward,Sevilla FC,0.0,in,Summer,2013,2013/2014
Miroslav Stevanovic,22,Right Midfield,Sevilla FC,0.0,in,Summer,2013,2013/2014
Javi Márquez,27,Central Midfield,RCD Mallorca,0.0,in,Summer,2013,2013/2014
Leandro Montagud,24,Goalkeeper,Ponferradina,0.0,in,Summer,2013,2013/2014
Leandro Montagud,24,Goalkeeper,Levante B,0.0,out,Summer,2013,2013/2014
Xabi Etxeita,25,Centre-Back,Athletic,0.0,out,Summer,2013,2013/2014
Jordi Xumetra,27,Right Winger,Levante,0.0,out,Summer,2013,2013/2014
Miguel Palanca,25,Attacking Midfield,CD Numancia,0.0,out,Summer,2013,2013/2014
Miguel Linares,30,Centre-Forward,Recr. Huelva,0.0,out,Summer,2013,2013/2014
Javier Flaño,28,Right-Back,CD Mirandés,0.0,out,Summer,2013,2013/2014
Héctor Verdés,29,Centre-Back,Alcorcón,0.0,out,Summer,2013,2013/2014
Diego Rivas,26,Goalkeeper,SD Eibar,0.0,out,Summer,2013,2013/2014
Ricardo Buitrago,27,Attacking Midfield,Plaza Amador,0.0,out,Summer,2013,2013/2014
Pelayo,22,Central Midfield,Córdoba CF,0.0,out,Summer,2013,2013/2014
Berry Powel,33,Centre-Forward,Without Club,0.0,out,Summer,2013,2013/2014
Ángel Rodríguez,26,Centre-Forward,Levante,0.0,out,Summer,2013,2013/2014
Carles Gil,20,Attacking Midfield,Valencia B,0.0,out,Summer,2013,2013/2014
Garry Rodrigues,23,Left Winger,Levski Sofia,600000.0,in,Winter,2013,2013/2014
Cristian Herrera,22,Centre-Forward,Elche Ilicitano,0.0,in,Winter,2013,2013/2014
Diego Rivas,26,Goalkeeper,SD Eibar,0.0,in,Winter,2013,2013/2014
David Generelo,31,Central Midfield,RCD Mallorca,0.0,out,Winter,2013,2013/2014
Diego Rivas,26,Goalkeeper,CD Tenerife,0.0,out,Winter,2013,2013/2014
Grégory Béranger,32,Left-Back,Retired,0.0,out,Winter,2013,2013/2014
