player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Pablo Alfaro,23,Centre-Back,Real Zaragoza,1500000.0,in,Summer,1992,1992/1993
Goran Vucevic,21,Central Midfield,Hajduk Split,500000.0,in,Summer,1992,1992/1993
Quique Estebaranz,26,Centre-Forward,CD Tenerife,0.0,in,Summer,1992,1992/1993
Javi Sánchez Jara,22,Right-Back,Barcelona B,0.0,in,Summer,1992,1992/1993
Sebastián Herrera,23,Centre-Back,RCD Mallorca,0.0,in,Summer,1992,1992/1993
Antonio Pinilla,21,Left Winger,RCD Mallorca,0.0,in,Summer,1992,1992/1993
Sergi López,24,Left-Back,RCD Mallorca,0.0,in,Summer,1992,1992/1993
Antonio Pinilla,21,Left Winger,Albacete,0.0,out,Summer,1992,1992/1993
Cristóbal Parralo,24,Right-Back,Real Oviedo,0.0,out,Summer,1992,1992/1993
Sebastián Herrera,23,Centre-Back,Real Burgos CF,0.0,out,Summer,1992,1992/1993
Sergi López,24,Left-Back,Real Zaragoza,0.0,out,Summer,1992,1992/1993
Javi Sánchez Jara,22,Right-Back,CA Osasuna,0.0,out,Summer,1992,1992/1993
Nando,24,Centre-Back,Sevilla FC,0.0,out,Summer,1992,1992/1993
Ricardo Serna,28,Centre-Back,Dep. La Coruña,0.0,out,Winter,1992,1992/1993
Romário,27,Centre-Forward,PSV Eindhoven,8000000.0,in,Summer,1993,1993/1994
Iván Iglesias,21,Central Midfield,Sporting Gijón,650000.0,in,Summer,1993,1993/1994
Sergi Barjuan,21,Left-Back,Barcelona B,0.0,in,Summer,1993,1993/1994
Óscar García,20,Attacking Midfield,Barcelona B,0.0,in,Summer,1993,1993/1994
Lluís Carreras,20,Left-Back,Barcelona B,0.0,in,Summer,1993,1993/1994
Sebastián Herrera,24,Centre-Back,Real Burgos CF,0.0,in,Summer,1993,1993/1994
Antonio Pinilla,22,Left Winger,Albacete,0.0,in,Summer,1993,1993/1994
Pablo Alfaro,24,Centre-Back,Racing,0.0,out,Summer,1993,1993/1994
Antonio Pinilla,22,Left Winger,CD Tenerife,0.0,out,Summer,1993,1993/1994
Richard Witschge,23,Central Midfield,G. Bordeaux,0.0,out,Summer,1993,1993/1994
Miquel Soler,28,Left-Back,Sevilla FC,0.0,out,Summer,1993,1993/1994
Lluís Carreras,20,Left-Back,Real Oviedo,0.0,out,Summer,1993,1993/1994
José Ramón Alexanko,37,Sweeper,Retired,0.0,out,Summer,1993,1993/1994
Sebastián Herrera,24,Centre-Back,Barcelona B,0.0,out,Summer,1993,1993/1994
Quique Estebaranz,28,Centre-Forward,Sevilla FC,210000.0,out,Winter,1993,1993/1994
Gheorghe Hagi,29,Attacking Midfield,Brescia,4000000.0,in,Summer,1994,1994/1995
Xabier Eskurza,24,Central Midfield,Athletic,4000000.0,in,Summer,1994,1994/1995
Abelardo,24,Centre-Back,Sporting Gijón,3000000.0,in,Summer,1994,1994/1995
Xavier Escaich,25,Centre-Forward,Sporting Gijón,150000.0,in,Summer,1994,1994/1995
Igor Korneev,26,Right Winger,Espanyol,0.0,in,Summer,1994,1994/1995
Julen Lopetegui,27,Goalkeeper,CD Logroñés,0.0,in,Summer,1994,1994/1995
Jordi Cruyff,20,Attacking Midfield,Barcelona B,0.0,in,Summer,1994,1994/1995
Javi Sánchez Jara,24,Right-Back,CA Osasuna,0.0,in,Summer,1994,1994/1995
Lluís Carreras,21,Left-Back,Real Oviedo,0.0,in,Summer,1994,1994/1995
Sergi López,26,Left-Back,Real Zaragoza,0.0,in,Summer,1994,1994/1995
Michael Laudrup,30,Attacking Midfield,Real Madrid,9600000.0,out,Summer,1994,1994/1995
Jon Andoni Goikoetxea,28,Right Midfield,Athletic,4200000.0,out,Summer,1994,1994/1995
Julio Salinas,32,Centre-Forward,Dep. La Coruña,2400000.0,out,Summer,1994,1994/1995
Andoni Zubizarreta,32,Goalkeeper,Valencia,2100000.0,out,Summer,1994,1994/1995
Juan Carlos,NA,defence,Valencia,900000.0,out,Summer,1994,1994/1995
Juan Carlos,29,Left-Back,Valencia,0.0,out,Summer,1994,1994/1995
Sergi López,26,Left-Back,Real Zaragoza,0.0,out,Summer,1994,1994/1995
Lluís Carreras,21,Left-Back,Racing,0.0,out,Summer,1994,1994/1995
Goran Vucevic,23,Central Midfield,Hajduk Split,0.0,out,Summer,1994,1994/1995
Óscar García,21,Attacking Midfield,Albacete,0.0,out,Summer,1994,1994/1995
Pablo Sanz,20,Defensive Midfield,Gimnàstic,0.0,out,Summer,1994,1994/1995
José Mari,23,Attacking Midfield,CA Osasuna,900000.0,in,Winter,1994,1994/1995
Romário,28,Centre-Forward,Flamengo,6000000.0,out,Winter,1994,1994/1995
Meho Kodro,28,Centre-Forward,Real Sociedad,5500000.0,in,Summer,1995,1995/1996
Robert Prosinecki,26,Central Midfield,Real Oviedo,3000000.0,in,Summer,1995,1995/1996
Ángel Cuéllar,22,Left Winger,Real Betis,3000000.0,in,Summer,1995,1995/1996
Gheorghe Popescu,27,Centre-Back,Spurs,2800000.0,in,Summer,1995,1995/1996
Luís Figo,22,Right Winger,Sporting CP,2500000.0,in,Summer,1995,1995/1996
Roger García,18,Left Midfield,Barcelona B,0.0,in,Summer,1995,1995/1996
Jesús Angoy,29,Goalkeeper,Barcelona B,0.0,in,Summer,1995,1995/1996
Iván de la Peña,19,Attacking Midfield,Barcelona B,0.0,in,Summer,1995,1995/1996
Óscar García,22,Attacking Midfield,Albacete,0.0,in,Summer,1995,1995/1996
Lluís Carreras,22,Left-Back,Racing,0.0,in,Summer,1995,1995/1996
Goran Vucevic,24,Central Midfield,Hajduk Split,0.0,in,Summer,1995,1995/1996
Pablo Sanz,21,Defensive Midfield,Gimnàstic,0.0,in,Summer,1995,1995/1996
Hristo Stoichkov,29,Left Winger,AC Parma,11000000.0,out,Summer,1995,1995/1996
Txiki Begiristain,30,Left Winger,Dep. La Coruña,2500000.0,out,Summer,1995,1995/1996
Ronald Koeman,32,Sweeper,Feyenoord,2000000.0,out,Summer,1995,1995/1996
Xabier Eskurza,25,Central Midfield,Valencia,2000000.0,out,Summer,1995,1995/1996
José Mari,24,Attacking Midfield,Real Betis,1000000.0,out,Summer,1995,1995/1996
Xavier Escaich,26,Centre-Forward,Albacete,700000.0,out,Summer,1995,1995/1996
Iván Iglesias,23,Central Midfield,Sporting Gijón,500000.0,out,Summer,1995,1995/1996
Igor Korneev,27,Right Winger,Heerenveen,0.0,out,Summer,1995,1995/1996
Eusebio,31,Defensive Midfield,Celta de Vigo,0.0,out,Summer,1995,1995/1996
Javi Sánchez Jara,25,Right-Back,Real Betis,0.0,out,Summer,1995,1995/1996
Goran Vucevic,24,Central Midfield,CP Mérida,0.0,out,Summer,1995,1995/1996
Toni Velamazán,18,Right Midfield,Barcelona B,0.0,in,Winter,1995,1995/1996
Ronaldo,19,Centre-Forward,PSV Eindhoven,15000000.0,in,Summer,1996,1996/1997
Vítor Baía,26,Goalkeeper,FC Porto,6500000.0,in,Summer,1996,1996/1997
Giovanni,24,Centre-Forward,Santos FC,5500000.0,in,Summer,1996,1996/1997
Fernando Couto,26,Centre-Back,AC Parma,5500000.0,in,Summer,1996,1996/1997
Laurent Blanc,30,Centre-Back,AJ Auxerre,4600000.0,in,Summer,1996,1996/1997
Emmanuel Amunike,25,Left Winger,Sporting CP,3000000.0,in,Summer,1996,1996/1997
Hristo Stoichkov,30,Left Winger,AC Parma,2400000.0,in,Summer,1996,1996/1997
Luis Enrique,26,Right Midfield,Real Madrid,0.0,in,Summer,1996,1996/1997
Juan Antonio Pizzi,28,Centre-Forward,CD Tenerife,0.0,in,Summer,1996,1996/1997
Albert Celades,20,Defensive Midfield,Barcelona B,0.0,in,Summer,1996,1996/1997
Goran Vucevic,25,Central Midfield,CP Mérida,0.0,in,Summer,1996,1996/1997
Gheorghe Hagi,31,Attacking Midfield,Galatasaray,3750000.0,out,Summer,1996,1996/1997
Meho Kodro,29,Centre-Forward,CD Tenerife,3000000.0,out,Summer,1996,1996/1997
Jordi Cruyff,22,Attacking Midfield,Man Utd,2500000.0,out,Summer,1996,1996/1997
Toni Velamazán,19,Right Midfield,Real Oviedo,300000.0,out,Summer,1996,1996/1997
Lluís Carreras,23,Left-Back,RCD Mallorca,0.0,out,Summer,1996,1996/1997
Jesús Angoy,30,Goalkeeper,Córdoba CF,0.0,out,Summer,1996,1996/1997
Robert Prosinecki,27,Central Midfield,Sevilla FC,1670000.0,out,Winter,1996,1996/1997
José Mari Bakero,33,Attacking Midfield,Tiburones Rojos,0.0,out,Winter,1996,1996/1997
Sonny Anderson,26,Centre-Forward,Monaco,26250000.0,in,Summer,1997,1997/1998
Rivaldo,25,Attacking Midfield,Dep. La Coruña,23500000.0,in,Summer,1997,1997/1998
Michael Reiziger,24,Right-Back,Milan,8000000.0,in,Summer,1997,1997/1998
Christophe Dugarry,25,Centre-Forward,Milan,4000000.0,in,Summer,1997,1997/1998
Ruud Hesp,31,Goalkeeper,Roda JC,1100000.0,in,Summer,1997,1997/1998
Dragan Ciric,22,Attacking Midfield,Partizan,900000.0,in,Summer,1997,1997/1998
Toni Velamazán,20,Right Midfield,Real Oviedo,0.0,in,Summer,1997,1997/1998
Ronaldo,20,Centre-Forward,Inter,26500000.0,out,Summer,1997,1997/1998
Gheorghe Popescu,29,Centre-Back,Galatasaray,4500000.0,out,Summer,1997,1997/1998
Laurent Blanc,31,Centre-Back,Marseille,2500000.0,out,Summer,1997,1997/1998
Ángel Cuéllar,24,Left Winger,Real Betis,1800000.0,out,Summer,1997,1997/1998
Julen Lopetegui,30,Goalkeeper,Rayo Vallecano,0.0,out,Summer,1997,1997/1998
Goran Vucevic,26,Central Midfield,1. FC Köln,0.0,out,Summer,1997,1997/1998
Quique Álvarez,21,Centre-Back,CD Logroñés,0.0,out,Summer,1997,1997/1998
Toni Velamazán,20,Right Midfield,Albacete,0.0,out,Summer,1997,1997/1998
Winston Bogarde,27,Centre-Back,Milan,3700000.0,in,Winter,1997,1997/1998
Christophe Dugarry,25,Centre-Forward,Marseille,5500000.0,out,Winter,1997,1997/1998
Hristo Stoichkov,31,Left Winger,CSKA Sofia,0.0,out,Winter,1997,1997/1998
Patrick Kluivert,22,Centre-Forward,Milan,12600000.0,in,Summer,1998,1998/1999
Boudewijn Zenden,21,Left Winger,PSV Eindhoven,12000000.0,in,Summer,1998,1998/1999
Mauricio Pellegrino,26,Centre-Back,Vélez Sarsfield,1800000.0,in,Summer,1998,1998/1999
Seyit Cem Ünsal,22,Centre-Forward,Anyang LG Cheeta,548000.0,in,Summer,1998,1998/1999
Phillip Cocu,27,Defensive Midfield,PSV Eindhoven,0.0,in,Summer,1998,1998/1999
Xavi,18,Central Midfield,Barcelona B,0.0,in,Summer,1998,1998/1999
Samuel Okunowo,19,Right-Back,Barcelona B,0.0,in,Summer,1998,1998/1999
Toni Velamazán,21,Right Midfield,Real Oviedo,0.0,in,Summer,1998,1998/1999
Iván de la Peña,22,Attacking Midfield,Lazio,15000000.0,out,Summer,1998,1998/1999
Albert Ferrer,28,Right-Back,Chelsea,4300000.0,out,Summer,1998,1998/1999
Fernando Couto,28,Centre-Back,Lazio,3400000.0,out,Summer,1998,1998/1999
Juan Antonio Pizzi,30,Centre-Forward,River Plate,3000000.0,out,Summer,1998,1998/1999
Guillermo Amor,30,Central Midfield,Fiorentina,0.0,out,Summer,1998,1998/1999
Seyit Cem Ünsal,22,Centre-Forward,Trabzonspor,0.0,out,Summer,1998,1998/1999
Toni Velamazán,21,Right Midfield,CF Extremadura,0.0,out,Summer,1998,1998/1999
Ronald de Boer,28,Right Winger,Ajax,7500000.0,in,Winter,1998,1998/1999
Frank de Boer,28,Centre-Back,Ajax,7500000.0,in,Winter,1998,1998/1999
Vítor Baía,29,Goalkeeper,FC Porto,0.0,out,Winter,1998,1998/1999
Dani García,24,Centre-Forward,RCD Mallorca,15000000.0,in,Summer,1999,1999/2000
Simão,19,Left Winger,Sporting CP,14000000.0,in,Summer,1999,1999/2000
Jari Litmanen,28,Attacking Midfield,Ajax,4000000.0,in,Summer,1999,1999/2000
Frédéric Déhu,26,Centre-Back,Lens,0.0,in,Summer,1999,1999/2000
Luis García,21,Right Winger,Barcelona B,0.0,in,Summer,1999,1999/2000
Carles Puyol,21,Centre-Back,Barcelona B,0.0,in,Summer,1999,1999/2000
Francesc Arnau,24,Goalkeeper,Barcelona B,0.0,in,Summer,1999,1999/2000
Gabri,20,Defensive Midfield,Barcelona B,0.0,in,Summer,1999,1999/2000
Toni Velamazán,22,Right Midfield,Albacete,0.0,in,Summer,1999,1999/2000
Sonny Anderson,28,Centre-Forward,Olympique Lyon,19000000.0,out,Summer,1999,1999/2000
Giovanni,27,Centre-Forward,Olympiacos,12000000.0,out,Summer,1999,1999/2000
Roger García,22,Left Midfield,Espanyol,2700000.0,out,Summer,1999,1999/2000
Albert Celades,23,Defensive Midfield,Celta de Vigo,1700000.0,out,Summer,1999,1999/2000
Toni Velamazán,22,Right Midfield,Espanyol,450000.0,out,Summer,1999,1999/2000
Óscar García,26,Attacking Midfield,Valencia,0.0,out,Summer,1999,1999/2000
Miguel Ángel Nadal,32,Centre-Back,RCD Mallorca,0.0,out,Summer,1999,1999/2000
Carles Busquets,31,Goalkeeper,UE Lleida,0.0,out,Summer,1999,1999/2000
Luis García,21,Right Winger,Real Valladolid,0.0,out,Summer,1999,1999/2000
Dragan Ciric,24,Attacking Midfield,AEK Athens,0.0,out,Summer,1999,1999/2000
Samuel Okunowo,20,Right-Back,Benfica,0.0,out,Summer,1999,1999/2000
Mauricio Pellegrino,27,Centre-Back,Vélez Sarsfield,0.0,out,Summer,1999,1999/2000
Luis García,21,Right Winger,Real Valladolid,0.0,in,Winter,1999,1999/2000
Luis García,21,Right Winger,CD Toledo,0.0,out,Winter,1999,1999/2000
Marc Overmars,27,Left Winger,Arsenal,29300000.0,in,Summer,2000,2000/2001
Gerard López,21,Central Midfield,Valencia,21600000.0,in,Summer,2000,2000/2001
Alfonso,27,Centre-Forward,Real Betis,16500000.0,in,Summer,2000,2000/2001
Emmanuel Petit,29,Defensive Midfield,Arsenal,15000000.0,in,Summer,2000,2000/2001
Richard Dutruel,27,Goalkeeper,Celta de Vigo,0.0,in,Summer,2000,2000/2001
Iván de la Peña,24,Attacking Midfield,Lazio,0.0,in,Summer,2000,2000/2001
