player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Javier Sanchez Broto,32,Goalkeeper,Real Murcia,0.0,in,Summer,2004,2004/2005
Diego Rivas,24,Central Midfield,Atlético Madrid,0.0,in,Summer,2004,2004/2005
David Belenguer,31,Centre-Back,Real Betis,0.0,in,Summer,2004,2004/2005
Rubén Pulido,25,Centre-Back,Rayo Vallecano,0.0,in,Summer,2004,2004/2005
Mariano Pernía,27,Left-Back,Independiente,0.0,in,Summer,2004,2004/2005
Riki,23,Centre-Forward,Real Madrid B,0.0,in,Summer,2004,2004/2005
Raúl Albiol,18,Centre-Back,Valencia,0.0,in,Summer,2004,2004/2005
Gabi,20,Central Midfield,Atlético Madrid,0.0,in,Summer,2004,2004/2005
Martín Ariel Vitali,28,Right-Back,CD Leganés,0.0,in,Summer,2004,2004/2005
Daniel Komé,24,Right Winger,CD Numancia,0.0,in,Summer,2004,2004/2005
Yordi,29,Centre-Forward,Real Zaragoza,0.0,in,Summer,2004,2004/2005
Sergio Sánchez,27,Goalkeeper,Atlético Madrid,0.0,in,Summer,2004,2004/2005
Paco Gallardo,24,Right Midfield,Sevilla FC,0.0,in,Summer,2004,2004/2005
Gari Uranga,24,Attacking Midfield,Real Sociedad,0.0,out,Summer,2004,2004/2005
Nacho Triguero,30,Goalkeeper,CD Mostoles,0.0,out,Summer,2004,2004/2005
Míchel,27,Centre-Forward,UD Almería,0.0,out,Summer,2004,2004/2005
Miguel Ángel,34,attack,Alcorcón,0.0,out,Summer,2004,2004/2005
Marc Bernaus,27,Left-Back,Elche CF,0.0,out,Summer,2004,2004/2005
Noé Calleja,24,Goalkeeper,Algeciras CF,0.0,out,Summer,2004,2004/2005
Txema,33,Centre-Back,UE Lleida,0.0,out,Summer,2004,2004/2005
Jean Blaise Bouli,23,Right Winger,Dinamo Bryansk,0.0,out,Summer,2004,2004/2005
Rubén Reyes,25,Central Midfield,Villarreal,0.0,out,Summer,2004,2004/2005
Sergio Aragoneses,28,Goalkeeper,Atlético Madrid,0.0,in,Winter,2004,2004/2005
Jaime Asen,26,Centre-Forward,Alcorcón,0.0,in,Winter,2004,2004/2005
Martín Ariel Vitali,29,Right-Back,Racing Club,0.0,out,Winter,2004,2004/2005
Dani Güiza,24,Centre-Forward,Ciudad Murcia,800000.0,in,Summer,2005,2005/2006
Veljko Paunovic,27,Centre-Forward,Atlético Madrid,0.0,in,Summer,2005,2005/2006
Luis García,26,Goalkeeper,Real Zaragoza,0.0,in,Summer,2005,2005/2006
Fabio Celestini,29,Defensive Midfield,Marseille,0.0,in,Summer,2005,2005/2006
Cosmin Contra,29,Right-Back,Atlético Madrid,0.0,in,Summer,2005,2005/2006
Alberto Aguilar,20,Centre-Back,Málaga B,0.0,in,Summer,2005,2005/2006
Aníbal Matellán,28,Centre-Back,Boca Juniors,0.0,in,Summer,2005,2005/2006
Pablo Redondo,23,Attacking Midfield,Albacete,0.0,in,Summer,2005,2005/2006
Juan Calatayud,25,Goalkeeper,Málaga CF,0.0,in,Summer,2005,2005/2006
Jaime Gavilán,20,Left Winger,Valencia,0.0,in,Summer,2005,2005/2006
Nano,23,Centre-Back,Atlético Madrid,0.0,in,Summer,2005,2005/2006
Javier Paredes,22,Left-Back,RM Castilla,0.0,in,Summer,2005,2005/2006
Nano,24,Centre-Back,Real Betis,600000.0,out,Summer,2005,2005/2006
