player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Gil,25,Centre-Forward,Cruzeiro,800000.0,in,Summer,2006,2006/2007
Óscar López,26,Right-Back,Real Betis,200000.0,in,Summer,2006,2006/2007
Javier Portillo,24,Centre-Forward,Real Madrid,150000.0,in,Summer,2006,2006/2007
Juan Díaz,29,Central Midfield,Sporting Gijón,0.0,in,Summer,2006,2006/2007
Constantin Galca,34,Defensive Midfield,UD Almería,0.0,in,Summer,2006,2006/2007
Aníbal Matellán,29,Centre-Back,Getafe,0.0,in,Summer,2006,2006/2007
Mingo,29,Left-Back,Albacete,0.0,in,Summer,2006,2006/2007
Alejandro Campano,27,Right Midfield,RCD Mallorca,0.0,in,Summer,2006,2006/2007
Fede Bessone,22,Left-Back,RCD Espanyol B,0.0,in,Summer,2006,2006/2007
David Generelo,23,Central Midfield,Real Zaragoza,0.0,in,Summer,2006,2006/2007
Ariza Makukula,25,Centre-Forward,Sevilla FC,0.0,in,Summer,2006,2006/2007
Albano Bizzarri,28,Goalkeeper,Real Valladolid,0.0,in,Summer,2006,2006/2007
Julio Cáceres,26,Centre-Back,FC Nantes,0.0,in,Summer,2006,2006/2007
Alfonso Vera,32,midfield,Unknown,0.0,out,Summer,2006,2006/2007
Vaqueriza,31,Centre-Back,CD Colonia Ofigevi,0.0,out,Summer,2006,2006/2007
Felip Ortiz,29,Goalkeeper,UD Salamanca,0.0,out,Summer,2006,2006/2007
Bolo,32,Centre-Forward,CD Numancia,0.0,out,Summer,2006,2006/2007
Fernando López,25,midfield,CyD Leonesa,0.0,out,Summer,2006,2006/2007
Óscar Álvarez,29,Centre-Back,Orihuela CF,0.0,out,Summer,2006,2006/2007
Lluís Codina,33,Attacking Midfield,SD Eibar,0.0,out,Summer,2006,2006/2007
Nano,21,Left Midfield,Barcelona B,0.0,out,Summer,2006,2006/2007
Cristian Lupidio,29,Left-Back,Benidorm,0.0,out,Summer,2006,2006/2007
Abdulrazak Ekpoki,23,Centre-Forward,UD Vecindario,0.0,out,Summer,2006,2006/2007
Ibon Begoña,32,Left-Back,Alavés,0.0,out,Summer,2006,2006/2007
Egoitz Jaio,25,Centre-Back,CD Numancia,0.0,out,Summer,2006,2006/2007
Pablo Lusarreta,29,defence,FC Cartagena,0.0,out,Summer,2006,2006/2007
Diego Torres,27,Centre-Forward,Rayo Vallecano,0.0,out,Summer,2006,2006/2007
Miguel Pérez,26,Right Midfield,Alavés,0.0,out,Summer,2006,2006/2007
Carlos Alberto Moreno,33,midfield,Deportivo Cali,0.0,out,Summer,2006,2006/2007
Luis Miguel Carrión,27,Right-Back,Córdoba CF,0.0,out,Summer,2006,2006/2007
Iván Romero,25,Left-Back,Real Jaén CF,0.0,out,Summer,2006,2006/2007
Álex Pérez,21,Left Winger,RM Castilla,0.0,out,Summer,2006,2006/2007
Tobias Grahn,26,Central Midfield,Aarhus GF,1000000.0,in,Winter,2006,2006/2007
Rubén Castro,25,Centre-Forward,Dep. La Coruña,0.0,in,Winter,2006,2006/2007
César Navas,26,Centre-Back,Málaga CF,0.0,in,Winter,2006,2006/2007
José Calvo,25,Right-Back,Boca Juniors,0.0,in,Winter,2006,2006/2007
Sebastien Chabaud,29,Defensive Midfield,RSC Charleroi,0.0,in,Winter,2006,2006/2007
Nano,22,Left Midfield,Barcelona B,0.0,in,Winter,2006,2006/2007
Manolo Martínez,26,Centre-Back,CD Tenerife,75000.0,out,Winter,2006,2006/2007
Miguel Llera,27,Centre-Back,Hércules CF,0.0,out,Winter,2006,2006/2007
Abel Buades,29,Defensive Midfield,Cádiz CF,0.0,out,Winter,2006,2006/2007
Nano,22,Left Midfield,Córdoba CF,0.0,out,Winter,2006,2006/2007
Julio Cáceres,27,Centre-Back,Tigres UANL,0.0,out,Winter,2006,2006/2007
