player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Bernardo Espinosa,27,Centre-Back,Middlesbrough,4500000.0,in,Summer,2017,2017/2018
Cristhian Stuani,30,Centre-Forward,Middlesbrough,2500000.0,in,Summer,2017,2017/2018
Gorka Iraizoz,36,Goalkeeper,Athletic,0.0,in,Summer,2017,2017/2018
David Timor,27,Defensive Midfield,CD Leganés,0.0,in,Summer,2017,2017/2018
Carles Planas,26,Left-Back,Celta de Vigo,0.0,in,Summer,2017,2017/2018
Farid Boulaya,24,Attacking Midfield,SC Bastia,0.0,in,Summer,2017,2017/2018
Douglas Luiz,19,Defensive Midfield,Man City,0.0,in,Summer,2017,2017/2018
Michael Olunga,23,Centre-Forward,GZ Hengfeng,0.0,in,Summer,2017,2017/2018
Marlos Moreno,20,Right Winger,Man City,0.0,in,Summer,2017,2017/2018
Pablo Maffeo,20,Right-Back,Man City,0.0,in,Summer,2017,2017/2018
Johan Mojica,24,Left-Back,Rayo Vallecano,0.0,in,Summer,2017,2017/2018
Olarenwaju Kayode,24,Centre-Forward,Man City,0.0,in,Summer,2017,2017/2018
Marc Muniesa,25,Centre-Back,Stoke City,0.0,in,Summer,2017,2017/2018
Aleix García,20,Central Midfield,Man City,0.0,in,Summer,2017,2017/2018
Marcel Lizak,20,Goalkeeper,Girona FC B,0.0,in,Summer,2017,2017/2018
Albert Vivancos,23,Central Midfield,Llagostera,0.0,in,Summer,2017,2017/2018
Carles Mas,24,Centre-Back,CF Gavà,0.0,in,Summer,2017,2017/2018
Carles Mas,24,Centre-Back,UE Olot,0.0,out,Summer,2017,2017/2018
Albert Vivancos,23,Central Midfield,UCAM Murcia,0.0,out,Summer,2017,2017/2018
Felipe Sanchón,35,Centre-Forward,CE Sabadell,0.0,out,Summer,2017,2017/2018
René Román,33,Goalkeeper,UD Almería,0.0,out,Summer,2017,2017/2018
Kiko Olivas,29,Centre-Back,Real Valladolid,0.0,out,Summer,2017,2017/2018
Cristian Herrera,26,Centre-Forward,CD Lugo,0.0,out,Summer,2017,2017/2018
Fran Sandaza,32,Centre-Forward,Al-Ahli SC,0.0,out,Summer,2017,2017/2018
Rubén Alcaraz,26,Central Midfield,UD Almería,0.0,out,Summer,2017,2017/2018
Sebas Coris,24,Right Winger,CA Osasuna,0.0,out,Summer,2017,2017/2018
Richy,32,Centre-Back,Retired,0.0,out,Summer,2017,2017/2018
Samuele Longo,25,Centre-Forward,Inter,0.0,out,Summer,2017,2017/2018
Pablo Marí,23,Centre-Back,Man City,0.0,out,Summer,2017,2017/2018
Juan Cámara,23,Right Winger,Barcelona B,0.0,out,Summer,2017,2017/2018
Pablo Maffeo,19,Right-Back,Man City,0.0,out,Summer,2017,2017/2018
Angeliño,20,Left-Back,Man City U23,0.0,out,Summer,2017,2017/2018
Johan Mojica,24,Left-Back,Rayo Vallecano,0.0,out,Summer,2017,2017/2018
Miguel Cifuentes,26,Right-Back,Málaga CF,0.0,out,Summer,2017,2017/2018
Choco Lozano,24,Centre-Forward,Barcelona B,1750000.0,in,Winter,2017,2017/2018
Manel Martínez,25,Centre-Forward,Lorca FC,0.0,in,Winter,2017,2017/2018
Fran Sandaza,33,Centre-Forward,Al-Ahli SC,0.0,in,Winter,2017,2017/2018
Fran Sandaza,33,Centre-Forward,QD Huanghai,0.0,out,Winter,2017,2017/2018
Farid Boulaya,24,Attacking Midfield,FC Metz,0.0,out,Winter,2017,2017/2018
Manel Martínez,25,Centre-Forward,CF Peralada,0.0,out,Winter,2017,2017/2018
Olarenwaju Kayode,24,Centre-Forward,Man City,0.0,out,Winter,2017,2017/2018
Marlos Moreno,21,Right Winger,Man City,0.0,out,Winter,2017,2017/2018
Marc Muniesa,26,Centre-Back,Stoke City,5000000.0,in,Summer,2018,2018/2019
Johan Mojica,25,Left-Back,Rayo Vallecano,5000000.0,in,Summer,2018,2018/2019
Jairo Izquierdo,24,Left-Back,Extremadura,200000.0,in,Summer,2018,2018/2019
Seydou Doumbia,30,Centre-Forward,Sporting CP,0.0,in,Summer,2018,2018/2019
Patrick Roberts,21,Right Winger,Man City,0.0,in,Summer,2018,2018/2019
Pedro Porro,18,Right-Back,CF Peralada,0.0,in,Summer,2018,2018/2019
Farid Boulaya,25,Attacking Midfield,FC Metz,0.0,in,Summer,2018,2018/2019
Rubén Alcaraz,27,Central Midfield,UD Almería,0.0,in,Summer,2018,2018/2019
Sebas Coris,25,Right Winger,CA Osasuna,0.0,in,Summer,2018,2018/2019
David Timor,28,Defensive Midfield,UD Las Palmas,1500000.0,out,Summer,2018,2018/2019
Rubén Alcaraz,27,Central Midfield,Real Valladolid,1000000.0,out,Summer,2018,2018/2019
Farid Boulaya,25,Attacking Midfield,FC Metz,800000.0,out,Summer,2018,2018/2019
Eloi Amagat,33,Attacking Midfield,New York City,0.0,out,Summer,2018,2018/2019
Sebas Coris,25,Right Winger,Gimnàstic,0.0,out,Summer,2018,2018/2019
Jairo Izquierdo,24,Left-Back,Cádiz CF,0.0,out,Summer,2018,2018/2019
Marcel Lizak,22,Goalkeeper,CF Peralada,0.0,out,Summer,2018,2018/2019
Michael Olunga,24,Centre-Forward,GZ Hengfeng,0.0,out,Summer,2018,2018/2019
Johan Mojica,25,Left-Back,Rayo Vallecano,0.0,out,Summer,2018,2018/2019
Marc Muniesa,26,Centre-Back,Stoke City,0.0,out,Summer,2018,2018/2019
Pablo Maffeo,20,Right-Back,Man City,0.0,out,Summer,2018,2018/2019
Raúl Carnero,29,Left-Back,CD Leganés,0.0,in,Winter,2018,2018/2019
Valery Fernández,19,Right Winger,CF Peralada,0.0,in,Winter,2018,2018/2019
Miguel Gutiérrez,21,Left-Back,Real Madrid,4000000.0,in,Summer,2022,2022/2023
Javi Hernández,24,Left-Back,CD Leganés,500000.0,in,Summer,2022,2022/2023
