player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Pape Diakhaté,27,Centre-Back,Dynamo Kyiv,4500000.0,in,Summer,2011,2011/2012
Fran Rico,23,Central Midfield,RM Castilla,1000000.0,in,Summer,2011,2011/2012
Yohan Mollo,22,Right Winger,Monaco,500000.0,in,Summer,2011,2011/2012
Franco Jara,23,Centre-Forward,Benfica,400000.0,in,Summer,2011,2011/2012
Toti,23,Attacking Midfield,UD Salamanca,200000.0,in,Summer,2011,2011/2012
Juanjo,25,Centre-Forward,CD Guadalajara,90000.0,in,Summer,2011,2011/2012
Jorge Ribeiro,29,Left-Back,Benfica,0.0,in,Summer,2011,2011/2012
Gonzalo,23,Goalkeeper,Getafe CF B,0.0,in,Summer,2011,2011/2012
Hassan Yebda,27,Central Midfield,Benfica,0.0,in,Summer,2011,2011/2012
Noé Pamarot,32,Centre-Back,Hércules CF,0.0,in,Summer,2011,2011/2012
David Ferreiro,23,Right Winger,Zamora CF,0.0,in,Summer,2011,2011/2012
Toño,32,Goalkeeper,Racing,0.0,in,Summer,2011,2011/2012
David de Coz,31,Right-Back,Córdoba CF,0.0,in,Summer,2011,2011/2012
Héctor Yuste,23,Centre-Back,UD Salamanca,0.0,in,Summer,2011,2011/2012
David Cortés,31,Right-Back,Hércules CF,0.0,in,Summer,2011,2011/2012
Ikechi Anya,23,Left Midfield,Celta Vigo B,0.0,in,Summer,2011,2011/2012
Guilherme Siqueira,25,Left-Back,Udinese Calcio,0.0,in,Summer,2011,2011/2012
Moisés Hurtado,30,Defensive Midfield,Olympiacos,0.0,in,Summer,2011,2011/2012
Jaime Romero,20,Right Winger,Udinese Calcio,0.0,in,Summer,2011,2011/2012
Ikechukwu Uche,27,Centre-Forward,Villarreal,0.0,in,Summer,2011,2011/2012
Álex Goikoetxea,28,Centre-Back,UD Salamanca,0.0,in,Summer,2011,2011/2012
Kabiru Akinsola,20,Centre-Forward,UD Salamanca,0.0,in,Summer,2011,2011/2012
Júlio César,24,Goalkeeper,Benfica,0.0,in,Summer,2011,2011/2012
Carlos Martins,29,Attacking Midfield,Benfica,0.0,in,Summer,2011,2011/2012
Matías Alonso,26,Centre-Forward,CA Cerro,0.0,in,Summer,2011,2011/2012
Pedro Barrancos,23,Attacking Midfield,UD Logroñés,0.0,in,Summer,2011,2011/2012
Jonathan Rosales,21,Centre-Back,CD Guijuelo,0.0,in,Summer,2011,2011/2012
Granada,31,Attacking Midfield,UD Melilla,0.0,out,Summer,2011,2011/2012
Juan José Collantes,28,Right Winger,FC Cartagena,0.0,out,Summer,2011,2011/2012
Pedro Barrancos,23,Attacking Midfield,Cádiz CF,0.0,out,Summer,2011,2011/2012
Toti,23,Attacking Midfield,Cádiz CF,0.0,out,Summer,2011,2011/2012
Óscar Pérez,29,Central Midfield,Cádiz CF,0.0,out,Summer,2011,2011/2012
David Ferreiro,23,Right Winger,Cádiz CF,0.0,out,Summer,2011,2011/2012
Jonathan Rosales,21,Centre-Back,UD Maracena,0.0,out,Summer,2011,2011/2012
Rafa Martínez,24,Goalkeeper,Montañeros CF,0.0,out,Summer,2011,2011/2012
Matías Alonso,26,Centre-Forward,Zamora CF,0.0,out,Summer,2011,2011/2012
Jeison Murillo,19,Centre-Back,Cádiz CF,0.0,out,Summer,2011,2011/2012
Gonzalo,23,Goalkeeper,Cádiz CF,0.0,out,Summer,2011,2011/2012
Fabián Orellana,25,Right Winger,Celta de Vigo,0.0,out,Summer,2011,2011/2012
Héctor Yuste,23,Centre-Back,Cádiz CF,0.0,out,Summer,2011,2011/2012
Álex Goikoetxea,28,Centre-Back,Cádiz CF,0.0,out,Summer,2011,2011/2012
Ikechi Anya,23,Left Midfield,Cádiz CF,0.0,out,Summer,2011,2011/2012
David de Coz,31,Right-Back,Cádiz CF,0.0,out,Summer,2011,2011/2012
Álex Cruz,21,Right Winger,CE Sabadell,0.0,out,Summer,2011,2011/2012
Juanjo,25,Centre-Forward,Cádiz CF,0.0,out,Summer,2011,2011/2012
Kabiru Akinsola,20,Centre-Forward,Cádiz CF,0.0,out,Summer,2011,2011/2012
Juande Prados,24,Defensive Midfield,Real Betis,0.0,out,Summer,2011,2011/2012
Henrique Almeida,21,Centre-Forward,São Paulo,0.0,out,Summer,2011,2011/2012
Carlos Calvo,25,Attacking Midfield,Udinese Calcio,0.0,out,Summer,2011,2011/2012
Guilherme Siqueira,25,Left-Back,Udinese Calcio,0.0,out,Summer,2011,2011/2012
Rubén Párraga,26,Left-Back,Udinese Calcio,0.0,out,Summer,2011,2011/2012
Jonathan Mensah,20,Centre-Back,Udinese Calcio,0.0,out,Summer,2011,2011/2012
Gabriel Silva,20,Left-Back,Palmeiras,4000000.0,in,Winter,2011,2011/2012
Daniel Pudil,26,Left-Back,KRC Genk,1000000.0,in,Winter,2011,2011/2012
Henrique Almeida,20,Centre-Forward,São Paulo,500000.0,in,Winter,2011,2011/2012
Matías Campos Toro,22,Left-Back,Audax Italiano,0.0,in,Winter,2011,2011/2012
José María Cases,25,Attacking Midfield,Orihuela CF,0.0,in,Winter,2011,2011/2012
Borja Gómez,23,Centre-Back,Karpaty,0.0,in,Winter,2011,2011/2012
Pedro Barrancos,23,Attacking Midfield,Cádiz CF,0.0,in,Winter,2011,2011/2012
Yohan Mollo,22,Right Winger,AS Nancy,150000.0,out,Winter,2011,2011/2012
Pedro Barrancos,23,Attacking Midfield,Caravaca CF,0.0,out,Winter,2011,2011/2012
José María Cases,25,Attacking Midfield,Cádiz CF,0.0,out,Winter,2011,2011/2012
Daniel Pudil,26,Left-Back,Cesena,0.0,out,Winter,2011,2011/2012
Gabriel Silva,20,Left-Back,Novara,0.0,out,Winter,2011,2011/2012
Matías Campos Toro,22,Left-Back,U. Católica,0.0,out,Winter,2011,2011/2012
Jorge Ribeiro,30,Left-Back,Without Club,0.0,out,Winter,2011,2011/2012
Youssef El Arabi,25,Centre-Forward,Al-Hilal SFC,5000000.0,in,Summer,2012,2012/2013
Allan,21,Defensive Midfield,Maldonado,3000000.0,in,Summer,2012,2012/2013
Borja Gómez,24,Centre-Back,Karpaty,800000.0,in,Summer,2012,2012/2013
Silvan Widmer,19,Right-Back,FC Aarau,750000.0,in,Summer,2012,2012/2013
Yacine Brahimi,22,Left Winger,Stade Rennais,300000.0,in,Summer,2012,2012/2013
Juanma Ortiz,30,Right-Back,Rangers,0.0,in,Summer,2012,2012/2013
Iriney,31,Central Midfield,Real Betis,0.0,in,Summer,2012,2012/2013
Brayan Angulo,22,Left-Back,Atl. Baleares,0.0,in,Summer,2012,2012/2013
Álex Bernal,21,Central Midfield,Betis B,0.0,in,Summer,2012,2012/2013
Ritchie Kitoko,24,Central Midfield,CD Tenerife,0.0,in,Summer,2012,2012/2013
Gabriel Torje,22,Right Winger,Udinese Calcio,0.0,in,Summer,2012,2012/2013
Antonio Floro Flores,29,Centre-Forward,Udinese Calcio,0.0,in,Summer,2012,2012/2013
Allan Nyom,24,Right-Back,Udinese Calcio,0.0,in,Summer,2012,2012/2013
Gonzalo,24,Goalkeeper,Cádiz CF,0.0,in,Summer,2012,2012/2013
José María Cases,25,Attacking Midfield,Cádiz CF,0.0,in,Summer,2012,2012/2013
Matías Campos Toro,23,Left-Back,U. Católica,0.0,in,Summer,2012,2012/2013
Álex Goikoetxea,29,Centre-Back,Cádiz CF,0.0,in,Summer,2012,2012/2013
Óscar Pérez,30,Central Midfield,Cádiz CF,0.0,in,Summer,2012,2012/2013
