player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Darío Silva,26,Centre-Forward,Cagliari Calcio,500000.0,in,Summer,1999,1999/2000
Roberto Rojas,24,Right-Back,Real Madrid,0.0,in,Summer,1999,1999/2000
Pedro Contreras,27,Goalkeeper,Real Madrid,0.0,in,Summer,1999,1999/2000
Albert Luque,21,Left Winger,RCD Mallorca,0.0,in,Summer,1999,1999/2000
Fernando Sanz,25,Centre-Back,Real Madrid,0.0,in,Summer,1999,1999/2000
Francisco Rufete,22,Right Winger,RCD Mallorca,0.0,in,Summer,1999,1999/2000
Awule Quaye,18,Attacking Midfield,CD Ourense,0.0,in,Summer,1999,1999/2000
Raúl Iznata,21,Left-Back,Málaga B,0.0,in,Summer,1999,1999/2000
Brahim Thiam,25,Centre-Back,AS Red Star 93,0.0,out,Summer,1999,1999/2000
Irurzun,24,Centre-Forward,CA Osasuna,0.0,out,Summer,1999,1999/2000
Quino,28,attack,Recr. Huelva,0.0,out,Summer,1999,1999/2000
Dani,25,Goalkeeper,Almería CF,0.0,out,Summer,1999,1999/2000
Cristian Díaz,23,Centre-Back,Atlético Madrid,0.0,out,Summer,1999,1999/2000
Vladimir Popovic,23,attack,Getafe,0.0,out,Summer,1999,1999/2000
Pablo Guede,24,Centre-Forward,Elche CF,0.0,out,Summer,1999,1999/2000
Rodrigão,27,Defensive Midfield,Manchego CF,0.0,out,Summer,1999,1999/2000
Owusu Afriyie,18,attack,Chaves,0.0,out,Summer,1999,1999/2000
Francisco Rufete,22,Right Winger,RCD Mallorca,0.0,out,Summer,1999,1999/2000
Ariel Zárate,26,Attacking Midfield,Elche CF,0.0,out,Winter,1999,1999/2000
Manuel Canabal,25,Centre-Forward,Real Madrid,2700000.0,in,Summer,2000,2000/2001
Francesc Arnau,25,Goalkeeper,Barcelona,2100000.0,in,Summer,2000,2000/2001
Ivan Leko,22,Attacking Midfield,Hajduk Split,200000.0,in,Summer,2000,2000/2001
Julio Dely Valdés,33,Centre-Forward,Real Oviedo,0.0,in,Summer,2000,2000/2001
Ariel Zárate,26,Attacking Midfield,Elche CF,0.0,in,Summer,2000,2000/2001
Andrés Pato,19,Right-Back,Levante,0.0,in,Summer,2000,2000/2001
Josemi,20,Centre-Back,Málaga B,0.0,in,Summer,2000,2000/2001
Higinio Vilches,18,Left-Back,Málaga U19,0.0,in,Summer,2000,2000/2001
Irurzun,25,Centre-Forward,CA Osasuna,0.0,in,Summer,2000,2000/2001
Owusu Afriyie,19,attack,Chaves,0.0,in,Summer,2000,2000/2001
Catanha,28,Centre-Forward,Celta de Vigo,14420000.0,out,Summer,2000,2000/2001
Javier Sanchez Broto,28,Goalkeeper,Airdrie,0.0,out,Summer,2000,2000/2001
