player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Goyo Fonseca,26,attack,Real Valladolid,1200000.0,in,Summer,1992,1992/1993
Juan José Elgezabal,28,Central Midfield,CD Logroñés,0.0,in,Summer,1992,1992/1993
Santi Cuesta,20,Left-Back,Real Valladolid,0.0,in,Summer,1992,1992/1993
Enrique Ayucar,26,midfield,Real Burgos CF,0.0,in,Summer,1992,1992/1993
Emilio Isierte,28,Goalkeeper,Sporting Gijón,0.0,in,Summer,1992,1992/1993
Antoni Lima,21,Centre-Back,CE L’Hospitalet,0.0,in,Summer,1992,1992/1993
Wolfram Wuttke,30,Second Striker,Saarbrücken,0.0,out,Summer,1992,1992/1993
Antoni Lima,21,Centre-Back,Palamós CF,0.0,out,Summer,1992,1992/1993
Mágico Díaz,24,Central Midfield,CP Mérida,0.0,out,Summer,1992,1992/1993
Carlos Alfaro,27,Left Winger,Palamós CF,0.0,out,Summer,1992,1992/1993
José Luis Gallardo,20,Centre-Back,UE Lleida,0.0,out,Summer,1992,1992/1993
Ezequiel Castillo,25,Central Midfield,CD Tenerife,0.0,out,Summer,1992,1992/1993
Edu Vílchez,24,attack,Palamós CF,0.0,out,Summer,1992,1992/1993
Carlos Meléndez,35,Goalkeeper,Retired,0.0,out,Summer,1992,1992/1993
Pizo Gómez,28,midfield,Atlético Madrid,0.0,out,Summer,1992,1992/1993
Jordi Lardín,19,Left Winger,CE Sabadell,18000.0,in,Winter,1992,1992/1993
Roberto Fresnedoso,20,Central Midfield,CE L’Hospitalet,0.0,in,Winter,1992,1992/1993
Enric Cuxart,25,attack,UD Las Palmas,0.0,out,Winter,1992,1992/1993
Florin Raducioiu,24,Centre-Forward,Milan,2400000.0,in,Summer,1994,1994/1995
Mauricio Pochettino,22,Centre-Back,Newell's,900000.0,in,Summer,1994,1994/1995
Branko Brnovic,26,Defensive Midfield,Partizan,900000.0,in,Summer,1994,1994/1995
Sebastián Herrera,25,Centre-Back,Barcelona B,0.0,in,Summer,1994,1994/1995
Pacheta,26,midfield,CP Mérida,0.0,in,Summer,1994,1994/1995
Jaime Molina,25,Centre-Back,CP Mérida,0.0,in,Summer,1994,1994/1995
José Mari,19,midfield,Espanyol U19,0.0,in,Summer,1994,1994/1995
Igor Korneev,26,Right Winger,Barcelona,0.0,out,Summer,1994,1994/1995
Ángel Luis,24,Right Midfield,RCD Mallorca,0.0,out,Summer,1994,1994/1995
Albert Albesa,29,Centre-Back,Real Valladolid,0.0,out,Summer,1994,1994/1995
Mino,31,defence,RCD Mallorca,0.0,out,Summer,1994,1994/1995
Juan José Elgezabal,30,Central Midfield,Gernika,0.0,out,Summer,1994,1994/1995
Dmitri Galyamin,31,Right-Back,CP Mérida,0.0,out,Summer,1994,1994/1995
Santi Cuesta,22,Left-Back,Real Valladolid,0.0,out,Summer,1994,1994/1995
Luis Cembranos,22,Attacking Midfield,Barcelona B,600000.0,in,Winter,1994,1994/1995
Goyo Fonseca,29,attack,Albacete,0.0,out,Winter,1994,1994/1995
Dmitri Kuznetsov,29,Right Midfield,UE Lleida,0.0,out,Winter,1994,1994/1995
Miguel Ángel Benítez,25,Centre-Forward,Atlético Madrid,1050000.0,in,Summer,1995,1995/1996
Alberto Toril,21,midfield,Real Madrid B,300000.0,in,Summer,1995,1995/1996
