player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Palhinha,29,Attacking Midfield,Cruzeiro,6000000.0,in,Summer,1997,1997/1998
Juan Carlos Valerón,22,Attacking Midfield,UD Las Palmas,2400000.0,in,Summer,1997,1997/1998
Enrique Romero,26,Left-Back,Valencia,0.0,in,Summer,1997,1997/1998
Paco Sanz,24,Right Midfield,Racing,0.0,in,Summer,1997,1997/1998
Óscar Mena,26,Right Midfield,Lanús,0.0,in,Summer,1997,1997/1998
Vicente Engonga,31,Central Midfield,Valencia,0.0,in,Summer,1997,1997/1998
Gabi Moya,31,midfield,Valencia,0.0,in,Summer,1997,1997/1998
Gaby Amato,26,Centre-Forward,Hércules CF,0.0,in,Summer,1997,1997/1998
Iván Campo,23,Defensive Midfield,Valencia,0.0,in,Summer,1997,1997/1998
Josemi,21,attack,RCD Mallorca,0.0,in,Summer,1997,1997/1998
Constantin Galca,25,Defensive Midfield,Espanyol,100000.0,out,Summer,1997,1997/1998
Francisco Copado,23,Second Striker,TeBe Berlin,0.0,out,Summer,1997,1997/1998
David Castedo,23,Left-Back,Hércules CF,0.0,out,Summer,1997,1997/1998
Baba Sule,18,midfield,CD Ourense,0.0,out,Summer,1997,1997/1998
Raúl Pareja,22,Centre-Back,Real Madrid B,0.0,out,Summer,1997,1997/1998
Tito Vilanova,28,midfield,UE Lleida,0.0,out,Summer,1997,1997/1998
Emmanuel Duah,20,Left Winger,Leiria,0.0,out,Summer,1997,1997/1998
Ernesto Valverde,33,Centre-Forward,Retired,0.0,out,Summer,1997,1997/1998
Luis López Rekarte,35,Right-Back,Retired,0.0,out,Summer,1997,1997/1998
Iván Rocha,29,Left-Back,Atlético Madrid,0.0,out,Summer,1997,1997/1998
Juan Antonio Santaella,23,Second Striker,Sevilla B,0.0,out,Summer,1997,1997/1998
José Manuel,23,Right Midfield,Sporting Gijón,0.0,out,Summer,1997,1997/1998
Carlitos,20,Centre-Forward,Sevilla FC,0.0,out,Summer,1997,1997/1998
Carlos Roa,28,Goalkeeper,Lanús,0.0,in,Winter,1997,1997/1998
Michael Obiku,29,Centre-Forward,Avispa Fukuoka,0.0,in,Winter,1997,1997/1998
Santiago Ezquerro,21,Centre-Forward,Atlético Madrid,0.0,in,Winter,1997,1997/1998
