player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Dmitri Radchenko,22,Centre-Forward,Spartak Moscow,1200000.0,in,Summer,1993,1993/1994
Dmitriy Popov,26,Right-Back,Spartak Moscow,300000.0,in,Summer,1993,1993/1994
Pablo Alfaro,24,Centre-Back,Barcelona,0.0,in,Summer,1993,1993/1994
Quique Setién,34,Central Midfield,CD Logroñés,0.0,in,Summer,1993,1993/1994
David Billabona,23,Central Midfield,Athletic,0.0,in,Summer,1993,1993/1994
Michel Pineda,29,Centre-Forward,SC Toulon 83,0.0,in,Summer,1993,1993/1994
Toño Torrecilla,29,Right-Back,CD Tenerife,0.0,in,Summer,1993,1993/1994
Óscar Engonga,24,midfield,CD Toledo,0.0,in,Summer,1993,1993/1994
Juan Endrino,27,defence,AEC Manlleu,0.0,in,Summer,1993,1993/1994
Marcel Sabou,27,midfield,Sporting Gijón,0.0,out,Summer,1993,1993/1994
Ivica Barbaric,31,midfield,Badajoz,0.0,out,Summer,1993,1993/1994
Julián Romero,24,attack,Getafe,0.0,out,Summer,1993,1993/1994
Tuto Sañudo,37,Centre-Back,Retired,0.0,out,Summer,1993,1993/1994
Benito,30,attack,Retired,0.0,out,Summer,1993,1993/1994
Pepe Aguilar,23,Left Midfield,Racing Ferrol,0.0,out,Winter,1993,1993/1994
Thomas Christiansen,21,Centre-Forward,Barcelona B,0.0,in,Summer,1994,1994/1995
Pepe Aguilar,23,Left Midfield,Racing Ferrol,0.0,in,Summer,1994,1994/1995
Alfredo Grelak,23,defence,Quilmes,0.0,in,Summer,1994,1994/1995
Iñaki Bollain,19,Right-Back,Gimnástica,0.0,in,Summer,1994,1994/1995
Lluís Carreras,21,Left-Back,Barcelona,0.0,in,Summer,1994,1994/1995
Pepe Aguilar,23,Left Midfield,Cacereño,0.0,out,Summer,1994,1994/1995
Michel Pineda,30,Centre-Forward,UE Lleida,0.0,out,Summer,1994,1994/1995
Óscar Engonga,25,midfield,UE Figueres,0.0,out,Summer,1994,1994/1995
Juan Endrino,28,defence,Sant Andreu,0.0,out,Summer,1994,1994/1995
Gelucho,32,Left-Back,Retired,0.0,out,Summer,1994,1994/1995
Alfredo Grelak,24,defence,Gimnàstic,0.0,out,Winter,1994,1994/1995
Ilshat Faizulin,22,Centre-Forward,CSKA Moscow,840000.0,in,Summer,1995,1995/1996
Pablo Sierra,16,attack,Cult. Guarnizo,0.0,in,Summer,1995,1995/1996
Gontzal Suances,22,attack,Athletic,0.0,in,Summer,1995,1995/1996
Alberto,28,Centre-Forward,Real Valladolid,0.0,in,Summer,1995,1995/1996
Txema,24,Centre-Back,UE Lleida,0.0,in,Summer,1995,1995/1996
José Manuel Ochotorena,34,Goalkeeper,CD Logroñés,0.0,in,Summer,1995,1995/1996
Álvaro Cervera,29,attack,Valencia,0.0,in,Summer,1995,1995/1996
Alfredo Grelak,24,defence,Gimnàstic,0.0,in,Summer,1995,1995/1996
Dmitri Radchenko,24,Centre-Forward,Dep. La Coruña,2280000.0,out,Summer,1995,1995/1996
Quique Setién,36,Central Midfield,Levante,0.0,out,Summer,1995,1995/1996
Alfredo Grelak,24,defence,Union Española,0.0,out,Summer,1995,1995/1996
Chili,27,attack,UD Las Palmas,0.0,out,Summer,1995,1995/1996
Lluís Carreras,22,Left-Back,Barcelona,0.0,out,Summer,1995,1995/1996
Thomas Christiansen,22,Centre-Forward,Barcelona B,0.0,out,Summer,1995,1995/1996
Vladimir Beschastnykh,22,Centre-Forward,Werder Bremen,2000000.0,in,Summer,1996,1996/1997
Fernando Correa,22,Centre-Forward,Atlético Madrid,0.0,in,Summer,1996,1996/1997
Paco Sanz,23,Right Midfield,Real Oviedo,0.0,in,Summer,1996,1996/1997
Fernando Marcos,27,Goalkeeper,Albacete,0.0,in,Summer,1996,1996/1997
José Luis Zalazar,32,Attacking Midfield,Albacete,0.0,in,Summer,1996,1996/1997
Javi López,22,Left-Back,CD Leganés,0.0,in,Summer,1996,1996/1997
Javi Sánchez Jara,26,Right-Back,Real Betis,0.0,in,Summer,1996,1996/1997
Gabriel Schürrer,24,Centre-Back,Lanús,0.0,in,Summer,1996,1996/1997
Sergey Shustikov,25,Defensive Midfield,Торпедо-Лужники,0.0,in,Summer,1996,1996/1997
Fernando Morán,20,Right Midfield,Real Madrid B,0.0,in,Summer,1996,1996/1997
Diego López,21,Centre-Back,River Plate,0.0,in,Summer,1996,1996/1997
Óscar Arpón,21,Central Midfield,Real Betis,0.0,in,Summer,1996,1996/1997
Jaime,23,Defensive Midfield,Real Madrid,0.0,in,Summer,1996,1996/1997
Mario Bermejo,17,Second Striker,Racing B,0.0,in,Summer,1996,1996/1997
Dmitri Ulyanov,25,Attacking Midfield,CSKA Moscow,0.0,in,Summer,1996,1996/1997
Luis Fernández,23,Left-Back,Real Betis,1320000.0,out,Summer,1996,1996/1997
Pablo Alfaro,27,Centre-Back,Atlético Madrid,0.0,out,Summer,1996,1996/1997
Tomás González,33,midfield,Marino Luanco,0.0,out,Summer,1996,1996/1997
Mutiu Adepoju,25,Central Midfield,Real Sociedad,0.0,out,Summer,1996,1996/1997
Dmitriy Popov,29,Right-Back,SD Compostela,0.0,out,Summer,1996,1996/1997
Gontzal Suances,23,attack,CD Toledo,0.0,out,Summer,1996,1996/1997
Andrey Zygmantovich,33,Central Midfield,Retired,0.0,out,Summer,1996,1996/1997
Dejan Petkovic,24,Attacking Midfield,Real Madrid,1000000.0,in,Winter,1996,1996/1997
Sergey Shustikov,26,Defensive Midfield,CSKA Moscow,0.0,out,Winter,1996,1996/1997
Dmitri Ulyanov,26,Attacking Midfield,CSKA Moscow,0.0,out,Winter,1996,1996/1997
Washington Tais,24,Right-Back,Peñarol,1080000.0,in,Summer,1997,1997/1998
Nelson Abeijón,23,Defensive Midfield,Nacional,720000.0,in,Summer,1997,1997/1998
Sietes,23,Left-Back,Valencia,0.0,in,Summer,1997,1997/1998
Porfírio,23,Centre-Forward,Sporting CP,0.0,in,Summer,1997,1997/1998
Txefe Guerrero,21,Defensive Midfield,Bilbao Athletic,0.0,in,Summer,1997,1997/1998
Nando Có,23,attack,Vitória Setúbal,0.0,in,Summer,1997,1997/1998
Nacho Conte,28,midfield,CD Tenerife,0.0,in,Summer,1997,1997/1998
Ismael Ruiz,20,Central Midfield,Racing B,0.0,in,Summer,1997,1997/1998
Gontzal Suances,24,attack,CD Toledo,0.0,in,Summer,1997,1997/1998
Mario Bermejo,18,Second Striker,Athletic,240000.0,out,Summer,1997,1997/1998
Dejan Petkovic,24,Attacking Midfield,EC Vitória,0.0,out,Summer,1997,1997/1998
José Luis Zalazar,33,Attacking Midfield,Nacional,0.0,out,Summer,1997,1997/1998
Toño Torrecilla,33,Right-Back,Zamora CF,0.0,out,Summer,1997,1997/1998
Fernando Morán,21,Right Midfield,CD Numancia,0.0,out,Summer,1997,1997/1998
Paco Sanz,24,Right Midfield,RCD Mallorca,0.0,out,Summer,1997,1997/1998
José Manuel Ochotorena,36,Goalkeeper,CD Logroñés,0.0,out,Summer,1997,1997/1998
Álvaro Cervera,31,attack,Hércules CF,0.0,out,Summer,1997,1997/1998
Pedro Munitis,22,Second Striker,Badajoz,0.0,out,Summer,1997,1997/1998
Esteban Torre,25,midfield,CD Logroñés,0.0,out,Summer,1997,1997/1998
Ilshat Faizulin,24,Centre-Forward,Villarreal,0.0,out,Summer,1997,1997/1998
Óscar Arpón,22,Central Midfield,Real Betis,0.0,out,Summer,1997,1997/1998
Jaime,24,Defensive Midfield,Real Madrid,0.0,out,Summer,1997,1997/1998
Iñaki Bollain,23,Right-Back,Levante,0.0,out,Winter,1997,1997/1998
Nando Có,24,attack,CD Numancia,0.0,out,Winter,1997,1997/1998
Víctor Sánchez,22,Right Winger,Real Madrid,2400000.0,in,Summer,1998,1998/1999
José Amavisca,27,Left Midfield,Real Madrid,2000000.0,in,Summer,1998,1998/1999
Federico Magallanes,22,Centre-Forward,Real Madrid,1000000.0,in,Summer,1998,1998/1999
Salva Ballesta,23,Centre-Forward,Sevilla FC,692000.0,in,Summer,1998,1998/1999
Léider Preciado,21,Centre-Forward,Indep. Santa Fe,0.0,in,Summer,1998,1998/1999
Ángel Vivar Dorado,24,Attacking Midfield,CD Tenerife,0.0,in,Summer,1998,1998/1999
Olof Mellberg,20,Centre-Back,AIK,0.0,in,Summer,1998,1998/1999
Claudio Arzeno,27,defence,Independiente,0.0,in,Summer,1998,1998/1999
Neru,24,Left-Back,Racing B,0.0,in,Summer,1998,1998/1999
Gonzalo Colsa,19,Defensive Midfield,Racing B,0.0,in,Summer,1998,1998/1999
Sergey Shustikov,27,Defensive Midfield,CSKA Moscow,0.0,in,Summer,1998,1998/1999
Pedro Munitis,23,Second Striker,Badajoz,0.0,in,Summer,1998,1998/1999
Esteban Torre,26,midfield,CD Logroñés,0.0,in,Summer,1998,1998/1999
Ilshat Faizulin,25,Centre-Forward,Villarreal,0.0,in,Summer,1998,1998/1999
Gabriel Schürrer,26,Centre-Back,Dep. La Coruña,4000000.0,out,Summer,1998,1998/1999
Nelson Abeijón,24,Defensive Midfield,Cagliari Calcio,0.0,out,Summer,1998,1998/1999
Nacho Conte,29,midfield,Hércules CF,0.0,out,Summer,1998,1998/1999
Alberto,31,Centre-Forward,Real Valladolid,0.0,out,Summer,1998,1998/1999
Txefe Guerrero,22,Defensive Midfield,Real Sociedad,0.0,out,Summer,1998,1998/1999
Javi López,24,Left-Back,Dep. La Coruña,0.0,out,Summer,1998,1998/1999
Gontzal Suances,25,attack,CD Ourense,0.0,out,Summer,1998,1998/1999
Porfírio,24,Centre-Forward,Benfica,0.0,out,Summer,1998,1998/1999
Diego López,23,Centre-Back,Cagliari Calcio,0.0,out,Summer,1998,1998/1999
Ilshat Faizulin,25,Centre-Forward,Alverca,0.0,out,Summer,1998,1998/1999
Fernando Correa,24,Centre-Forward,Atlético Madrid,0.0,out,Summer,1998,1998/1999
Frode Grodas,34,Goalkeeper,FC Schalke 04,0.0,in,Winter,1998,1998/1999
Esteban Torre,27,midfield,CD Toledo,0.0,out,Winter,1998,1998/1999
Gonzalo Colsa,19,Defensive Midfield,CD Logroñés,0.0,out,Winter,1998,1998/1999
Sigurd Rushfeldt,26,Centre-Forward,Rosenborg,5000000.0,in,Summer,1999,1999/2000
Fernando Morán,23,Right Midfield,CD Ourense,0.0,in,Summer,1999,1999/2000
Erwin Lemmens,23,Goalkeeper,KSK Beveren,0.0,in,Summer,1999,1999/2000
Javier Manjarín,29,Second Striker,Dep. La Coruña,0.0,in,Summer,1999,1999/2000
Marcelo Espina,32,Attacking Midfield,Colo Colo,0.0,in,Summer,1999,1999/2000
Gonzalo Colsa,20,Defensive Midfield,CD Logroñés,0.0,in,Summer,1999,1999/2000
Ilshat Faizulin,26,Centre-Forward,Alverca,0.0,in,Summer,1999,1999/2000
Víctor Sánchez,23,Right Winger,Dep. La Coruña,7600000.0,out,Summer,1999,1999/2000
Ilshat Faizulin,26,Centre-Forward,Farense,0.0,out,Summer,1999,1999/2000
