player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Toni Polster,28,Centre-Forward,CD Logroñés,1200000.0,in,Summer,1992,1992/1993
Paco Jémez,22,Centre-Back,Real Murcia,0.0,in,Summer,1992,1992/1993
Manuel Momparlet,25,Centre-Back,Atl. Marbella,0.0,in,Summer,1992,1992/1993
Javi García,22,attack,Barcelona B,0.0,in,Summer,1992,1992/1993
Toni Jiménez,21,Goalkeeper,Barcelona C,0.0,in,Summer,1992,1992/1993
Josip Visnjic,25,Defensive Midfield,CP Mérida,0.0,in,Summer,1992,1992/1993
Pablo Gómez,22,Central Midfield,UE Lleida,0.0,in,Summer,1992,1992/1993
Pizo Gómez,28,midfield,Atlético Madrid,0.0,in,Summer,1992,1992/1993
Manuel Carou,23,Goalkeeper,Rayo B,0.0,in,Summer,1992,1992/1993
Roberto Martín,20,attack,Valdepeñas,0.0,out,Summer,1992,1992/1993
Imanol Ibarrondo,25,defence,Sestao Sport,0.0,out,Summer,1992,1992/1993
Miguel Ortiz,23,midfield,Cartagonova,0.0,out,Summer,1992,1992/1993
Ángel Férez,26,Goalkeeper,CP Mérida,0.0,out,Summer,1992,1992/1993
Hernán Medford,24,Centre-Forward,Foggia,0.0,out,Summer,1992,1992/1993
Ángel Sánchez Candil,29,midfield,Retired,0.0,out,Summer,1992,1992/1993
Rafael García Cortés,34,Left-Back,Retired,0.0,out,Summer,1992,1992/1993
Ricardo Gallego,33,Defensive Midfield,Retired,0.0,out,Summer,1992,1992/1993
Andoni Ayarza,27,defence,Athletic,0.0,in,Winter,1992,1992/1993
Juan Ramón Comas,30,attack,Atl. Marbella,0.0,out,Winter,1992,1992/1993
Miguel Melgar,20,midfield,Valdepeñas,0.0,out,Winter,1992,1992/1993
Ismael Urzaiz,21,Centre-Forward,Real Madrid,0.0,in,Summer,1993,1993/1994
Luis Delgado,27,midfield,RCD Mallorca,0.0,in,Summer,1993,1993/1994
Julián Palacios,22,Left-Back,Talavera CF,0.0,in,Summer,1993,1993/1994
Eduardo Rodríguez,27,attack,Hércules CF,0.0,in,Summer,1993,1993/1994
Armando Tejera,25,Centre-Back,Albacete,0.0,in,Summer,1993,1993/1994
Onésimo,24,Right Winger,Real Valladolid,0.0,in,Summer,1993,1993/1994
Ángel Luis Alcázar,26,Centre-Back,Sporting Gijón,0.0,in,Summer,1993,1993/1994
Antonio Orejuela,32,midfield,Atlético Madrid,0.0,in,Summer,1993,1993/1994
Hugo Sánchez,34,Centre-Forward,América,0.0,in,Summer,1993,1993/1994
Álex García,23,Centre-Back,Barcelona B,0.0,in,Summer,1993,1993/1994
Míchel,17,Attacking Midfield,Rayo B,0.0,in,Summer,1993,1993/1994
Miguel Ángel España,20,Goalkeeper,Rayo B,0.0,in,Summer,1993,1993/1994
Pedro Riesco,23,attack,Dep. La Coruña,600000.0,out,Summer,1993,1993/1994
Toni Polster,29,Centre-Forward,1. FC Köln,0.0,out,Summer,1993,1993/1994
Javi García,23,attack,UE Lleida,0.0,out,Summer,1993,1993/1994
Toni Jiménez,22,Goalkeeper,Espanyol,0.0,out,Summer,1993,1993/1994
Prudencio Sáez,26,attack,CP Mérida,0.0,out,Summer,1993,1993/1994
Paco Jémez,23,Centre-Back,Dep. La Coruña,0.0,out,Summer,1993,1993/1994
Marcelo Rocha,24,attack,Retired,0.0,out,Summer,1993,1993/1994
Pizo Gómez,29,midfield,Atlético Madrid,0.0,out,Summer,1993,1993/1994
Armando Tejera,26,Centre-Back,Granada CF,0.0,out,Winter,1993,1993/1994
Guilherme Alves,21,Centre-Forward,São Paulo,1200000.0,in,Summer,1995,1995/1996
Abel Resino,35,Goalkeeper,Atlético Madrid,0.0,in,Summer,1995,1995/1996
Ángel Martín,31,Defensive Midfield,CA Osasuna,0.0,in,Summer,1995,1995/1996
Stjepan Andrijasevic,28,Right Midfield,Hajduk Split,0.0,in,Summer,1995,1995/1996
Manuel Ruano,20,Right Midfield,Atlético Madrid,0.0,in,Summer,1995,1995/1996
Toro Aquino,30,Centre-Forward,Real Betis,0.0,in,Summer,1995,1995/1996
Alfonso Cortijo,28,defence,Sevilla FC,0.0,in,Summer,1995,1995/1996
Ezequiel Castillo,28,Central Midfield,CD Tenerife,0.0,in,Summer,1995,1995/1996
