player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Wojciech Kowalczyk,22,Centre-Forward,Legia Warszawa,1250000.0,in,Summer,1994,1994/1995
Risto Vidakovic,25,Centre-Back,Red Star,612000.0,in,Summer,1994,1994/1995
Jaime Quesada,22,Right-Back,UE Lleida,480000.0,in,Summer,1994,1994/1995
Josete,24,defence,Rayo Vallecano,270000.0,in,Summer,1994,1994/1995
Vlada Stosic,29,midfield,RCD Mallorca,0.0,in,Summer,1994,1994/1995
José Menéndez,30,midfield,Albacete,0.0,in,Summer,1994,1994/1995
Juan Sabas,27,Centre-Forward,Atlético Madrid,0.0,in,Summer,1994,1994/1995
Mágico Díaz,26,Central Midfield,Palamós CF,0.0,out,Summer,1994,1994/1995
Juanlu Bernal,21,Centre-Back,CF Extremadura,0.0,out,Summer,1994,1994/1995
Luis Merino,25,midfield,Atl. Marbella,0.0,out,Summer,1994,1994/1995
Juanito,24,Right Winger,Racing Ferrol,0.0,out,Summer,1994,1994/1995
Txirri,29,Centre-Back,Elche CF,0.0,out,Summer,1994,1994/1995
José Luis Martínez,22,Goalkeeper,Almería CF,0.0,out,Summer,1994,1994/1995
Miguel Ángel,32,defence,Manchego CF,0.0,out,Summer,1994,1994/1995
Juan Ramón Comas,31,attack,Argentinos Jrs.,0.0,out,Summer,1994,1994/1995
Johnny Ekström,29,Centre-Forward,Reggiana,0.0,out,Summer,1994,1994/1995
Tab Ramos,28,Central Midfield,MLS Pool,0.0,out,Winter,1994,1994/1995
Antonio Monreal,25,Centre-Back,CP Mérida,0.0,out,Winter,1994,1994/1995
Andrés Gonzales,26,Centre-Forward,Sport Boys,0.0,out,Winter,1994,1994/1995
Alfonso,22,Centre-Forward,Real Madrid,3600000.0,in,Summer,1995,1995/1996
Pier,23,Centre-Forward,Sporting Gijón,3000000.0,in,Summer,1995,1995/1996
Robert Jarni,26,Left-Back,Juventus,1440000.0,in,Summer,1995,1995/1996
