player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Míchel,27,Attacking Midfield,Rayo Vallecano,2700000.0,in,Summer,2003,2003/2004
Daniel Jensen,24,Central Midfield,Heerenveen,0.0,in,Summer,2003,2003/2004
Federico Azcárate,19,Centre-Back,Cartagonova,0.0,in,Summer,2003,2003/2004
Luis García,22,Central Midfield,Real Madrid B,0.0,in,Summer,2003,2003/2004
Julio Álvarez,22,Attacking Midfield,Real Madrid B,0.0,in,Summer,2003,2003/2004
Juan Esnáider,30,Centre-Forward,AC Ajaccio,0.0,in,Summer,2003,2003/2004
Javier Sanchez Broto,31,Goalkeeper,Livingston FC,0.0,in,Summer,2003,2003/2004
Javier Delgado,23,Centre-Back,Cartagonova,0.0,in,Summer,2003,2003/2004
Lluís Carreras,30,Left-Back,Atlético Madrid,0.0,in,Summer,2003,2003/2004
Juanmi,32,Goalkeeper,Dep. La Coruña,0.0,in,Summer,2003,2003/2004
Roberto Fresnedoso,30,Central Midfield,Atlético Madrid,0.0,in,Summer,2003,2003/2004
Fredi,29,Left Midfield,Sevilla FC,0.0,in,Summer,2003,2003/2004
Gabriel Loeschbor,26,Centre-Back,Stade Rennais,0.0,in,Summer,2003,2003/2004
Sebas,19,Left-Back,Murcia Imperial,0.0,in,Summer,2003,2003/2004
Ismael López,25,Left Midfield,Real Betis,1500000.0,out,Summer,2003,2003/2004
Raúl Torres,25,Centre-Back,Jerez CF,0.0,out,Summer,2003,2003/2004
Jaime Ramos,30,Centre-Back,UD Almería,0.0,out,Summer,2003,2003/2004
Xavi Valero,30,Goalkeeper,Córdoba CF,0.0,out,Summer,2003,2003/2004
Andreas Reinke,34,Goalkeeper,Werder Bremen,0.0,out,Summer,2003,2003/2004
José Luis Loreto,32,Centre-Forward,Cartagonova,0.0,out,Summer,2003,2003/2004
Mikel Lasa,31,Left-Back,Ciudad Murcia,0.0,out,Summer,2003,2003/2004
José Antonio Gómez,23,midfield,Cartagonova,0.0,out,Summer,2003,2003/2004
