player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Alberto López,23,Goalkeeper,Real Sociedad B,0.0,in,Summer,1992,1992/1993
Iñigo Idiakez,18,Attacking Midfield,R. Sociedad U19,0.0,in,Summer,1992,1992/1993
José González,27,Goalkeeper,Valencia,0.0,out,Summer,1992,1992/1993
Bixente Biurrun,33,Goalkeeper,Espanyol,0.0,in,Summer,1993,1993/1994
Loren,26,Centre-Back,Real Burgos CF,0.0,in,Summer,1993,1993/1994
Alberto Albistegui,28,Centre-Back,Dep. La Coruña,0.0,in,Summer,1993,1993/1994
Agustín Aranzabal,20,Left-Back,R. Sociedad U19,0.0,in,Summer,1993,1993/1994
Javi de Pedro,19,Left Midfield,R. Sociedad U19,0.0,in,Summer,1993,1993/1994
Mikel Loinaz,26,attack,Villarreal,0.0,out,Summer,1993,1993/1994
Patxi,25,Goalkeeper,Girona,0.0,out,Summer,1993,1993/1994
Carlos Martínez,26,midfield,UD Las Palmas,0.0,out,Winter,1993,1993/1994
Javier Yubero,21,Goalkeeper,Real Betis,0.0,out,Winter,1993,1993/1994
Gica Craioveanu,26,Centre-Forward,U. Craiova,1000000.0,in,Summer,1994,1994/1995
Valeriy Karpin,25,Right Midfield,Spartak Moscow,750000.0,in,Summer,1994,1994/1995
Luis García,25,attack,Atlético Madrid,0.0,in,Summer,1994,1994/1995
Bittor Alkiza,23,Left Midfield,Athletic,1300000.0,out,Summer,1994,1994/1995
Oceano Cruz,31,Defensive Midfield,Sporting CP,0.0,out,Summer,1994,1994/1995
Carlos Xavier,32,Defensive Midfield,Sporting CP,0.0,out,Summer,1994,1994/1995
José Luis Agirre,28,midfield,Badajoz,0.0,out,Summer,1994,1994/1995
Jon Andoni Larrañaga,35,Sweeper,Retired,0.0,out,Summer,1994,1994/1995
Joseba Etxeberria,17,Right Winger,Real Sociedad B,0.0,in,Winter,1994,1994/1995
Javi Gracia,25,Defensive Midfield,Real Valladolid,480000.0,in,Summer,1995,1995/1996
