player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Nelson Zelaya,28,Centre-Back,Olimpia,400000.0,in,Summer,2002,2002/2003
Diego Camacho,25,Defensive Midfield,Granada CF,0.0,in,Summer,2002,2002/2003
Dani Güiza,21,Centre-Forward,RCD Mallorca B,0.0,in,Summer,2002,2002/2003
Emilio Viqueira,27,Central Midfield,Xerez CD,0.0,in,Summer,2002,2002/2003
Xisco Muñoz,21,Second Striker,Valencia B,0.0,in,Summer,2002,2002/2003
Yago Yao,22,Centre-Back,Celta de Vigo,0.0,in,Summer,2002,2002/2003
Manuel Almunia,25,Goalkeeper,Celta de Vigo,50000.0,in,Summer,2002,2002/2003
David Gallego,30,midfield,Córdoba CF,0.0,in,Summer,2002,2002/2003
Sergio Tejero,23,Left-Back,Sevilla B,0.0,in,Summer,2002,2002/2003
Álex Pereira,25,defence,Unknown,0.0,in,Summer,2002,2002/2003
Mario Bermejo,23,Second Striker,Athletic,0.0,in,Summer,2002,2002/2003
Moreno,22,attack,UD Almería,0.0,in,Summer,2002,2002/2003
David Cubillo,24,Defensive Midfield,Xerez CD,0.0,in,Summer,2002,2002/2003
Óscar Arpón,27,Central Midfield,Poli Ejido,0.0,in,Summer,2002,2002/2003
Iker Begoña,25,Defensive Midfield,Alicante CF,0.0,in,Summer,2002,2002/2003
Fernando Soriano,22,Attacking Midfield,Real Zaragoza,70000.0,out,Summer,2002,2002/2003
Mariano Hoyas,31,Right-Back,Cartagonova,0.0,out,Summer,2002,2002/2003
Ignacio García,28,Left-Back,Cartagonova,0.0,out,Summer,2002,2002/2003
Juan José Bautista,24,attack,Atlético Ceuta,0.0,out,Summer,2002,2002/2003
David Fernández,30,attack,Getafe,0.0,out,Summer,2002,2002/2003
Joaquín Bornes,27,Centre-Back,Elche CF,0.0,out,Summer,2002,2002/2003
Caco Morán,29,midfield,Real Jaén CF,0.0,out,Summer,2002,2002/2003
Emmanuel Dorado,29,Centre-Back,UD Almería,0.0,out,Summer,2002,2002/2003
Óscar Arias,36,midfield,Retired,0.0,out,Summer,2002,2002/2003
Juan Epitié,25,Centre-Forward,Depor. Alavés B,0.0,out,Summer,2002,2002/2003
Joãozinho,22,Centre-Forward,Cruzeiro,0.0,in,Winter,2002,2002/2003
José Gallego,32,midfield,CD Numancia,0.0,out,Winter,2002,2002/2003
Dani Güiza,22,Centre-Forward,Barcelona B,0.0,out,Winter,2002,2002/2003
Pedro Baquero,22,Centre-Back,Gimnàstic,0.0,out,Winter,2002,2002/2003
Sergio Tejero,23,Left-Back,SD Eibar,0.0,out,Winter,2002,2002/2003
Yago Yao,23,Centre-Back,Celta de Vigo,0.0,out,Winter,2002,2002/2003
Santi Cazorla,21,Central Midfield,Villarreal,400000.0,in,Summer,2006,2006/2007
Florent Sinama-Pongolle,21,Second Striker,Liverpool,125000.0,in,Summer,2006,2006/2007
Mario Abrante,24,Centre-Back,Real Valladolid,0.0,in,Summer,2006,2006/2007
Edu Moya,25,Right-Back,CD Tenerife,0.0,in,Summer,2006,2006/2007
Poli,29,Left-Back,Alavés,0.0,in,Summer,2006,2006/2007
Juanma,25,Right Winger,Levante,0.0,in,Summer,2006,2006/2007
Pablo Amo,28,Centre-Back,Dep. La Coruña,0.0,in,Summer,2006,2006/2007
Javi Guerrero,29,Centre-Forward,Celta de Vigo,0.0,in,Summer,2006,2006/2007
Bertrand Laquait,29,Goalkeeper,RSC Charleroi,0.0,in,Summer,2006,2006/2007
Iago Bouzón,23,Centre-Back,Celta de Vigo,0.0,in,Summer,2006,2006/2007
Jesús Vázquez,26,Central Midfield,CD Tenerife,0.0,in,Summer,2006,2006/2007
Beto,30,Centre-Back,G. Bordeaux,0.0,in,Summer,2006,2006/2007
César Arzo,20,Centre-Back,Villarreal,0.0,in,Summer,2006,2006/2007
Javier López Vallejo,30,Goalkeeper,Villarreal,0.0,in,Summer,2006,2006/2007
Joselito,21,Attacking Midfield,Racing Ferrol,0.0,in,Summer,2006,2006/2007
Chuchú,25,Centre-Back,Algeciras CF,0.0,in,Summer,2006,2006/2007
Chuchú,25,Centre-Back,Ayamonte CF,0.0,out,Summer,2006,2006/2007
Pablo Coira,26,Right-Back,Aris Saloniki,0.0,out,Summer,2006,2006/2007
Iker Begoña,29,Defensive Midfield,Lorca Deportiva,0.0,out,Summer,2006,2006/2007
José Ignacio Benítez,26,Left Midfield,Hércules CF,0.0,out,Summer,2006,2006/2007
Xavi Jiménez,27,Central Midfield,Ciudad Murcia,0.0,out,Summer,2006,2006/2007
Joselito,21,Attacking Midfield,Real Jaén CF,0.0,out,Summer,2006,2006/2007
Antonio Calle,27,Centre-Forward,Albacete,0.0,out,Summer,2006,2006/2007
Pedro Baquero,25,Centre-Back,Rayo Vallecano,0.0,out,Summer,2006,2006/2007
Ramón González,31,Centre-Back,Real Murcia,0.0,out,Summer,2006,2006/2007
Xavi Valero,33,Goalkeeper,Gramenet,0.0,out,Summer,2006,2006/2007
Gastón Casas,28,Centre-Forward,Elche CF,0.0,out,Summer,2006,2006/2007
Jesús Galván,31,Right-Back,UE Lleida,0.0,out,Summer,2006,2006/2007
José Mateo,31,Centre-Back,Alavés,0.0,out,Summer,2006,2006/2007
Iago Bouzón,23,Centre-Back,Celta de Vigo,0.0,out,Summer,2006,2006/2007
Toño,26,Goalkeeper,Racing,0.0,out,Summer,2006,2006/2007
Antonio Valencia,20,Right-Back,Villarreal,0.0,out,Summer,2006,2006/2007
Juvenal Edjogo,27,Central Midfield,CD Tenerife,0.0,out,Winter,2006,2006/2007
Jose Antonio Luque Ramirez,33,Goalkeeper,Écija Balompié,0.0,out,Winter,2006,2006/2007
Florent Sinama-Pongolle,22,Second Striker,Liverpool,4000000.0,in,Summer,2007,2007/2008
Carlos Martins,25,Attacking Midfield,Sporting CP,2200000.0,in,Summer,2007,2007/2008
Ersen Martin,28,Centre-Forward,Trabzonspor,1100000.0,in,Summer,2007,2007/2008
Beto,31,Centre-Back,G. Bordeaux,750000.0,in,Summer,2007,2007/2008
