player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Dani Nieto,23,Left Winger,Barcelona B,150000.0,in,Summer,2014,2014/2015
Borja Ekiza,26,Centre-Back,Athletic,0.0,in,Summer,2014,2014/2015
Jaime Jiménez,33,Goalkeeper,Real Valladolid,0.0,in,Summer,2014,2014/2015
Derek Boateng,31,Defensive Midfield,Rayo Vallecano,0.0,in,Summer,2014,2014/2015
Ander Franco,25,Centre-Forward,Haro Deportivo,0.0,in,Summer,2014,2014/2015
Ángel Rodríguez,27,Centre-Forward,Levante,0.0,in,Summer,2014,2014/2015
Dejan Lekic,29,Centre-Forward,Genclerbirligi,0.0,in,Summer,2014,2014/2015
Saúl Berjón,28,Left Winger,Real Murcia,0.0,in,Summer,2014,2014/2015
Josu Ozkoidi,24,Left-Back,Real Sociedad B,0.0,in,Summer,2014,2014/2015
Dani García,24,Central Midfield,Real Sociedad B,0.0,in,Summer,2014,2014/2015
Raúl Navas,26,Centre-Back,Real Sociedad,0.0,in,Summer,2014,2014/2015
Javi Lara,28,Attacking Midfield,Ponferradina,12000.0,in,Summer,2014,2014/2015
Aitor Ortega,21,Attacking Midfield,Arenas Club,0.0,in,Summer,2014,2014/2015
Federico Piovaccari,29,Centre-Forward,Sampdoria,0.0,in,Summer,2014,2014/2015
Manu del Moral,30,Centre-Forward,Sevilla FC,0.0,in,Summer,2014,2014/2015
Abraham Minero,28,Left-Back,Real Zaragoza,0.0,in,Summer,2014,2014/2015
Dídac Vilà,25,Left-Back,AC Milan,0.0,in,Summer,2014,2014/2015
Julen Iriarte,22,Centre-Forward,UD Logroñés,0.0,in,Summer,2014,2014/2015
Iñaki Olaortua,20,Centre-Back,Zamudio SD,0.0,in,Summer,2014,2014/2015
Urko Vera,27,Centre-Forward,CD Mirandés,0.0,out,Summer,2014,2014/2015
Matías Ibáñez,27,Goalkeeper,Lanús,0.0,out,Summer,2014,2014/2015
David Mainz,29,Centre-Forward,AE Larisa,0.0,out,Summer,2014,2014/2015
Diego Jiménez,35,Central Midfield,Olímpic Xàtiva,0.0,out,Summer,2014,2014/2015
Diego Rivas,34,Central Midfield,Llagostera,0.0,out,Summer,2014,2014/2015
Gorka Kijera,28,Left-Back,CD Mirandés,0.0,out,Summer,2014,2014/2015
Raúl Navas,26,Centre-Back,Real Sociedad,0.0,out,Summer,2014,2014/2015
Josu Ozkoidi,24,Left-Back,Real Unión,0.0,out,Summer,2014,2014/2015
Iñaki Olaortua,20,Centre-Back,Portugalete,0.0,out,Summer,2014,2014/2015
Aitor Ortega,22,Attacking Midfield,SD Amorebieta,0.0,out,Summer,2014,2014/2015
Aitor Arregi,24,Centre-Back,Cádiz CF,0.0,out,Summer,2014,2014/2015
Julen Iriarte,22,Centre-Forward,RCD Mallorca B,0.0,out,Summer,2014,2014/2015
Ander Franco,25,Centre-Forward,CD Lagun Onak,0.0,out,Summer,2014,2014/2015
Yuri Berchiche,24,Left-Back,Real Sociedad,0.0,out,Summer,2014,2014/2015
Dani García,24,Central Midfield,Real Sociedad B,0.0,out,Summer,2014,2014/2015
Esquerdinha,30,Left-Back,Hércules CF,0.0,out,Summer,2014,2014/2015
Jota Peleteiro,23,Right Winger,Celta de Vigo,0.0,out,Summer,2014,2014/2015
José Luis Morales,26,Centre-Forward,Levante,0.0,out,Summer,2014,2014/2015
Alain Eizmendi,24,Right Winger,Real Sociedad B,0.0,out,Summer,2014,2014/2015
Borja Fernández,33,Defensive Midfield,Atl. Kolkata,0.0,in,Winter,2014,2014/2015
Rafa Páez,20,Centre-Back,Liverpool,0.0,in,Winter,2014,2014/2015
Raúl Albentosa,26,Centre-Back,Derby,600000.0,out,Winter,2014,2014/2015
Takashi Inui,27,Left Winger,E. Frankfurt,500000.0,in,Summer,2015,2015/2016
Iván Ramis,30,Centre-Back,Levante,0.0,in,Summer,2015,2015/2016
Sergi Enrich,25,Centre-Forward,CD Numancia,0.0,in,Summer,2015,2015/2016
Asier Riesgo,31,Goalkeeper,CA Osasuna,0.0,in,Summer,2015,2015/2016
Sergio García,25,Left Winger,SD Leioa,0.0,in,Summer,2015,2015/2016
Antonio Luna,24,Left-Back,Aston Villa,0.0,in,Summer,2015,2015/2016
Keko Gontán,23,Right Winger,Albacete,0.0,in,Summer,2015,2015/2016
David Juncà,21,Left-Back,Girona,0.0,in,Summer,2015,2015/2016
Mauro dos Santos,26,Centre-Back,UD Almería,0.0,in,Summer,2015,2015/2016
Adrián González,27,Central Midfield,Elche CF,0.0,in,Summer,2015,2015/2016
Izet Hajrovic,24,Right Winger,Werder Bremen,0.0,in,Summer,2015,2015/2016
Borja Bastón,22,Centre-Forward,Atlético Madrid,0.0,in,Summer,2015,2015/2016
Simone Verdi,23,Attacking Midfield,AC Milan,0.0,in,Summer,2015,2015/2016
Aleksandar Pantic,23,Centre-Back,Villarreal,0.0,in,Summer,2015,2015/2016
Gonzalo Escalante,22,Central Midfield,Catania,0.0,in,Summer,2015,2015/2016
Eddy Silvestre,22,Central Midfield,Real Murcia,0.0,in,Summer,2015,2015/2016
Julen Iriarte,23,Centre-Forward,RCD Mallorca B,0.0,in,Summer,2015,2015/2016
Ander Franco,26,Centre-Forward,CD Lagun Onak,0.0,in,Summer,2015,2015/2016
Josu Ozkoidi,25,Left-Back,Real Unión,0.0,in,Summer,2015,2015/2016
Aitor Ortega,22,Attacking Midfield,SD Amorebieta,0.0,in,Summer,2015,2015/2016
Aitor Arregi,25,Centre-Back,Cádiz CF,0.0,in,Summer,2015,2015/2016
Borja Fernández,34,Defensive Midfield,Atl. Kolkata,0.0,out,Summer,2015,2015/2016
Javi Lara,29,Attacking Midfield,Atl. Kolkata,0.0,out,Summer,2015,2015/2016
Ander Franco,26,Centre-Forward,Gernika,0.0,out,Summer,2015,2015/2016
Ángel Rodríguez,28,Centre-Forward,Real Zaragoza,0.0,out,Summer,2015,2015/2016
Jon Irazusta,29,Goalkeeper,Real Unión,0.0,out,Summer,2015,2015/2016
Eneko Bóveda,26,Centre-Back,Athletic,0.0,out,Summer,2015,2015/2016
Josu Ozkoidi,25,Left-Back,Real Unión,0.0,out,Summer,2015,2015/2016
Aitor Arregi,25,Centre-Back,La Roda CF,0.0,out,Summer,2015,2015/2016
Dani Nieto,24,Left Winger,Skoda Xanthi,0.0,out,Summer,2015,2015/2016
Jon Errasti,27,Central Midfield,Spezia Calcio,0.0,out,Summer,2015,2015/2016
Sergio García,25,Left Winger,Real Murcia,0.0,out,Summer,2015,2015/2016
Julen Iriarte,23,Centre-Forward,Real Unión,0.0,out,Summer,2015,2015/2016
Aitor Ortega,23,Attacking Midfield,Barakaldo CF,0.0,out,Summer,2015,2015/2016
Derek Boateng,32,Defensive Midfield,Without Club,0.0,out,Summer,2015,2015/2016
Txema Añibarro,35,Centre-Back,Retired,0.0,out,Summer,2015,2015/2016
Dejan Lekic,30,Centre-Forward,Without Club,0.0,out,Summer,2015,2015/2016
Rafa Páez,20,Centre-Back,Liverpool,0.0,out,Summer,2015,2015/2016
Dídac Vilà,26,Left-Back,AC Milan,0.0,out,Summer,2015,2015/2016
Federico Piovaccari,30,Centre-Forward,Sampdoria,0.0,out,Summer,2015,2015/2016
Manu del Moral,31,Centre-Forward,Sevilla FC,0.0,out,Summer,2015,2015/2016
Abraham Minero,29,Left-Back,Real Zaragoza,0.0,out,Summer,2015,2015/2016
Raúl Navas,27,Centre-Back,Real Sociedad,0.0,out,Summer,2015,2015/2016
Kike García,26,Centre-Forward,Middlesbrough,2000000.0,in,Winter,2015,2015/2016
Gonzalo Escalante,22,Central Midfield,Catania,1000000.0,in,Winter,2015,2015/2016
Josip Radosevic,21,Defensive Midfield,SSC Napoli,200000.0,in,Winter,2015,2015/2016
Ion Ansotegi,33,Centre-Back,Real Sociedad,0.0,in,Winter,2015,2015/2016
Jota Peleteiro,24,Right Winger,Brentford,0.0,in,Winter,2015,2015/2016
Aitor Ortega,23,Attacking Midfield,Barakaldo CF,0.0,in,Winter,2015,2015/2016
Mikel Arruabarrena,32,Second Striker,SD Huesca,0.0,out,Winter,2015,2015/2016
Aitor Ortega,23,Attacking Midfield,CD Vitoria,0.0,out,Winter,2015,2015/2016
Eddy Silvestre,23,Central Midfield,Real Murcia,0.0,out,Winter,2015,2015/2016
Gonzalo Escalante,22,Central Midfield,Catania,0.0,out,Winter,2015,2015/2016
Simone Verdi,23,Attacking Midfield,AC Milan,0.0,out,Winter,2015,2015/2016
Nano Mesa,21,Centre-Forward,CD Tenerife,3200000.0,in,Summer,2016,2016/2017
Alejandro Gálvez,27,Centre-Back,Werder Bremen,1500000.0,in,Summer,2016,2016/2017
Bebé,26,Left Winger,Benfica,1500000.0,in,Summer,2016,2016/2017
Florian Lejeune,25,Centre-Back,Man City,1500000.0,in,Summer,2016,2016/2017
Anaitz Arbilla,29,Centre-Back,Espanyol,700000.0,in,Summer,2016,2016/2017
Rubén Peña,24,Right-Back,CD Leganés,200000.0,in,Summer,2016,2016/2017
Juanfran,24,Centre-Forward,Villanovense,0.0,in,Summer,2016,2016/2017
Pedro León,29,Right Winger,Getafe,0.0,in,Summer,2016,2016/2017
Roger Escoruela,20,Left-Back,CF Gavà,0.0,in,Summer,2016,2016/2017
Unai Elgezabal,23,Centre-Back,Barakaldo CF,0.0,in,Summer,2016,2016/2017
Pere Milla,23,Left Winger,UD Logroñés,0.0,in,Summer,2016,2016/2017
Jordi Calavera,20,Right-Back,Gimnàstic,0.0,in,Summer,2016,2016/2017
Jon Ander Felipe,21,Goalkeeper,Bilbao Athletic,0.0,in,Summer,2016,2016/2017
Jon Ander Amelibia,22,Centre-Back,Bilbao Athletic,0.0,in,Summer,2016,2016/2017
Christian Rivera,18,Central Midfield,Real Oviedo,0.0,in,Summer,2016,2016/2017
Yoel Rodríguez,27,Goalkeeper,Valencia,0.0,in,Summer,2016,2016/2017
Fran Rico,29,Central Midfield,Granada CF,0.0,in,Summer,2016,2016/2017
Julen Iriarte,24,Centre-Forward,Real Unión,0.0,in,Summer,2016,2016/2017
