player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Diego Maradona,31,Attacking Midfield,Ban,5700000.0,in,Summer,1992,1992/1993
Ricardo Bango,23,midfield,Real Oviedo,1200000.0,in,Summer,1992,1992/1993
Diego Simeone,22,Central Midfield,AC Pisa,1050000.0,in,Summer,1992,1992/1993
Sebastián Losada,24,attack,Atlético Madrid,0.0,in,Summer,1992,1992/1993
Javi Pineda,20,Attacking Midfield,Sevilla B,0.0,in,Summer,1992,1992/1993
Miguelo,23,midfield,Cartagonova,0.0,in,Summer,1992,1992/1993
Nando,24,Centre-Back,Barcelona,0.0,in,Summer,1992,1992/1993
Iván Zamorano,25,Centre-Forward,Real Madrid,3500000.0,out,Summer,1992,1992/1993
Nando,24,Centre-Back,Real Madrid,3000000.0,out,Summer,1992,1992/1993
Zeljko Petrovic,26,Right-Back,FC Den Bosch,0.0,out,Summer,1992,1992/1993
Pepe Salguero,32,Centre-Back,CP Mérida,0.0,out,Summer,1992,1992/1993
Fernando Peralta,30,Goalkeeper,CD Castellón,0.0,out,Summer,1992,1992/1993
Pascual Llopis,24,Right-Back,Villarreal,0.0,out,Summer,1992,1992/1993
Pablo Bengoechea,27,Attacking Midfield,Gimnasia,0.0,out,Summer,1992,1992/1993
Ramón,28,Centre-Forward,Dep. La Coruña,0.0,out,Summer,1992,1992/1993
Miguelo,23,midfield,Real Murcia,0.0,out,Winter,1992,1992/1993
Gabi Moya,27,midfield,Atlético Madrid,420000.0,in,Summer,1993,1993/1994
Miquel Soler,28,Left-Back,Barcelona,0.0,in,Summer,1993,1993/1994
Patxi Ferreira,26,Centre-Back,Atlético Madrid,0.0,in,Summer,1993,1993/1994
Yordi,18,Centre-Forward,Sevilla FC C,0.0,in,Summer,1993,1993/1994
José Padilla,23,Left-Back,Sevilla B,0.0,in,Summer,1993,1993/1994
Nacho Conte,24,midfield,CD Tenerife,900000.0,out,Summer,1993,1993/1994
Diego Maradona,32,Attacking Midfield,Newell's,0.0,out,Summer,1993,1993/1994
Sebastián Losada,25,attack,Celta de Vigo,0.0,out,Summer,1993,1993/1994
Quique Estebaranz,28,Centre-Forward,Barcelona,210000.0,in,Winter,1993,1993/1994
Moacir,24,Defensive Midfield,Atlético Madrid,800000.0,in,Summer,1994,1994/1995
Juanito,29,Centre-Back,Atlético Madrid,600000.0,in,Summer,1994,1994/1995
Pedro,26,Left-Back,Atlético Madrid,400000.0,in,Summer,1994,1994/1995
Zigor Aranalde,21,Left-Back,Atl. Marbella,0.0,in,Summer,1994,1994/1995
David Linde,25,Left Winger,CD Logroñés,0.0,in,Summer,1994,1994/1995
Salva Ballesta,19,Centre-Forward,Sevilla B,0.0,in,Summer,1994,1994/1995
Luis Tevenet,20,Centre-Forward,Sevilla B,0.0,in,Summer,1994,1994/1995
Diego Simeone,24,Central Midfield,Atlético Madrid,2700000.0,out,Summer,1994,1994/1995
José Padilla,24,Left-Back,CF Extremadura,0.0,out,Summer,1994,1994/1995
Patxi Ferreira,27,Centre-Back,Atlético Madrid,0.0,out,Summer,1994,1994/1995
Ilie Dumitrescu,25,Left Winger,Spurs,0.0,in,Winter,1994,1994/1995
Emilio Peixe,22,Defensive Midfield,Sporting CP,1200000.0,in,Summer,1995,1995/1996
Tarik Oulida,21,Left Midfield,Ajax,1080000.0,in,Summer,1995,1995/1996
Víctor Javier Ferreras,22,Right-Back,Real Valladolid,75000.0,in,Summer,1995,1995/1996
Pepelu,21,midfield,Sevilla B,0.0,in,Summer,1995,1995/1996
Carlitos,18,Centre-Forward,Sevilla FC U19,0.0,in,Summer,1995,1995/1996
Arturo,21,defence,Sevilla B,0.0,in,Summer,1995,1995/1996
Miquel Soler,30,Left-Back,Real Madrid,0.0,out,Summer,1995,1995/1996
Ricardo Bango,26,midfield,Sporting Gijón,0.0,out,Summer,1995,1995/1996
David Linde,26,Left Winger,UE Tarrega,0.0,out,Summer,1995,1995/1996
Alfonso Cortijo,28,defence,Rayo Vallecano,0.0,out,Summer,1995,1995/1996
Pedro del Campo,27,Centre-Back,Elche CF,0.0,out,Summer,1995,1995/1996
Ilie Dumitrescu,26,Left Winger,Spurs,0.0,out,Summer,1995,1995/1996
Dejan Petkovic,23,Attacking Midfield,Real Madrid,0.0,in,Winter,1995,1995/1996
Josko Jelicic,24,midfield,Croatia Zagreb,0.0,in,Winter,1995,1995/1996
Agostinho,20,Left Winger,Real Madrid C,0.0,in,Winter,1995,1995/1996
Emilio Peixe,22,Defensive Midfield,Sporting CP,1500000.0,out,Winter,1995,1995/1996
Salva Ballesta,20,Centre-Forward,Écija Balompié,0.0,out,Winter,1995,1995/1996
Matías Almeyda,22,Defensive Midfield,River Plate,7700000.0,in,Summer,1996,1996/1997
Ivica Mornar,22,Centre-Forward,E. Frankfurt,2700000.0,in,Summer,1996,1996/1997
Vasilios Tsiartas,23,Attacking Midfield,AEK Athens,1500000.0,in,Summer,1996,1996/1997
Cristian Colusso,19,attack,Rosario Central,1200000.0,in,Summer,1996,1996/1997
Mirsad Hibic,22,Centre-Back,Hajduk Split,700000.0,in,Summer,1996,1996/1997
Salva Ballesta,21,Centre-Forward,Écija Balompié,200000.0,in,Summer,1996,1996/1997
Luis Miguel Ramis,25,Centre-Back,Real Madrid,0.0,in,Summer,1996,1996/1997
Petros Marinakis,28,Defensive Midfield,Olympiacos,0.0,in,Summer,1996,1996/1997
Antonio Gómez,22,midfield,Real Madrid,0.0,in,Summer,1996,1996/1997
Axel,27,Central Midfield,São Paulo,0.0,in,Summer,1996,1996/1997
Onésimo,27,Right Winger,Rayo Vallecano,0.0,in,Summer,1996,1996/1997
Loren,22,midfield,Sevilla B,0.0,in,Summer,1996,1996/1997
Jesús Galván,21,Right-Back,Sevilla B,0.0,in,Summer,1996,1996/1997
Juan Velasco,19,Right-Back,Sevilla FC C,0.0,in,Summer,1996,1996/1997
Davor Suker,28,Centre-Forward,Real Madrid,3600000.0,out,Summer,1996,1996/1997
Zigor Aranalde,23,Left-Back,Albacete,225000.0,out,Summer,1996,1996/1997
Gabi Moya,30,midfield,Valencia,0.0,out,Summer,1996,1996/1997
Pedro,28,Left-Back,Alavés,0.0,out,Summer,1996,1996/1997
