player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Álvaro,22,Centre-Back,São Paulo,3500000.0,in,Summer,2000,2000/2001
Baiano,22,Right-Back,Santos FC,2800000.0,in,Summer,2000,2000/2001
Gabriel Schürrer,28,Centre-Back,Dep. La Coruña,2700000.0,in,Summer,2000,2000/2001
Thórdur Gudjónsson,26,Right Winger,KRC Genk,2400000.0,in,Summer,2000,2000/2001
Oktay Derelioglu,24,Centre-Forward,Siirt Jetpa,2000000.0,in,Summer,2000,2000/2001
Edu Alonso,26,Right-Back,Athletic,1800000.0,in,Summer,2000,2000/2001
Souleymane Oulare,27,Centre-Forward,Fenerbahce,511000.0,in,Summer,2000,2000/2001
Antonio Moreno,25,midfield,Badajoz,0.0,in,Summer,2000,2000/2001
Ángel López,19,Right-Back,Las Palmas B,0.0,in,Summer,2000,2000/2001
Jorge Larena,18,Central Midfield,Las Palmas B,0.0,in,Summer,2000,2000/2001
Nacho González,28,Goalkeeper,Pachuca,0.0,in,Summer,2000,2000/2001
Pedro Vega,20,Left Midfield,Uni. Las Palmas,0.0,in,Summer,2000,2000/2001
Hérnan Franco,26,Central Midfield,CA Talleres,0.0,out,Summer,2000,2000/2001
Goyo,20,Goalkeeper,Atlético Ceuta,0.0,out,Summer,2000,2000/2001
Jaime Quesada,28,Right-Back,Recr. Huelva,0.0,out,Summer,2000,2000/2001
Pedro Vega,20,Left Midfield,Granada CF,0.0,out,Summer,2000,2000/2001
Marcos Sequeiros,26,Centre-Forward,Uni. Las Palmas,0.0,out,Summer,2000,2000/2001
Juan Carlos Socorro,28,Attacking Midfield,Elche CF,0.0,out,Summer,2000,2000/2001
Luis Tevenet,26,Centre-Forward,Sevilla FC,0.0,out,Summer,2000,2000/2001
Carlos Clotet,27,midfield,Lanús,0.0,out,Summer,2000,2000/2001
David Pirri,26,Left Midfield,Dep. La Coruña,0.0,out,Summer,2000,2000/2001
Renaldo,30,Centre-Forward,Dep. La Coruña,0.0,out,Summer,2000,2000/2001
Oktay Derelioglu,25,Centre-Forward,Trabzonspor,0.0,out,Winter,2000,2000/2001
Thórdur Gudjónsson,27,Right Winger,Derby,0.0,out,Winter,2000,2000/2001
Álex Castro,26,Central Midfield,CD Tenerife,0.0,out,Winter,2000,2000/2001
Alberto,24,midfield,Uni. Las Palmas,0.0,in,Summer,2001,2001/2002
Jaime Quesada,29,Right-Back,Recr. Huelva,0.0,in,Summer,2001,2001/2002
José Antonio Santana,19,defence,Gimnástica,0.0,in,Summer,2001,2001/2002
Juan Jayo,28,Defensive Midfield,Celta de Vigo,0.0,in,Summer,2001,2001/2002
Orlando Quintana,23,Goalkeeper,Las Palmas B,0.0,in,Summer,2001,2001/2002
Carmelo,17,Attacking Midfield,Las Palmas B,0.0,in,Summer,2001,2001/2002
Juan Carlos Socorro,29,Attacking Midfield,Elche CF,0.0,in,Summer,2001,2001/2002
Thórdur Gudjónsson,27,Right Winger,Derby,0.0,in,Summer,2001,2001/2002
Marcos Sequeiros,27,Centre-Forward,Uni. Las Palmas,0.0,in,Summer,2001,2001/2002
Luis Tevenet,27,Centre-Forward,Sevilla FC,0.0,in,Summer,2001,2001/2002
Pedro Vega,21,Left Midfield,Granada CF,0.0,in,Summer,2001,2001/2002
Antonio Guayre,21,Right Winger,Villarreal,6000000.0,out,Summer,2001,2001/2002
Jorge Larena,19,Central Midfield,Atlético Madrid,5000000.0,out,Summer,2001,2001/2002
Thórdur Gudjónsson,27,Right Winger,Preston,0.0,out,Summer,2001,2001/2002
Paquito,31,defence,Raith Rovers,0.0,out,Summer,2001,2001/2002
Souleymane Oulare,28,Centre-Forward,Stoke City,0.0,out,Summer,2001,2001/2002
Antonio Moreno,26,midfield,Elche CF,0.0,out,Summer,2001,2001/2002
Francisco Amador,32,Goalkeeper,CF Extremadura,0.0,out,Summer,2001,2001/2002
Jaime Molina,32,Centre-Back,CD Numancia,0.0,out,Summer,2001,2001/2002
Orlando Quintana,23,Goalkeeper,Uni. Las Palmas,0.0,out,Summer,2001,2001/2002
Pedro Vega,21,Left Midfield,Uni. Las Palmas,0.0,out,Summer,2001,2001/2002
Baiano,23,Right-Back,Atlético-MG,0.0,out,Summer,2001,2001/2002
Mario Turdó,23,Centre-Forward,Stade Rennais,840000.0,in,Winter,2001,2001/2002
Robert Jarni,33,Left-Back,Panathinaikos,0.0,out,Winter,2001,2001/2002
Ramón González,27,Centre-Back,Córdoba CF,0.0,out,Winter,2001,2001/2002
Eloy Jiménez,30,Centre-Forward,Córdoba CF,0.0,out,Winter,2001,2001/2002
Jonathan Viera,25,Attacking Midfield,Standard Liège,2900000.0,in,Summer,2015,2015/2016
Sergio Araujo,23,Centre-Forward,Boca Juniors,2500000.0,in,Summer,2015,2015/2016
Alfredo Ortuño,24,Centre-Forward,Granada CF,1000000.0,in,Summer,2015,2015/2016
Nabil El Zhar,28,Right Winger,Levante,0.0,in,Summer,2015,2015/2016
Javier Garrido,30,Left-Back,Norwich,0.0,in,Summer,2015,2015/2016
Antolín Alcaraz,33,Centre-Back,Everton,0.0,in,Summer,2015,2015/2016
Javi Varas,32,Goalkeeper,Real Valladolid,0.0,in,Summer,2015,2015/2016
Pedro Bigas,25,Centre-Back,RCD Mallorca,0.0,in,Summer,2015,2015/2016
Willian José,23,Centre-Forward,Maldonado,0.0,in,Summer,2015,2015/2016
Mubarak Wakaso,25,Central Midfield,Rubin Kazan,0.0,in,Summer,2015,2015/2016
Nili Perdomo,21,Attacking Midfield,Las Palmas Atl.,0.0,in,Summer,2015,2015/2016
Benja,27,Centre-Forward,CE Sabadell,0.0,in,Summer,2015,2015/2016
Tyronne,24,Attacking Midfield,SD Huesca,0.0,in,Summer,2015,2015/2016
Carlos Gutiérrez,23,Centre-Back,CD Leganés,0.0,in,Summer,2015,2015/2016
Marcelo Silva,26,Centre-Back,Real Valladolid,0.0,out,Summer,2015,2015/2016
Guzmán Casaseca,30,Right Winger,Real Valladolid,0.0,out,Summer,2015,2015/2016
Casto,33,Goalkeeper,UD Almería,0.0,out,Summer,2015,2015/2016
Benja,27,Centre-Forward,Llagostera,0.0,out,Summer,2015,2015/2016
Tyronne,24,Attacking Midfield,SD Huesca,0.0,out,Summer,2015,2015/2016
Alfredo Ortuño,24,Centre-Forward,Real Zaragoza,0.0,out,Summer,2015,2015/2016
Héctor Figueroa,26,Centre-Forward,SD Huesca,0.0,out,Summer,2015,2015/2016
Bolaño,29,Centre-Back,SD Huesca,0.0,out,Summer,2015,2015/2016
Jesús Valentín,23,Centre-Back,SD Huesca,0.0,out,Summer,2015,2015/2016
Alfredo Ortuño,24,Centre-Forward,Granada CF,0.0,out,Summer,2015,2015/2016
Jonathan Viera,25,Attacking Midfield,Standard Liège,0.0,out,Summer,2015,2015/2016
Sergio Araujo,23,Centre-Forward,Boca Juniors,0.0,out,Summer,2015,2015/2016
Ángel Montoro,27,Central Midfield,UD Almería,0.0,in,Winter,2015,2015/2016
Mauricio Lemos,20,Centre-Back,Rubin Kazan,0.0,in,Winter,2015,2015/2016
Alfredo Ortuño,25,Centre-Forward,Real Zaragoza,0.0,in,Winter,2015,2015/2016
