player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Chemo del Solar,27,Central Midfield,CD Tenerife,720000.0,in,Summer,1995,1995/1996
Catanha,23,Centre-Forward,Belenenses,480000.0,in,Summer,1995,1995/1996
Ovidiu Stinga,22,Right Midfield,U. Craiova,0.0,in,Summer,1995,1995/1996
Claudio Barragán,31,attack,Dep. La Coruña,0.0,in,Summer,1995,1995/1996
Yosu,31,Goalkeeper,Atl. Marbella,0.0,in,Summer,1995,1995/1996
Lutxo Iturrino,31,midfield,Real Sociedad,0.0,in,Summer,1995,1995/1996
Enrique Ayucar,29,midfield,Espanyol,0.0,in,Summer,1995,1995/1996
Ismael Urzaiz,23,Centre-Forward,Espanyol,0.0,out,Summer,1995,1995/1996
Antonio Díaz,25,Defensive Midfield,CA Osasuna,0.0,out,Summer,1995,1995/1996
Paco,28,midfield,CD Lugo,0.0,out,Summer,1995,1995/1996
Roberto Olabe,27,Goalkeeper,Real Sociedad,0.0,out,Summer,1995,1995/1996
Carlos Martín,24,midfield,Badajoz,0.0,out,Summer,1995,1995/1996
Jon Igoa,28,attack,Écija Balompié,0.0,out,Summer,1995,1995/1996
Balta Sánchez,33,defence,Retired,0.0,out,Summer,1995,1995/1996
Diego Latorre,26,Second Striker,CD Tenerife,0.0,in,Winter,1995,1995/1996
Walter Silvani,26,Centre-Forward,CF Extremadura,1800000.0,in,Summer,1997,1997/1998
Bogdan Stelea,29,Goalkeeper,Steaua Bucharest,900000.0,in,Summer,1997,1997/1998
Dubravko Pavlicic,29,Centre-Back,Hércules CF,90000.0,in,Summer,1997,1997/1998
Ronen Harazi,27,Centre-Forward,B. Jerusalem,0.0,in,Summer,1997,1997/1998
Gustavo Lombardi,21,Right-Back,River Plate,0.0,in,Summer,1997,1997/1998
Marco Lanna,28,Centre-Back,AS Roma,0.0,in,Summer,1997,1997/1998
Tulipa,24,Attacking Midfield,Boavista,0.0,in,Summer,1997,1997/1998
Rogério,21,Defensive Midfield,Belenenses,0.0,in,Summer,1997,1997/1998
Axel Smeets,22,Right-Back,KAA Gent,0.0,in,Summer,1997,1997/1998
Sergio Korino,22,Centre-Back,Athletic,0.0,in,Summer,1997,1997/1998
Edu Alonso,23,Right-Back,Athletic,0.0,in,Summer,1997,1997/1998
