player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Urbano Ortega,31,Defensive Midfield,Espanyol,0.0,in,Summer,1993,1993/1994
Nikola Milinkovic,25,Attacking Midfield,Becej,0.0,in,Summer,1993,1993/1994
Javi García,23,attack,Rayo Vallecano,0.0,in,Summer,1993,1993/1994
Alberto Aguilà,22,attack,CA Osasuna,0.0,in,Summer,1993,1993/1994
Sören Andersen,23,Centre-Forward,Aarhus GF,0.0,in,Summer,1993,1993/1994
Albert Tomàs,22,Centre-Back,Barcelona B,0.0,in,Summer,1993,1993/1994
Sebastián Herrera,24,Centre-Back,Barcelona B,0.0,in,Summer,1993,1993/1994
Miguel Mora,19,Goalkeeper,CF Balaguer,0.0,out,Summer,1993,1993/1994
José Luis Gallardo,21,Centre-Back,Espanyol,0.0,out,Summer,1993,1993/1994
José Sigüenza,27,attack,CD Toledo,0.0,out,Summer,1993,1993/1994
Juan Bernal,25,midfield,UE Figueres,0.0,out,Summer,1993,1993/1994
Ali Benhalima,31,Centre-Back,Retired,0.0,out,Summer,1993,1993/1994
Sergio Maza,33,defence,Retired,0.0,out,Summer,1993,1993/1994
Javi Gracia,23,Defensive Midfield,Bilbao Athletic,0.0,out,Summer,1993,1993/1994
Antonio Acosta,22,midfield,Cádiz CF,0.0,in,Winter,1993,1993/1994
Gustavo Matosas,26,midfield,São Paulo,0.0,in,Winter,1993,1993/1994
