player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Miodrag Belodedici,28,Sweeper,Red Star,1680000.0,in,Summer,1992,1992/1993
Gaizka Mendieta,18,Right Midfield,CD Castellón,180000.0,in,Summer,1992,1992/1993
Álvaro Cervera,26,attack,RCD Mallorca,0.0,in,Summer,1992,1992/1993
José González,27,Goalkeeper,Real Sociedad,0.0,in,Summer,1992,1992/1993
Juan Sánchez,20,Centre-Forward,Valencia B,0.0,in,Summer,1992,1992/1993
José Manuel Ochotorena,31,Goalkeeper,CD Tenerife,0.0,out,Summer,1992,1992/1993
Emilio Fenoll,27,attack,Real Burgos CF,0.0,out,Summer,1992,1992/1993
Toni,26,attack,Real Valladolid,0.0,out,Summer,1992,1992/1993
Nando,25,defence,Dep. La Coruña,0.0,out,Summer,1992,1992/1993
Rommel Fernández,NA,attack,Albacete,0.0,out,Summer,1992,1992/1993
Predrag Mijatović,24,Centre-Forward,Partizan,2100000.0,in,Summer,1993,1993/1994
Pepe Gálvez,18,Centre-Forward,RCD Mallorca,900000.0,in,Summer,1993,1993/1994
Juan Antonio Pizzi,25,Centre-Forward,CD Tenerife,600000.0,in,Summer,1993,1993/1994
José Serer,27,Centre-Back,RCD Mallorca,0.0,in,Summer,1993,1993/1994
Javi Navarro,19,Centre-Back,Valencia B,0.0,in,Summer,1993,1993/1994
Antonio Notario,20,Goalkeeper,Valencia B,0.0,in,Summer,1993,1993/1994
José Manuel Tárraga,22,defence,Valencia B,0.0,in,Summer,1993,1993/1994
Voro,29,Centre-Back,Dep. La Coruña,0.0,out,Summer,1993,1993/1994
Leonardo,23,Attacking Midfield,São Paulo,0.0,out,Summer,1993,1993/1994
Juan Sánchez,21,Centre-Forward,RCD Mallorca,0.0,out,Summer,1993,1993/1994
Víctor Aristizábal,22,Centre-Forward,Atl. Nacional,500000.0,in,Winter,1993,1993/1994
Alberto Benito,21,midfield,Valencia B,0.0,in,Winter,1993,1993/1994
Andoni Zubizarreta,32,Goalkeeper,Barcelona,2100000.0,in,Summer,1994,1994/1995
Oleg Salenko,24,Centre-Forward,CD Logroñés,2069999.9999999998,in,Summer,1994,1994/1995
Juan Carlos,NA,defence,Barcelona,900000.0,in,Summer,1994,1994/1995
Jorge Otero,25,Right-Back,Celta de Vigo,300000.0,in,Summer,1994,1994/1995
Vicente Engonga,28,Central Midfield,Celta de Vigo,300000.0,in,Summer,1994,1994/1995
Enrique Romero,23,Left-Back,CD Logroñés,0.0,in,Summer,1994,1994/1995
Antonio Poyatos,28,midfield,CD Logroñés,0.0,in,Summer,1994,1994/1995
David Clotet,21,Centre-Back,Gramenet,0.0,in,Summer,1994,1994/1995
Juan Carlos,29,Left-Back,Barcelona,0.0,in,Summer,1994,1994/1995
Juanjo Maqueda,25,midfield,Real Madrid B,0.0,in,Summer,1994,1994/1995
