player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Gica Craioveanu,30,Centre-Forward,Real Sociedad,1800000.0,in,Summer,1998,1998/1999
Manolo Alfaro,27,Centre-Forward,Hércules CF,0.0,in,Summer,1998,1998/1999
Zeljko Kalajdzic,20,Central Midfield,FK Zemun,0.0,in,Summer,1998,1998/1999
Igor Tasevski,25,Centre-Back,Partizan,0.0,in,Summer,1998,1998/1999
Melinho,18,Attacking Midfield,UA Barbarense,0.0,in,Summer,1998,1998/1999
Jesús García Sanjuán,26,Central Midfield,Real Zaragoza,0.0,in,Summer,1998,1998/1999
Gerardo,23,Right-Back,Badajoz,0.0,in,Summer,1998,1998/1999
Imanol Alguacil,26,Right-Back,Real Sociedad,0.0,in,Summer,1998,1998/1999
Moisés García,26,Centre-Forward,Celta de Vigo,0.0,in,Summer,1998,1998/1999
David Albelda,20,Defensive Midfield,Valencia,0.0,in,Summer,1998,1998/1999
Edison Mafla,26,Attacking Midfield,U. de Chile,1000000.0,out,Summer,1998,1998/1999
Iñaki Hurtado,26,midfield,CD Numancia,0.0,out,Summer,1998,1998/1999
Alexandre,21,midfield,Eendracht Aalst,0.0,out,Summer,1998,1998/1999
Iván Parra,24,midfield,Valencia B,0.0,out,Summer,1998,1998/1999
Andoni Lakabeg,29,Right-Back,Pájara Playas,0.0,out,Summer,1998,1998/1999
Goran Milojevic,33,midfield,Retired,0.0,out,Summer,1998,1998/1999
Ilshat Faizulin,25,Centre-Forward,Racing,0.0,out,Summer,1998,1998/1999
Wálter Gaitán,21,Attacking Midfield,Rosario Central,4500000.0,in,Winter,1998,1998/1999
Sandro Mendes,21,Defensive Midfield,Hércules CF,0.0,in,Winter,1998,1998/1999
Marius Iordache,20,Left-Back,U. Craiova,0.0,in,Winter,1998,1998/1999
César Laínez,21,Goalkeeper,Real Zaragoza,0.0,in,Winter,1998,1998/1999
Óscar Téllez,23,Centre-Back,Valencia,0.0,in,Winter,1998,1998/1999
Melinho,18,Attacking Midfield,Guarani,0.0,out,Winter,1998,1998/1999
Paco Salillas,32,Centre-Forward,Levante,0.0,out,Winter,1998,1998/1999
Javi Prats,22,Right Midfield,Hércules CF,0.0,out,Winter,1998,1998/1999
Quique Medina,24,Centre-Back,CD Numancia,0.0,out,Winter,1998,1998/1999
Víctor Fernández,26,Centre-Forward,Real Valladolid,9000000.0,in,Summer,2000,2000/2001
Rodolfo Arruabarrena,24,Left-Back,Boca Juniors,4200000.0,in,Summer,2000,2000/2001
Sergio Ballesteros,24,Centre-Back,Rayo Vallecano,4200000.0,in,Summer,2000,2000/2001
Bruno Marioni,25,Left Winger,Independiente,3600000.0,in,Summer,2000,2000/2001
Unai Vergara,23,Centre-Back,CP Mérida,0.0,in,Summer,2000,2000/2001
Quique Álvarez,24,Centre-Back,UE Lleida,0.0,in,Summer,2000,2000/2001
Guillermo Amor,32,Central Midfield,Fiorentina,0.0,in,Summer,2000,2000/2001
Gerard Escoda,28,attack,UE Lleida,0.0,in,Summer,2000,2000/2001
Manolo Alfaro,29,Centre-Forward,Real Murcia,0.0,out,Summer,2000,2000/2001
José Manuel Roca,24,Goalkeeper,CD Onda,0.0,out,Summer,2000,2000/2001
Xavi Jiménez,21,Central Midfield,Elche CF,0.0,out,Summer,2000,2000/2001
Aitor Arregi,29,Left-Back,Elche CF,0.0,out,Summer,2000,2000/2001
Imanol Alguacil,28,Right-Back,Real Jaén CF,0.0,out,Summer,2000,2000/2001
Pascual Llopis,32,Right-Back,Burriana,0.0,out,Summer,2000,2000/2001
