player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Renan,24,Goalkeeper,Valencia,500000.0,in,Summer,2009,2009/2010
Sidi Keita,24,Defensive Midfield,Lens,0.0,in,Summer,2009,2009/2010
David Prieto,26,Centre-Back,Sevilla FC,0.0,in,Summer,2009,2009/2010
Víctor Sánchez,21,Central Midfield,Barcelona,0.0,in,Summer,2009,2009/2010
Emiliano Armenteros,23,Left Winger,Sevilla FC,0.0,in,Summer,2009,2009/2010
Fabián Orellana,23,Right Winger,Udinese,0.0,in,Summer,2009,2009/2010
José Manuel Casado,22,Left-Back,Sevilla Atl.,0.0,in,Summer,2009,2009/2010
Giancarlo Maldonado,27,Centre-Forward,Atlante,0.0,in,Summer,2009,2009/2010
Aythami Artiles,23,Centre-Back,Dep. La Coruña,0.0,in,Summer,2009,2009/2010
Leandro Gioda,24,Centre-Back,Independiente,0.0,in,Summer,2009,2009/2010
Pedro Ríos,27,Right Winger,Getafe,0.0,out,Summer,2009,2009/2010
Jorge Luque,28,Central Midfield,Córdoba CF,0.0,out,Summer,2009,2009/2010
Juan Antonio Portela,24,Right-Back,Atlético Ceuta,0.0,out,Summer,2009,2009/2010
Stéphane Porato,35,Goalkeeper,Retired,0.0,out,Summer,2009,2009/2010
Abdul-Aziz Tetteh,19,Defensive Midfield,Udinese,0.0,out,Summer,2009,2009/2010
Aythami Artiles,23,Centre-Back,Dep. La Coruña,0.0,out,Summer,2009,2009/2010
Jozy Altidore,19,Centre-Forward,Villarreal,0.0,out,Summer,2009,2009/2010
Brian Sarmiento,19,Attacking Midfield,Racing,0.0,out,Summer,2009,2009/2010
Álvaro Silva,25,Centre-Back,Málaga CF,0.0,out,Summer,2009,2009/2010
Martí Crespí,22,Centre-Back,RCD Mallorca,0.0,out,Summer,2009,2009/2010
Mohammed Rabiu,19,Defensive Midfield,Liberty Prof.,0.0,out,Summer,2009,2009/2010
Amaral,27,Centre-Back,Galo Maringá,0.0,out,Summer,2009,2009/2010
Antonio Calle,30,Centre-Forward,Gimnàstic,0.0,out,Summer,2009,2009/2010
Asier Arranz,22,Central Midfield,Real Valladolid,0.0,out,Summer,2009,2009/2010
Nicolás Vigneri,26,Centre-Forward,Puebla FC,0.0,in,Winter,2009,2009/2010
Matías Alustiza,25,Centre-Forward,Chacarita Jrs.,0.0,in,Winter,2009,2009/2010
Giancarlo Maldonado,27,Centre-Forward,Atlante,0.0,out,Winter,2009,2009/2010
